identity,type,count,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,equip_ids,furniture,gift,title,content,type_sort,sort,icon_code,prize_id,mission_id,condition,commander_title,unlock_function
1,different_gun,10,100,30,30,30,30,1,0,0,1-1,,,,小小兴趣,图鉴解锁10位不同的战术少女。,2,22,获得N把不同枪支,0,,,,0
2,different_gun,20,500,50,50,50,50,1,10,0,1-1,,,,业余爱好,图鉴解锁20位不同的战术少女。,2,22,获得N把不同枪支,0,,,,0
3,different_gun,40,1000,100,100,100,100,5,30,0,1-2,,,,专业鉴赏,图鉴解锁40位不同的战术少女。,2,22,获得N把不同枪支,0,,,,0
4,different_gun,60,3000,200,200,200,200,5,50,0,1-2,,,,狂热猎手,图鉴解锁60位不同的战术少女。,2,22,获得N把不同枪支,0,,,,0
5,different_gun,80,5000,300,300,300,300,10,100,0,1-3,,,,收藏大亨,图鉴解锁80位不同的战术少女。,2,22,获得N把不同枪支,0,,,,0
6,different_gun,120,10000,500,500,500,500,10,200,0,1-3,,,,博物馆主,图鉴解锁120位不同的战术少女。,2,22,获得N把不同枪支,0,,,,0
7,different_type1_gun,5,50,30,30,30,30,0,0,0,,,,,入门级收藏:手枪,图鉴解锁5位不同的手枪型战术少女。,2,23,获得N把不同手枪,0,,,,0
8,different_type1_gun,10,200,100,100,100,100,1,10,0,1-1,,,,见习级收藏:手枪,图鉴解锁10位不同的手枪型战术少女。,2,23,获得N把不同手枪,0,,,,0
9,different_type1_gun,20,500,300,300,300,300,2,30,0,1-2,,,,进阶级收藏:手枪,图鉴解锁20位不同的手枪型战术少女。,2,23,获得N把不同手枪,0,,,,0
10,different_type1_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,专家级收藏:手枪,图鉴解锁30位不同的手枪型战术少女。,2,23,获得N把不同手枪,0,,,,0
11,different_type2_gun,3,100,30,30,30,30,0,0,0,,,,,入门级收藏:冲锋枪,图鉴解锁3位不同的冲锋枪型战术少女。,2,24,获得N把不同冲锋枪,0,,,,0
12,different_type2_gun,10,200,100,100,100,100,1,10,0,1-1,,,,见习级收藏:冲锋枪,图鉴解锁10位不同的冲锋枪型战术少女。,2,24,获得N把不同冲锋枪,0,,,,0
13,different_type2_gun,20,500,300,300,300,300,2,30,0,1-2,,,,进阶级收藏:冲锋枪,图鉴解锁20位不同的冲锋枪型战术少女。,2,24,获得N把不同冲锋枪,0,,,,0
14,different_type2_gun,30,1000,500,500,500,500,3,50,0,1-3,,,,专家级收藏:冲锋枪,图鉴解锁30位不同的冲锋枪型战术少女。,2,24,获得N把不同冲锋枪,0,,,,0
