id,name,action_order,action_delay,action_playspeed,creation_order,creation_delay,sound_order,sound_delay,effect_order,effect_delay,effect_duration,stop_time_speed,stop_time_delay,stop_time_duration,move_order,move_delay,summon_order,summon_delay,voice_order,voice_delay,scene_order,scene_play_speed,scene_delay,scene_transition,avg_order,avg_delay,bgm_order,bgm_delay,camera_order,camera_delay,camera_duration
1,普通攻击,1,0,100,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,投掷,2,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,换弹,3,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,手榴弹投掷,1,0,100,14,20,,,,,,50,1,15,,,,,,,,,,,,,,,,,
11,烟雾弹,2,0,100,11,40,BT_gasbomb_woosh,39,1,0,1,,,,,,,,,,,,,,,,,,,,
12,闪光弹,2,0,100,12,40,BT_flashbomb_woosh,43,1,0,1,,,,,,,,,,,,,,,,,,,,
13,燃烧弹,2,0,100,13,40,BT_firebomb_woosh,35,1,0,1,,,,,,,,,,,,,,,,,,,,
14,手榴弹,2,0,100,14,40,BT_grenade_woosh,35,1,0,1,,,,,,,,,,,,,,,,,,,,
15,杀伤榴弹,2,0,100,15,31,BT_fire_grenade,35,1,0,1,,,,,,,,,,,,,,,,,,,,
16,爆破榴弹,2,0,100,15,31,BT_fire_grenade,35,1,0,1,,,,,,,,,,,,,,,,,,,,
17,照明弹,2,0,218,"17,29","16,16",,,1,0,1,,,,,,,,,,,,,,,,,,,,
18,连锁爆破,"2,2,2","0,30,60","100,100,100","15,15,15","30,60,90","BT_fire_grenade,BT_fire_grenade,BT_fire_grenade","31,60,90",1,0,1,,,,,,,,,,,,,,,,,,,,
19,爆破榴弹新,2,0,100,78,31,BT_fire_grenade,35,1,0,1,,,,,,,,,,,,,,,,,,,,
20,爆破践踏,2,0,100,15,40,BT_fire_grenade,40,,,1,,,,,,,,,,,,,,,,,,,,
21,HNB燃烧弹,2,0,100,94,44,BT_KLIN_HANABI_SHOOT,44,1,0,1,,,,,,,,,,,,,,,,,,,,
22,起源弹菌毯,0,-1,100,"921,922,923","0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,
23,起源弹,1,30,100,100,30,,,,,,,,,,,,,,,,,,,,,,,,,
24,黑洞生成1-4,2,0,100,134,40,,,1,0,1,,,,,,,,,,,,,,,,,,,,
25,黑洞生成1-4,,,,135,0,,,,,,,,,,,,,,,,,,,,,,,,,
26,吸引,,,,,,,,,,,,,,301,0,,,,,,,,,,,,,,,
27,自毁,0,-1,100,137,0,,,,,,,,,,,,,,,,,,,,,,,,,
28,性能测试,2,0,100,133,40,,,1,0,1,,,,,,,,,,,,,,,,,,,,
29,磁性排斥靶机生成,2,0,100,141,0,,,1,0,1,,,,,,,,,,,,,,,,,,,,
30,磁场排斥,0,-1,100,142,0,,,,,,,,,,,,,,,,,,,,,,,,,
31,排斥,,,,,,,,,,,,,,302,0,,,,,,,,,,,,,,,
32,震荡打击击退,,,,,,,,,,,,,,303,0,,,,,,,,,,,,,,,
33,击退强制位移,,,,,,,,,,,,,,304,0,,,,,,,,,,,,,,,
101,手枪普攻,1,0,100,"1,21,138","0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,
102,冲锋枪普攻,1,0,100,"2,21,138,8,8,8","0,0,0,10,4,7 ",,,,,,,,,,,,,,,,,,,,,,,,,
103,突击步枪普攻,1,0,100,"3,7,7,21,140,140","0,2,4,0,0,2","BT_AK,BT_AK,BT_AK","0,3,6",,,0,,,,,,,,,,,,,,,,,,,,
104,步枪普攻,1,0,100,"4,21,139","0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,
105,机枪普攻,1,0,100,"5,21,139,139,9,9,9,9,21,21,21,21,21","0,0,0,5,2,4,6,8,2,4,6,8",,,,,,,,,,,,,,,,,,,,,,,,,
106,霰弹枪普攻,1,0,100,"6,30","0,0",BT_Shot_1,0,,,,,,,,,,,,,,,,,,,,,,,
107,铁血普攻,1,0,100,"301,35","0,0",BT_pistol,0,,,,,,,,,,,,,,,,,,,,,,,
108,突击者之眼2,1,0,100,"302,304,7,21","0,2,4,0","BT_AK,BT_AK,BT_AK","0,3,6",,,0,,,,,,,,,,,,,,,,,,,,
109,突击者之眼3,1,0,100,"303,304,304,21","0,2,4,0","BT_AK,BT_AK,BT_AK","0,3,6",,,0,,,,,,,,,,,,,,,,,,,,
110,猎手普攻,1,0,100,"310,309","0,4",BT_pistol,0,,,,,,,,,,,,,,,,,,,,,,,
111,稻草人普攻,1,0,100,"337,338,339","4,7,10",BT_pistol,0,,,,,,,,,,,,,,,,,,,,,,,
112,破坏者普攻,1,0,100,"312,313","0,10",,,,,,,,,,,,,,,,,,,,,,,,,
113,迫击炮普攻,1,90,100,315,0,MissileExplo,90,,,,,,,,,,,,,,,,,,,,,,,
114,炼金术士普攻,1,0,100,"319,318","0,20",BT_pistol,0,,,,,,,,,,,,,,,,,,,,,,,
115,建筑师特殊攻击,101,0,100,"330,26","20,20",,,,,,,,,,,,,,,,,,,,,,,,,
116,建筑师普攻,1,0,100,"331,438,438,438,35,35,35,35","0,3,7,10,0,3,7,10",,,,,,,,,,,,,,,,,,,,,,,,,
117,计量官普攻,1,0,100,"342,342,342,342,35,35,35,35","0,3,7,10,0,3,7,10",,,,,,,,,,,,,,,,,,,,,,,,,
118,爆破打击,1,0,100,"10,9,9,9,9,21,21,21,21,21","0,2,4,6,8,0,2,4,6,8",,,,,,,,,,,,,,,,,,,,,,,,,
