id,name,description,conflict_type,max_tier,type,duration_type,duration,delay,probability,boss_available,armor_reduce_number,pow_number,dodge_number,hit_number,rate_number,critical_number,critical_damage_number,damage_reduce_number,damage_return_number,move_number,shield_number,arp_number,trigger_creation_id,trigger_creation_delay,is_form_play,buff_animation,buff_description,available_gun_type,available_gun_type2,def_number,defbreak_number,maxdef_number,cdr_number,forced_skill,fix_damage,night_view_percent,range_number
83,G11_二技能算子,,415,30,500,1,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
89,G11_二技能算子2,,420,20,500,1,99999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
101,火力上升,火力上升,101,5,101,1,*101,0,0,1,0,*201,0,0,0,0,0,0,0,0,0,0,201,0,1,YellowFlash,PowBuffText,,,0,0,0,0,0,0,0,0
102,闪避上升,闪避上升,102,5,102,1,*101,0,0,1,0,0,*201,0,0,0,0,0,0,0,0,0,202,0,1,YellowFlash,DodgeBuffText,,,0,0,0,0,0,0,0,0
103,命中上升,命中上升,103,5,103,1,*101,0,0,1,0,0,0,*201,0,0,0,0,0,0,0,0,203,0,1,YellowFlash,HitBuffText,,,0,0,0,0,0,0,0,0
104,射速上升,射速上升,104,5,104,1,*101,0,0,1,0,0,0,0,*201,0,0,0,0,0,0,0,204,0,1,YellowFlash,RateBuffText,,,0,0,0,0,0,0,0,0
105,移速上升,移速上升,105,5,105,1,*101,0,0,1,0,0,0,0,0,0,0,0,0,*201,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
106,暴击概率上升,暴击概率上升,106,5,106,1,*101,0,0,1,0,0,0,0,0,*202,0,0,0,0,0,0,201,0,0,YellowFlash,,,,0,0,0,0,0,0,0,0
107,穿甲上升,穿甲上升,107,5,107,1,*101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
108,护甲上升,护甲上升,108,5,108,1,*101,0,0,1,*201,0,0,0,0,0,0,0,0,0,0,0,201,0,0,YellowFlash,,,,0,0,0,0,0,0,0,0
109,攻速上升2,攻速上升2,104,5,104,1,*101,1,0,1,0,0,0,0,*202,0,0,0,0,0,0,0,201,0,1,YellowFlash,,,,0,0,0,0,0,0,0,0
110,闪避上升2,闪避上升2,102,5,102,1,*101,0,0,1,0,0,*202,0,0,0,0,0,0,0,0,0,201,0,1,YellowFlash,DodgeBuffText,,,0,0,0,0,0,0,0,0
111,内格夫狂躁血脉,火力上升,111,3,101,1,*101,0,0,0,0,*201,0,0,0,0,0,0,0,0,0,0,201,0,1,YellowFlash,PowBuffText,,,0,0,0,0,0,0,0,0
112,火力上升猎杀冲动N,火力上升,101,5,101,1,*101,0,0,1,0,*203,0,0,0,0,0,0,0,0,0,0,201,0,1,YellowFlash,PowBuffText,,,0,0,0,0,0,0,0,0
113,IWS特殊攻击触发,飞鹰攻势,113,1,400,1,*101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
114,命中上升2,命中上升,103,5,103,1,*101,0,0,1,0,0,0,*202,0,0,0,0,0,0,0,0,203,0,1,YellowFlash,HitBuffText,,,0,0,0,0,0,0,0,0
115,射速上升2,射速上升,104,5,104,1,*101,1,0,1,0,0,0,0,*202,0,0,0,0,0,0,0,204,0,1,YellowFlash,RateBuffText,,,0,0,0,0,0,0,0,0
116,命中上升3,命中上升,103,5,103,1,*101,2,0,1,0,0,0,*203,0,0,0,0,0,0,0,0,203,0,1,YellowFlash,HitBuffText,,,0,0,0,0,0,0,0,0
117,暴击概率上升2,暴击概率上升,106,5,106,1,*101,0,0,1,0,0,0,0,0,*202,0,0,0,0,0,0,201,0,0,YellowFlash,,,,0,0,0,0,0,0,0,0
120,无敌,无敌,120,2,120,1,*101,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,BlueFlash,ShieldText,,,0,0,0,0,0,0,0,0
121,大破保护,无敌,121,2,120,1,*101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,0,0
122,计量官技能保护,无敌,122,1,120,1,100,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
123,建筑师技能保护,无敌,123,1,120,1,250,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ShieldText,,,0,0,0,0,0,0,0,0
124,刽子手技能保护,无敌,124,1,120,1,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ShieldText,,,0,0,0,0,0,0,0,0
125,衔尾蛇技能保护,无敌,125,1,120,1,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ShieldText,,,0,0,0,0,0,0,0,0
126,技能保护护甲上升,护甲上升,126,2,108,1,130,0,0,1,*201,999,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,0,0
127,技能保护闪避上升,闪避上升,127,2,102,1,130,0,0,1,0,0,999,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,0,0
128,BOSS通用技能保护,无敌,128,1,120,1,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
129,法官瘟疫立场技能保护,无敌,129,1,120,1,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
130,法官变身技能保护,无敌,130,1,120,1,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
131,护盾叠加测试,护盾叠加,131,5,109,1,*101,0,0,1,0,0,0,0,0,0,0,0,0,0,*102,0,220,0,0,BlueFlash,ShieldText,,,0,0,0,0,0,0,0,0
132,闪燕增伤,,132,1,101,1,*101,0,0,1,0,*201,0,0,0,0,0,0,0,0,0,0,201,0,1,,PowBuffText,,,0,0,0,0,0,0,0,0
133,轰雷定身,,133,5,221,1,*101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
134,轰雷易伤,,134,1,110,1,*101,0,0,0,0,0,0,0,0,0,0,*201,0,0,0,0,151,0,0,,,,,0,0,0,0,0,0,0,0
135,短剑麻痹,,135,1,221,1,*101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,,,,,0,0,0,0,0,0,0,0
136,迅雷锁链,,136,99,221,1,*101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,,,,,0,0,0,0,0,0,0,0
137,迅雷命中,,137,5,221,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,,,,,0,0,0,0,0,0,0,0
138,希儿技能保护,无敌,138,1,120,1,220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ShieldText,,,0,0,0,0,0,0,0,0
139,德莉莎变身保护,无敌,138,1,120,1,130,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
