id,name,code,start_type,start_offset,destination_type,destination_offset,decision_offset,is_form_offset,is_form_offset_start,is_tracing,is_clone,random_number,random_offset,route_type,route_hight,speed,easing_type,spin_velocity,rotate,exist_duration,effect_type,effect_area,effect_param_1,effect_param_2,hurt_id,hurt_cd,buff_id,buff_type,buff_cd,is_single_hurt,is_form_play,creation_type,scale,trigger_creation_id,trigger_creation_delay,sound_order,sound_delay,summoner_order,summoner_delay,is_die_delete,edge_indicator
1,手枪子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"0.35,0.35,1",,,BT_pistol,0,,,0,0
2,冲锋枪子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"0.35,0.35,1",,,"BT_uzi,BT_uzi,BT_uzi，BT_uzi","0,2,4,6",,,0,0
3,突击步枪枪子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"0.35,0.35,1",,,,0,,,0,0
4,步枪子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"0.7,0.7",,,BT_rifle,0,,,0,0
5,机枪子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"0.35,0.35,1",,,BT_machine,0,,,0,0
6,霰弹枪子弹,,1,-1,5,-1,0,1,1,0,1,0,0,1,0,3000,0,0,0,30,0,1,0,0,7,0,0,0,0,0,1,0,1,,,BT_Shot_1,0,,,0,0
7,突击步枪无判定子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"0.35,0.35,1",,,,0,,,0,0
8,冲锋枪无判定子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"0.35,0.35,1",,,,0,,,0,0
9,机枪无判定子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,"0.35,0.35,1",,,BT_machine,0,,,0,0
10,爆破打击子弹,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,1,0,5000,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,"0.35,0.35,1",,,BT_machine,0,,,0,0
11,烟雾弹面片,烟雾弹,2,0,6,0,0,1,1,1,0,0,0,2,500,1500,0,3000,0,*102,0,1,0,0,423,0,0,0,0,0,1,0,1,"111,117,36","-1,-1,-1",,0,,,0,0
12,闪光弹面片,闪光弹,2,0,6,0,0,1,1,1,0,0,0,2,500,1500,0,3000,0,0,0,1,0,0,423,0,0,0,0,0,1,0,1,"112,22","-1,-1",,0,,,0,0
13,燃烧弹面片,燃烧弹,2,0,6,0,0,0,1,0,0,0,0,2,500,1500,0,3000,0,0,0,1,0,0,423,0,0,0,0,0,1,0,1,"115,113,23,24","-1,-1,-1,-1",,0,,,0,0
14,手榴弹面片,手榴弹,2,0,6,0,0,1,1,1,0,0,0,2,500,1500,0,3000,0,0,0,1,0,0,417,0,0,0,0,0,1,0,1,"114,25","-1,-1",,0,,,0,0
15,枪榴弹面片,爆破榴弹,1,0,6,0,0,1,1,1,0,0,0,2,120,2400,0,-300,"0,0,20",0,0,1,0,0,417,0,0,0,0,0,1,0,"0.45,0.45","114,25","-1,-1",,0,,,0,0
17,照明弹上升,照明弹,1,0,8,"0.3,10,0",0,1,1,0,0,0,0,1,800,1800,0,0,0,0,0,1,0,0,421,0,0,0,0,0,1,0,1,116,-1,BT_projectile,0,,,0,0
19,狙击子弹尾迹,SniperSkillBullet,1,0,5,0,0,1,1,0,0,0,0,4,0,3800,0,0,"0,90,0",30,0,1,0,0,3,0,0,0,0,0,1,0,1,93,-1,BT_rifle_skill,0,,,0,0
20,狙击子弹面片,bullet/bullet2,1,0,5,0,0,1,1,0,0,0,0,4,0,3800,0,0,"0,90,0",0,0,1,0,0,3,0,0,0,0,0,1,0,"0.7,0.7",314,-1,BT_Sniper_skill_1,0,,,0,0
21,我方枪口火光,Fire,1,"0,-0.1",1,"0,-0.1",0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,0,,,0,0
