id,formula
1001,(1-#Life/#MaxLife)*120+100
1002,(1-#Life/#MaxLife)*140+100
1003,(1-#Life/#MaxLife)*160+100
1004,(1-#Life/#MaxLife)*180+100
1005,(1-#Life/#MaxLife)*200+100
1006,(1-#Life/#MaxLife)*220+100
1007,(1-#Life/#MaxLife)*240+100
1008,(1-#Life/#MaxLife)*260+100
1009,(1-#Life/#MaxLife)*280+100
1010,(1-#Life/#MaxLife)*300+100
1011,800+@buff5020*50
1012,@buff900=1?1:0
1013,@buff900=2?1:0
1014,@buff900=3?1:0
1015,@buff900=4?1:0
1016,@buff900=5?1:0
1017,350+@buff5020*50
1018,400+buff@5020*50
1019,450+buff@5020*50
1020,500+buff@5020*50
1021,550+buff@5020*50
1022,600+buff@5020*50
1023,650+buff@5020*50
1024,700+buff@5020*50
1025,750+buff@5020*50
1026,@Ap+@Defbreak
1027,@MaxLife
1028,@Life
1029,@Rate/120>1?1:0
1030,@def/@maxdef*100
1031,@maxdef
1032,@Ap
1033,@defbreak
1034,@shield
1035,@armor
1036,@rate
1037,@Critical
1038,@Pow
1039,(4+200/@Rate)*30-2
1040,(4+200/@Rate)*30*(1-@buff899*0.3)
1041,(4+200/@Rate)*30*(1-@buff899*0.3)-2
1042,(4+200/@Rate)*30*(1-@buff900*0.15)
1043,(4+200/@Rate)*30*(1-@buff900*0.15)-2
1044,100+100/(1+@buff301)
1045,@MaxLife*0.3
1046,@MaxLife*0.15
1047,@buff1366<(4+200/@Rate)*30?0:1
1049,@buff1366<(4+200/@Rate)*30*(1-@buff900*0.15)?0:1
1051,@buff1366<120/(@Rate+10)*30?0:1
1052,@buff1377=2?1:0
1053,@buff1377=1?1:0
1054,@buff1377=0?1:0
1055,90+(@buff1385-1)*6
1056,9+@buff1385
1057,93+(@buff1385-1)*6
1058,96+(@buff1385-1)*6
1059,10+@buff1385
1060,#def>0?1:0
1061,((4+200/@Rate)*30)*(1-@buff1407*0.3)-2
1062,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.2)?0:1
1063,@buff1406=0?1:0
1064,@buff1406=1?1:0
1065,@buff1406=2?1:0
1066,@buff1406=3?1:0
1067,(4+200/@Rate)*30*(1-@buff1420*0.25)-2
1068,(4+200/@Rate)*30*(1-@buff1420*0.25)
1069,@buff1423=1?1:0
1070,@buff1423>1?1:0
1071,@Formation
1072,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.1)?0:1
1073,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.11)?0:1
1074,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.12)?0:1
1075,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.13)?0:1
1076,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.14)?0:1
1077,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.16)?0:1
1078,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.17)?0:1
1079,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.18)?0:1
1080,@buff1366<((4+200/@Rate)*30)*(1-@buff1407*0.19)?0:1
1081,@buff1406=4?1:0
1082,#armor>0?1:0
1083,@buff111=0?1:0
1084,@buff111=1?1:0
1085,@buff111=2?1:0
1086,@buff111=3?1:0
1087,@CriticalHurt
1088,@Critical*100
1090,200*(@buff1403/100+1)
1091,233*(@buff1403/100+1)
1092,267*(@buff1403/100+1)
1093,300*(@buff1403/100+1)
1094,333*(@buff1403/100+1)
1095,367*(@buff1403/100+1)
1096,400*(@buff1403/100+1)
1097,433*(@buff1403/100+1)
1098,467*(@buff1403/100+1)
1099,500*(@buff1403/100+1)
1100,80*(@buff1403/100+1)
1101,93*(@buff1403/100+1)
1102,107*(@buff1403/100+1)
1103,120*(@buff1403/100+1)
1104,133*(@buff1403/100+1)
1105,147*(@buff1403/100+1)
1106,160*(@buff1403/100+1)
1107,173*(@buff1403/100+1)
1108,187*(@buff1403/100+1)
1109,200*(@buff1403/100+1)
1110,40*(@buff1403/100+1)
1111,47*(@buff1403/100+1)
1112,53*(@buff1403/100+1)
1113,60*(@buff1403/100+1)
1114,67*(@buff1403/100+1)
1115,73*(@buff1403/100+1)
1116,80*(@buff1403/100+1)
1117,87*(@buff1403/100+1)
1118,93*(@buff1403/100+1)
1119,100*(@buff1403/100+1)
1120,@pow
1121,@dodge
1122,#Critical>1?(#Critical-1)*60+100:100
1123,#Critical>1?(#Critical-1)*60+100:100
1124,#Critical>1?(#Critical-1)*60+100:100
1125,#Critical>1?(#Critical-1)*60+100:100
1126,#Critical>1?(#Critical-1)*60+100:100
1127,#Critical>1?(#Critical-1)*60+100:100
1128,#Critical>1?(#Critical-1)*60+100:100
1129,#Critical>1?(#Critical-1)*60+100:100
1130,#Critical>1?(#Critical-1)*60+100:100
1131,#Critical>1?(#Critical-1)*60+100:100
1132,@hit
1133,@buff1449=0?1:0
1134,@buff1449=1?1:0
1135,@buff1449=2?1:0
1136,@buff1449=3?1:0
1137,(1-#life/#maxlife+1.8)*14
1138,(1-#life/#maxlife+1.8)*16
1139,(1-#life/#maxlife+1.8)*18
1140,(1-#life/#maxlife+1.8)*20
1141,(1-#life/#maxlife+1.8)*22
1142,(1-#life/#maxlife+1.8)*24
1143,(1-#life/#maxlife+1.8)*26
1144,(1-#life/#maxlife+1.8)*28
1145,(1-#life/#maxlife+1.8)*30
1146,(1-#life/#maxlife+1.8)*32
1147,40+@buff3002*30
1148,42+@buff3002*29
1149,44+@buff3002*28
1150,47+@buff3002*26.5
1151,49+@buff3002*25.5
1152,51+@buff3002*24.5
1153,53+@buff3002*23.5
1154,56+@buff3002*22
1155,58+@buff3002*21
1156,60+@buff3002*20
1157,55+@buff3002*22.5
1158,57+@buff3002*21.5
1159,59+@buff3002*20.5
1160,62+@buff3002*19
1161,64+@buff3002*18
1162,66+@buff3002*17
1163,68+@buff3002*16
1164,71+@buff3002*14.5
1165,73+@buff3002*13.5
1166,75+@buff3002*12.5
1167,@armor*1
1168,(1-#life/#maxlife+0.8)*14*2+14
