id,description,target_type,target_number,target_priority,select_order,is_ascend_order,is_ingore_range,is_search_all,list_ranking,target_buff_id,target_parameter,buff_trigger_type,is_buff_type
1,对自身释放,4,1,1,0,0,1,0,1,0,0,6,0
2,对我方全体释放,2,0,0,0,0,1,0,1,0,0,6,0
3,对敌方全体释放,1,0,0,0,0,1,0,1,0,0,6,0
4,对敌方当前生命最高者释放,1,1,0,1,1,0,0,1,0,0,6,0
5,对敌方BOSS释放,1,1,3,0,0,0,0,1,0,0,6,0
6,对X轴距离最近者释放,1,1,0,9,0,0,0,1,0,0,6,0
7,对X轴距离最远者释放,1,1,0,9,1,0,0,1,0,0,6,0
8,霰弹枪对距离最近的三个单位释放,1,3,0,9,0,0,0,1,0,0,6,0
9,随机选择目标释放,1,1,0,0,0,0,0,1,0,0,6,0
10,攻击一横排,1,1,4,0,0,1,0,1,0,0,6,0
11,攻击一纵列,1,1,5,0,0,1,0,1,0,0,6,0
12,霰弹枪对距离最近的五个单位释放,1,5,0,9,0,0,0,1,0,0,6,0
13,迫击炮接触到我方全体攻击最远,1,1,0,10,1,0,1,1,0,0,6,0
14,对直线距离最近者释放,1,1,0,4,0,0,0,1,0,0,6,0
15,对直线距离最远者释放,1,1,0,4,1,0,0,1,0,0,6,0
16,恶毒绽放对随机最远的两个角色释放,1,2,0,0,0,0,0,1,0,0,6,0
17,恶毒绽放对随机最远的四个角色释放,1,4,0,0,0,0,0,1,0,0,6,0
18,NER防中断索敌,1,4,0,1,0,0,0,1,0,0,6,0
19,ERR防中断索敌,1,1,0,9,1,0,0,1,0,0,6,0
20,迫击妖精对随机1个单位释放,1,1,0,0,0,0,0,1,0,0,6,0
21,狙击妖精对敌方生命最高者释放,1,1,0,1,1,1,0,1,0,0,6,0
22,破坏死光对随机的五个角色释放,1,5,0,0,0,1,0,1,12801,1,6,0
23,狙击&榴弹对敌方生命最高者释放,1,1,0,1,1,0,0,1,0,0,6,0
24,contender优先选择BOSS目标,1,1,3,0,0,1,0,1,0,0,6,0
25,contender优先选择最近目标,1,1,3,9,0,0,0,1,0,0,6,0
26,contender优先选择血量最多目标,1,1,3,1,1,0,0,1,0,0,6,0
