id,type,target,parameter,buff_id,is_buff_type
0,1,1,0,0,0
17002,8,1,10788,0,0
17003,8,1,10790,0,0
17004,8,1,10792,0,0
17005,8,1,10797,0,0
17006,8,1,10844,0,0
100503,19,1,City,0,0
100506,6,1,1,4385,0
100602,18,2,1002,0,0
100803,6,1,1,1397,0
100806,6,1,1,4445,0
100807,6,1,2,4445,0
100810,6,1,1,4448,0
100811,6,1,1,4447,0
102118,6,1,1,315,0
102119,6,1,1,316,0
102120,6,1,1,317,0
102121,6,1,1,318,0
102122,6,1,1,319,0
102123,6,1,1,320,0
102124,6,1,1,321,0
102125,6,1,1,322,0
102126,6,1,1,323,0
102127,6,1,1,324,0
103302,6,1,2,484,0
103303,6,1,2,485,0
103304,6,1,2,486,0
103305,6,1,2,487,0
105707,18,2,1082,0,0
106304,6,1,1,301,0
106503,6,1,1,329,0
106504,6,1,1,330,0
106505,6,1,1,331,0
106506,6,1,1,332,0
106507,6,1,1,333,0
106508,6,1,1,334,0
106509,6,1,1,335,0
106510,6,1,1,336,0
106511,6,1,1,337,0
106512,6,1,1,338,0
106513,6,1,1,339,0
106711,6,1,2,401,0
106712,6,1,2,402,0
106713,6,1,2,403,0
106714,6,1,2,404,0
106715,6,1,2,405,0
106716,6,1,2,406,0
106717,6,1,2,407,0
106718,6,1,2,408,0
106719,6,1,2,409,0
106720,6,1,2,410,0
106721,6,1,2,411,0
106722,6,1,2,412,0
106723,6,1,2,413,0
106724,6,1,2,414,0
106725,6,1,2,415,0
106726,6,1,2,416,0
106727,6,1,2,417,0
106728,6,1,2,418,0
106729,6,1,2,419,0
106730,6,1,2,420,0
106731,6,1,2,421,0
106732,6,1,2,422,0
106733,6,1,2,423,0
106734,6,1,2,424,0
106735,6,1,2,425,0
106736,6,1,2,426,0
106737,6,1,2,427,0
106738,6,1,2,428,0
106739,6,1,2,429,0
106740,6,1,2,430,0
106902,7,1,1,301,0
106903,6,1,2,434,0
106904,7,1,1,301,0
107001,7,1,2,301,0
107002,7,1,1,301,0
