id,task_type,title,content,function_control_id
1,mission_common_win,普通战役挑战,战斗胜利情况下挑战任意普通战役{0}次,0
2,mission_night_win,夜战战役挑战,战斗胜利情况下挑战任意夜战战役{0}次,0
3,mission_emergent_win,紧急战役挑战,战斗胜利情况下挑战任意紧急战役{0}次,0
4,collect_gun,救援人形,在任意关卡或战斗中累计救援任意人形{0}个,0
5,eat_gun,人形强化,进行{0}次人形强化,0
6,eat_equip,装备强化,进行{0}次装备强化,0
7,consume_iop_contract,消耗人形制造契约,累计消耗人形制造契约*{0},0
8,consume_equip_contract,消耗装备制造契约,累计消耗装备制造契约*{0},0
9,consume_quick_develop,消耗快速制造契约,累计消耗快速制造契约*{0},0
10,consume_quick_reinforce,消耗快速修复契约,累计消耗快速修复契约*{0},0
11,consume_mp,消耗人力,累计消耗人力*{0}（自律除外）,0
12,consume_ammo,消耗弹药,累计消耗弹药*{0}（自律除外）,0
13,consume_mre,消耗口粮,累计消耗口粮*{0}（自律除外）,0
14,consume_part,消耗零件,累计消耗零件*{0}（自律除外）,0
15,get_build_coin,获得好友电池,累计从好友处获得{0}次共享电池,0
16,love_collect,爱心搜集,累计搜集{0}个爱心（包括战术人形、融合势力与格琳娜）,0
17,borrow_friend_team,使用好友梯队,累计使用{0}次好友的支援梯队,0
18,gain_hg,获得HG战术人形,获得任意手枪战术人形*{0},0
19,gain_smg,获得SMG战术人形,获得任意冲锋枪战术人形*{0},0
20,gain_ar,获得AR战术人形,获得任意突击步枪战术人形*{0},0
21,gain_mg,获得MG战术人形,获得任意机枪战术人形*{0},0
22,gain_rf,获得RF战术人形,获得任意步枪战术人形*{0},0
23,gain_fittings,配件装备,获得任意配件类装备*{0},0
24,gain_magazine,弹匣装备,获得任意弹匣类装备*{0},0
25,gain_equipment,人形装备,获得任意人形类装备*{0},0
26,special_develop_gun,人形重造,进行{0}次人形重型制造,0
27,special_develop_equip,装备重造,进行{0}次装备重型制造,0
28,operation_quick_develop,行动回报-快速制造契约,通过后勤支援获得快速制造契约*{0},0
29,operation_quick_reinforce,行动回报-快速修复契约,通过后勤支援获得快速修复契约*{0},0
30,operation_equip_contract,行动回报-装备制造契约,通过后勤支援获得装备制造契约*{0},0
31,operation_iop_contract,行动回报-人形制造契约,通过后勤支援获得人形制造契约*{0},0
32,win_boss,消灭BOSS,战斗胜利情况下消灭{0}个BOSS,0
33,win_armorrobot,装甲机械铁血兵,战斗胜利情况下消灭{0}个装甲机械铁血兵,0
34,win_robot,普通机械铁血兵,战斗胜利情况下消灭{0}个普通机械铁血兵,0
35,win_person,普通人形铁血兵,战斗胜利情况下消灭{0}个普通人形铁血兵,0
36,operation_duration,累计后勤支援时长,在后勤支援完成的情况下累计后勤{0}小时,0
37,consume_voucher,消耗校准点券,累计消耗校准点券*{0},0
38,simulated_warfare,模拟作战,累计进行模拟作战{0}次（不包括融合演习）,0
39,upgrade,技能升级,进行{0}次技能升级（人形、妖精、融合势力皆可）,0
40,s_win,战斗大师,以S评价完成{0}场战斗,0
41,auto_mission,自律作战,任意关卡完成自律作战{0}次,0
42,get_lollipop,波板糖,累计获得波板糖*{0}（可通过退库2星、3星家具获得）,0
43,get_icecream,脆皮甜筒,累计获得脆皮甜筒*{0}（可通过退库4星家具获得）,0
44,friend_greeting,好友问候,通过聊天向好友问候{0}次,0
45,upvote,点赞使者,累计点赞他人宿舍{0}次,0
46,friend_request,申请好友,申请好友{0}次,0
47,open_gift,礼物赠送,累计赠送礼物{0}份,0
48,consume_build_coin,消耗电池,累计消耗电池*{0},0
49,get_core,获得核心,累积获得核心*{0},0
50,trial_mission,防御演习,参与防御演习{0}次,0
51,cumulative_login,每日登录,每日登录,0
52,fix_gun,修复人形,修复人形{0}次,0
53,gun_level_up_count,人形升级,人形升级{0}次,0
54,adjust_equip,装备校准,装备校准{0}次 ,0
55,retire_gun,人形拆解,拆解人形个数*{0},0
56,eat_equip,装备强化,强化装备{0}次,0
57,consume_core,核心消耗,累计消耗核心*{0},0
58,consume_coin1,初级资料消耗,累计消耗初级资料*{0},0
59,consume_coin2,中级资料消耗,累计消耗中级资料*{0},0
60,consume_coin3,高级资料消耗,累计消耗高级资料*{0},0
61,consume_capsule,增幅胶囊消耗,累计消耗增幅胶囊*{0},0
62,consume_quick_training,快速训练契约,累计消耗快速训练契约*{0},0
63,be_visited,客似云来,累计被参观{0}次,0
64,dorm_goaway,送客！,累计送客{0}次,0
65,dorm_share,微博分享,分享宿舍页面{0}次,0
66,get_friend_points,友情点数,累计获得友情点数*{0},0
67,develop_fight_report,生产作战报告书,累计生产作战报告书*{0},0
68,consume_fight_report,消耗作战报告书,累计消耗作战报告书*{0},0
69,friend_praise,友谊的小船,累计被点赞{0}次,0
70,random_visit,随机参观,累计随机参观{0}次,0
