id,defender,defender_upper,belong,hold_belong,mission_skill,battle_skill,condition,is_destroy,is_rebuild,draw_event,name,code,shifting_spot,shifting_team,battle_assist_range,performance_skill,show_info,working_special_spot,trigger_distance,active_mission_skill,inherent_mission_skill,type,is_focus,transition,belong_color,working_spot_activation,active_building_info,initial_state,pref_code,des,confront_des,squadinfoid,missionskill_on_death
1,50,50,2,1,0;0;0;0,0;0;405004;0,"0:0,1:0;0:0,1:1","1,2",0,0,炮击阵地-普通,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的同归属单位提供战斗支援，战斗中持续对敌方进行炮击打击。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
2,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,指挥塔,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内同归属占领的机场提供空管指挥，提升受影响机场的增援能力。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
3,50,50,2,1,0;0;900002;0,0;0;0;0,"0:0,1:0;0:0,1:1",0,0,0,防空阵地-不可破坏,ADK,"12,90","-30,0","0,2",,1,,0,,,3,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的机场进行空域管制，受影响的机场将不能进行空降以及梯队出击、回收人质等操作。,本次战役中无法破坏该设施,0,
4,50,50,2,1,0;0;0;0,0;0;405001;0,"0:0,1:0;0:0,1:1","1,2",0,0,炮击阵地-危险,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的同归属单位提供战斗支援，战斗中持续对敌方进行炮击打击。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
5,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,指挥塔,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内同归属占领的机场提供空管指挥，提升受影响机场的增援能力。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
6,50,50,2,1,0;0;0;0,0;0;405001;0,"0:0,1:0;0:0,1:1","1,2",0,0,炮击阵地-危险,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的同归属单位提供战斗支援，战斗中持续对敌方进行炮击打击。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
7,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,指挥塔,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内同归属占领的机场提供空管指挥，提升受影响机场的增援能力。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
8,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,指挥塔,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内同归属占领的机场提供空管指挥，提升受影响机场的增援能力。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
9,50,50,2,1,0;0;0;0,0;0;405004;0,"0:0,1:0;0:0,1:1","1,2",0,0,炮击阵地-普通,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的同归属单位提供战斗支援，战斗中持续对敌方进行炮击打击。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
10,50,50,3,0,0;0;0;0,0;0;405001;0,"0:0,1:0;0:0,1:1","1,2",0,0,炮击阵地-危险,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的同归属单位提供战斗支援，战斗中持续对敌方进行炮击打击。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
11,50,50,2,1,0;0;900002;0,0;0;0;0,"0:0,1:0;0:0,1:1",0,0,0,防空阵地-不可破坏,ADK,"12,90","-30,0","0,2",,1,,0,,,3,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的机场进行空域管制，受影响的机场将不能进行空降以及梯队出击、回收人质等操作。,本次战役中无法破坏该设施,0,
12,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,指挥塔,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内同归属占领的机场提供空管指挥，提升受影响机场的增援能力。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
13,50,50,0,1,900002;0;0;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,防空阵地,ADK,"12,90","-30,0","0,2",,1,,0,,,3,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的机场进行空域管制，受影响的机场将不能进行空降以及梯队出击、回收人质等操作。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
14,50,50,2,1,0;0;900002;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,防空阵地,ADK,"12,90","-30,0","0,2",,1,,0,,,3,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的机场进行空域管制，受影响的机场将不能进行空降以及梯队出击、回收人质等操作。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
15,50,50,2,1,0;0;0;0,0;0;405001;0,"0:0,1:0;0:0,1:1","1,2",0,0,炮击阵地-危险,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的同归属单位提供战斗支援，战斗中持续对敌方进行炮击打击。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
16,50,50,2,1,0;0;900003;0,0;0;0;0,"0:0,1:0;0:0,1:1",0,0,0,污染源,Hiding,"0,0","0,0","0,0",,0,,0,,,4,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,【标记】略,本次战役中无法破坏该设施,0,
17,50,50,2,1,0;0;900003;0,0;0;0;0,"0:0,1:0;0:0,1:1",0,0,0,污染源,Hiding,"0,0","0,0","0,1",,0,,0,,,4,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,【标记】略,本次战役中无法破坏该设施,0,
18,50,50,2,1,0;0;900001;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,指挥塔,AirportTower,"-1,170","-30,0","0,2",,1,,0,,,2,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内同归属占领的机场提供空管指挥，提升受影响机场的增援能力。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
19,50,50,2,1,0;0;900002;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,防空阵地,ADK,"12,90","-30,0","0,2",,1,,0,,,3,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的机场进行空域管制，受影响的机场将不能进行空降以及梯队出击、回收人质等操作。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
20,50,50,2,1,0;0;900002;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,防空阵地,ADK,"12,90","-30,0","0,2",,1,,0,,,3,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的机场进行空域管制，受影响的机场将不能进行空降以及梯队出击、回收人质等操作。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
21,50,50,0,1,0;0;0;0,405001;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,炮击阵地-危险,MissileLauncher,"4,97","-30,0","1,1","800101,102304,405002;0;800101,102304,405002;0",1,,0,,,1,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的同归属单位提供战斗支援，战斗中持续对敌方进行炮击打击。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
22,50,50,2,1,0;0;900002;0,0;0;0;0,"0:0,1:0;0:0,1:1",0,0,0,防空阵地-不可破坏,ADK,"12,90","-30,0","0,2",,1,,0,,,3,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的机场进行空域管制，受影响的机场将不能进行空降以及梯队出击、回收人质等操作。,本次战役中无法破坏该设施,0,
23,50,50,2,1,0;0;900003;0,0;0;0;0,"0:0,1:0;0:0,1:1",0,0,0,污染源,Hiding,"0,0","0,0","0,0",,0,,0,,,4,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,【标记】略,本次战役中无法破坏该设施,0,
24,50,50,2,1,0;0;900002;0,0;0;0;0,"0:0,1:0;0:0,1:1","1,2",0,0,防空阵地,ADK,"12,90","-30,0","0,2",,1,,0,,,3,0,,"#83CCFF,#FF4646,#FFE683,#C3C3C3",1;0,,0,,对支援范围内的机场进行空域管制，受影响的机场将不能进行空降以及梯队出击、回收人质等操作。,本次战役中可采取的应对手段：//n踩点破坏、重装打击,0,
