id,type,unlock_lv,unlock_ids,unlock_label,count,prize_id,title,content,unlock_course,new_type,grade_id,sort,condition,new_unlock_ids
1,auto_mission_1,,,,1,701,战役任务：自律作战,完成1次1-1自律作战（注：自律作战可以让小队自动进行战斗。完成战斗获得人形或装备。获得关卡3枚勋章可开启该关卡自律作战）,,1,47,359,,
2,operation_5,,,,1,702,战役任务：后勤支援,完成1次1-1后勤支援（注：通过派遣小队执行后勤关卡，可以获得资源作为奖励运气好还可以获得各式契约）,,1,47,360,,
3,reinforce_team2,,,,1,703,战役任务：首次在战斗中使用两支梯队,完成1次战斗中两支梯队部署（注：在战斗中使用多支梯队可以让战斗变的更为轻松）,,1,3,15,,
4,mission_emergency_1_1_1,,,mission:15,1,704,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急1-1,,1,3,16,,
5,mission_emergency_1_2_1,,,,1,705,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急2-1,,1,5,38,,
6,mission_emergency_1_3_1,,,,1,706,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急3-1,,1,6,57,,
7,mission_emergency_1_4_1,,,,1,707,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急4-1,,1,8,75,,
8,mission_emergency_1_5_1,,,,1,708,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急5-1,,1,9,94,,
9,mission_emergency_1_6_1,,,,1,709,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急6-1,,1,10,97,,
10,mission_emergency_1_7_1,,,,1,710,IOP特别服务：人形支援-紧急行动,紧急行动：完成1次紧急7-1,,1,11,101,,
11,mission_emergency_1_8_1,,,,1,711,IOP特别服务：人形支援-紧急行动-最终回,紧急行动：完成1次紧急8-1,,1,12,105,,
12,mission_emergency_3_1_1,,,,1,712,夜战任务：首次夜战战役,完成1次夜战1-1,,1,17,127,,
13,mission_emergency_3_2_1,,,,1,713,夜战任务：夜战战役二,完成1次夜战2-1,,1,18,139,,
14,mission_emergency_3_3_1,,,,1,714,夜战任务：夜战战役三,完成1次夜战3-1,,1,19,146,,
15,mission_emergency_3_4_1,,,,1,715,夜战任务：夜战战役四,完成1次夜战4-1,,1,20,157,,
16,mission_emergency_3_5_1,,,,1,716,夜战任务：夜战战役五,完成1次夜战5-1,,1,21,162,,
17,mission_duplicate_type1,12,,,1,717,模拟作战：经验特训,在“模拟作战”获得1次经验特训胜利,,1,4,32,,
18,mission_duplicate_type2,12,,,1,718,模拟作战：强化练习,在“模拟作战”获得1次强化练习胜利,,1,4,33,,
19,mission_duplicate_type3,12,,,1,719,模拟作战：资料采样,在“模拟作战”获得1次资料采样胜利,,1,4,34,,
20,trial_mission,,,mission:90008,1,720,模拟作战：首次防御演习,获得1次防御演习胜利（注：选择最多4组梯队，通过防御无限波次敌人进攻，在防御演习结束时，根据达成波数获得装备校准券等奖励）,,1,19,147,,
21,gun5_into_team,3,,,1,721,编成任务：首次5员到齐,完成梯队内5名人形编成,,1,1,1,,
22,gun_equip_type_4,,,,1,722,编成任务：夜战作战-夜视准备,完成3名人形（手枪、冲锋枪类型）装备夜战装备（注：装备夜战装备可以在夜战中获得更高的命中）,,1,17,128,,
23,gun_equip_type_5,,,,1,723,编成任务：夜战作战-穿甲准备,完成2名人形（步枪、机枪类型）装备穿甲弹（注：装备穿甲弹可以在夜战中对装甲造成更高的伤害）,,1,17,129,,
24,gun5_into_team2,,,,1,724,编成任务：第二梯队建设,完成梯队2内5名人形编成,,1,3,17,,
25,team_from_1,,,,1,725,编成任务：攻守均衡小队,完成冲锋枪*2，突击步枪*2，手枪*1组成梯队（注：适用于前期开荒，并能在早期比较便捷的获得）,,1,2,4,,
26,team_from_2,,,,1,726,编成任务：远程制导小队,完成手枪*2，步枪*2，冲锋枪*1组成梯队（注：远程火力强大，快速打击后排）,,1,5,39,,
27,team_from_3,,,,1,727,编成任务：狂轰滥炸小队,完成冲锋枪*2，机枪*2，手枪*1组成梯队（注：爆发力极强的阵容，不过爆发后会出现输出断档）,,1,5,40,,
28,team_from_4,,,,1,728,编成任务：救援小队,完成手枪*5组成梯队（注：5手枪将每次行动的消耗最小化，能更好的完成占领机场、救援等任务）,,1,8,76,,
29,team_from_5,,,,1,729,编成任务：精英小队,完成霰弹枪*2，机枪*2，手枪*1组成梯队（注：解锁人形重建才有机会建造出的霰弹枪能提供强大的防御能力并提升机枪的能力）,,1,8,77,,
50,develop_gun,3,,,5,730,工厂任务：人形制造,通过“工厂-人形制造”完成5次人形制造,,1,1,2,,
51,combine_gun,,,,1,731,战术人形：编制扩大,通过“工厂-编制扩大”完成1次编制扩大，可以使人形的能力获得巨大的提升,,1,2,5,,
52,eat_gun,,,,5,732,战术人形：人形强化,通过“工厂-人形强化”完成5次人形强化,,1,2,6,,
53,retire_gun,,eat_gun:1,,5,733,工厂任务：人形回收,完成5次人形回收,,1,5,41,,
54,develop_equip,,,mission:20,5,734,装备：装备制造,通过“工厂-装备制造”完成5次装备制造,,1,17,130,,
61,special_develop_gun,,,bestrank1:30,1,741,工厂任务：重型建造,通过“工厂-人形制造”完成1次人形重型制造,,1,8,78,,
100,gasha_count,3,,,1,742,宿舍：采购,完成1次采购,,1,59,414,,
101,open_gift,3,,,5,743,宿舍：赠送礼物,完成5次赠送礼物（注：在收纳库中将礼物赠送给人形，可以为人形增加经验或好感度）,,1,59,415,,
