id,type,goto_page
1,buy_bp_count,Mall-5
2,buy_bp_num,Mall-0
3,coin_mission,MissionSelection-2
4,collect_gun,MissionSelection-0
5,combine_gun,Factory-3
6,consume_bp,MissionSelection-2
7,consume_capsule,Factory-2
8,consume_coin1,Research-0
9,consume_coin2,Research-0
10,consume_coin3,Research-0
11,consume_exchange_coin,Dorm-0
12,consume_furniture_coin,Dorm-0
14,consume_gem,Mall-0
16,consume_quick_reinforce,Reinforcement-0
17,consume_quick_training,Research-0
18,consume_skin_exchange,Dorm-2
19,cumulative_recharge_amount,Mall-3
20,cumulative_recharge_days,Mall-3
21,develop_equip,Factory-4
23,develop_equip_rank4,Factory-4
24,develop_equip_rank5,Factory-4
25,develop_gun,Factory-0
27,develop_gun_rank4,Factory-0
28,develop_gun_rank5,Factory-0
29,eat_gun,Factory-2
30,fix_gun,Reinforcement-0
31,gasha_count,Dorm-0
32,gift giving,Dorm-0
33,gun_level_up_count,MissionSelection-0
34,mission_common_win,MissionSelection-0
35,mission_duplicate_type1,MissionSelection-2
36,mission_duplicate_type2,MissionSelection-2
37,mission_duplicate_type3,MissionSelection-2
38,mission_emergent_win,MissionSelection-0
39,mission_night_win,MissionSelection-0
40,open_gift,Dorm-0
41,operation,MissionSelection-1
42,operation_duration,MissionSelection-1
43,s_win,MissionSelection-0
44,upgrade,Research-0
46,win_armorperson,MissionSelection-0
47,win_armorrobot,MissionSelection-0
48,win_boss,MissionSelection-0
49,win_person,MissionSelection-0
50,win_robot,MissionSelection-0
51,fix,Reinforcement-0
52,special_develop_gun,Factory-0
53,mission_win,MissionSelection-0
54,adjust_equip,Research-2
55,trial_mission,MissionSelection-2
56,consume_iop_contract,Factory-0
57,get_build_coin,Dorm-0
58,consume_build_coin,Dorm-0
59,consume_fight_report,Dorm-0
60,win_destroyer,MissionSelection-0
61,win_jammer,MissionSelection-0
62,win_alchemist,MissionSelection-0
63,retire_gun,Factory-1
65,consume_equip_contract,Factory-4
66,develop_fight_report,Dorm-0
67,buy_furniture_coin,Mall-5
68,upvote,Dorm-0
69,buy_quick_training,Mall-1
70,buy_quick_reinforce,Mall-1
71,buy_iop_contract,Mall-1
72,buy_quick_develop,Mall-1
73,buy_equip_contract,Mall-1
79,special_develop_quickInput,Factory-0
80,auto_mission_1,MissionSelection-0
81,operation_5,MissionSelection-1
82,reinforce_team2,MissionSelection-0
83,mission_emergency_1_1_1,MissionSelection-0
84,mission_emergency_1_2_1,MissionSelection-0
85,mission_emergency_1_3_1,MissionSelection-0
86,mission_emergency_1_4_1,MissionSelection-0
87,mission_emergency_1_5_1,MissionSelection-0
88,mission_emergency_1_6_1,MissionSelection-0
89,mission_emergency_1_7_1,MissionSelection-0
90,mission_emergency_1_8_1,MissionSelection-0
91,mission_emergency_3_1_1,MissionSelection-0
92,mission_emergency_3_2_1,MissionSelection-0
93,mission_emergency_3_3_1,MissionSelection-0
94,mission_emergency_3_4_1,MissionSelection-0
95,mission_emergency_3_5_1,MissionSelection-0
100,gun5_into_team,Formation-0
101,gun_equip_type_4,Formation-0
102,gun_equip_type_5,Formation-0
103,gun5_into_team2,Formation-0
104,team_from_1,Formation-0
105,team_from_2,Formation-0
106,team_from_3,Formation-0
107,team_from_4,Formation-0
108,team_from_5,Formation-0
115,combine_gun_type_4,Factory-3
116,combine_gun_type_2,Factory-3
117,combine_gun_type_3,Factory-3
118,combine_gun_type_5,Factory-3
119,combine_gun_type_1,Factory-3
123,dorm_change,Dorm-0
124,friend_visit,Dorm-0
125,establish_up_type_101,Dorm-0
126,establish_up_type_103,Dorm-0
127,establish_up_type_102,Dorm-0
128,adopt_pet,Dorm-0
129,establish_up_type_201,Dorm-0
130,establish_up_type_202,Dorm-0
131,establish_up_type_204,Dorm-0
132,make_consume_fight_report,Dorm-0
133,establish_up_type_206,Dorm-0
134,establish_up_type_203,Dorm-0
135,establish_up_type_205,Dorm-0
136,friend_apply,Friend-0
137,friend_card_change,Friend-0
138,friend_headpic_change,Friend-0
142,adjust_equip_attr_100,Research-2
143,develop_fairy,Factory-0
144,eat_fairy,Research-3
145,upgrade_fairy,Research-0
147,retire_fairy,Factory-5
148,establish_up_type_301,Dorm-0
149,establish_up_type_302,Dorm-0
150,establish_up_type_303,Dorm-0
151,establish_up_type_304,Dorm-0
153,buy_mp,Mall-0
154,buy_ammo,Mall-0
155,buy_mre,Mall-0
156,buy_part,Mall-0
157,mission_emergency_0_3_6,MissionSelection-0
158,mission_emergency_1_4_4,MissionSelection-0
159,mission_emergency_3_3_4,MissionSelection-0
160,dorm_goaway,Dorm-0
161,borrow_friend_team,MissionSelection-0
162,buy_bp_pay,Mall-5
163,soul_bond_gun,Formation-0
164,special_develop_equip,Factory-4
165,eat,Factory-2
166,consume_voucher,Research-2
167,,SpecialOPS-0
168,auto_mission,MissionSelection-0
169,retire_equip,Factory-5
170,love_collect,Dorm-0
172,adjust_fairy,Research-4
173,gain_hg,Factory-0
174,gain_smg,Factory-0
175,gain_ar,Factory-0
176,gain_mg,Factory-0
177,gain_rf,Factory-0
178,gain_fittings,Factory-4
179,gain_magazine,Factory-4
180,gain_equipment,Factory-4
183,get_the_diamond,Mall-3
184,simulated_warfare,MissionSelection-2
185,mission_activities_win,MissionSelection-0
186,up_mod1,Research-5
187,up_mod2,Research-5
188,up_mod3,Research-5
189,upgrade2,Research-0
190,sun_friend_team_into,Friend-0
191,night_friend_team_into,Friend-0
192,mind_update,Research-5
193,reset_mission_group,MissionSelection-0
194,special_mission_point,MissionSelection-0
195,,SpecialActivity-0
197,get_lollipop,Dorm-0
198,get_icecream,Dorm-0
199,friend_greeting,Friend-0
200,friend_request,Friend-0
201,get_core,Factory-1
202,squad_data_analyse,Dorm-20005
203,squad_eat_chip,Dorm-20006
204,,Dorm-20001
205,,Dorm-20002
206,,Dorm-20003
207,,Dorm-20004
208,,SpecialOPSPanel-0
209,uniform_get_color,UserDressup-1
210,activation_uniform_skill,UserDressup-0
211,,Mall-209
212,use_dye,UserDressup-1
213,buy_assign_dye,Mall-5
214,buy_random_dye,Mall-5
215,get_commander_uniform,Mall-209
216,buy_commander_uniform,Mall-209
217,explore_has_time,Dorm-20008
218,explore_start,Dorm-20008
219,explore_auto_team,Dorm-20008
220,explore_first_times,Dorm-20008
221,explore_replay,Dorm-20008
222,explore_get_prize,Dorm-20008
223,explore_change_item,Dorm-20008
224,sangvis_retrieval,SangvisGasha-0
228,sangvis_dorm,Dorm-20009
229,sangvis_chip,Dorm-20009-902
230,sangvis_daily_retrieval,SangvisGasha-0
231,sangvis_aided_retrieval,SangvisGasha-0
232,sangvis_exercise_exp,MissionSelection-2-7
233,sangvis_exercise_star,MissionSelection-2-7
234,sangvis_exercise_analysis,MissionSelection-2-7
235,sangvis_resolution,Factory-3
236,sangvis_advance,Factory-2
237,sangvis_datatransport,Dorm-20009-904
238,sangvis_skillpractic,Research-0
239,sangvis_disassemble,Factory-1
240,sangvis_transport,Dorm-20009-904
241,sangvis_exercise,MissionSelection-2-7
242,targettrain_paas_1,MissionSelection-2-8
243,targettrain_paas_2,MissionSelection-2-8
244,targettrain_paas_3,MissionSelection-2-8
245,targettrain_paas_4,MissionSelection-2-8
246,targettrain_paas_5,MissionSelection-2-8
247,fetter_read_story,Dorm-20002-207
248,fetter_unlock_milestone,Dorm-20002-207
249,fetter_clear_fetter,Dorm-20002-207
250,eat_equip,Research-1
251,gasha,Dorm-1
252,storeroom,StoreRoom-0
253,rankinglist,RankingList-0
254,quests,Quests-0
255,setting,Setting-0
256,illustratedbook,IllustratedBook-0
257,mail,Mail-0
258,,SpecialActivity-1
259,,SpecialActivity-9
260,,SpecialActivity-10
261,,SpecialActivity-11
262,friend_praise,Dorm-0
263,squad_base_data_analyse,Dorm-20005
264,squad_senior_data_analyse,Dorm-20005
265,squad_get_chip,Dorm-20005
266,squad_get_secret_data,Dorm-20005
267,squad_get_type1_unit,Dorm-20006
268,squad_up_rank,Dorm-20006
269,squad_rank_max,Dorm-20006
270,squad_train_time,Dorm-20006
271,squad_level_max,Dorm-20006
272,squad_up_skill_times,Dorm-20006
273,squad_up_advanced_times,Dorm-20006
274,squad_chip_retire_times,Dorm-20006
275,squad_eat_chip_num,Dorm-20006
276,mission_emergency_0_1_3,MissionSelection-0
277,mission_emergency_0_1_5,MissionSelection-0
278,mission_emergency_0_1_6,MissionSelection-0
279,mission_emergency_0_2_1,MissionSelection-0
280,mission_emergency_0_2_2,MissionSelection-0
281,mission_emergency_0_2_3,MissionSelection-0
282,mission_emergency_0_2_4,MissionSelection-0
283,mission_emergency_0_2_5,MissionSelection-0
284,mission_emergency_0_2_6,MissionSelection-0
285,mission_emergency_1_1_2,MissionSelection-0
286,mission_emergency_1_1_3,MissionSelection-0
287,mission_emergency_1_1_4,MissionSelection-0
288,mission_emergency_1_2_2,MissionSelection-0
289,mission_emergency_1_2_3,MissionSelection-0
290,mission_emergency_1_2_4,MissionSelection-0
291,mission_emergency_0_3_1,MissionSelection-0
292,mission_emergency_0_3_2,MissionSelection-0
293,mission_emergency_0_3_3,MissionSelection-0
294,mission_emergency_0_3_4,MissionSelection-0
295,mission_emergency_0_3_5,MissionSelection-0
296,mission_emergency_1_3_2,MissionSelection-0
297,mission_emergency_1_3_3,MissionSelection-0
298,mission_emergency_1_3_4,MissionSelection-0
299,mission_emergency_0_4_1,MissionSelection-0
300,mission_emergency_0_4_2,MissionSelection-0
301,mission_emergency_0_4_3,MissionSelection-0
302,mission_emergency_0_4_4,MissionSelection-0
303,mission_emergency_0_4_5,MissionSelection-0
304,mission_emergency_0_4_6,MissionSelection-0
305,mission_emergency_1_4_2,MissionSelection-0
306,mission_emergency_1_4_3,MissionSelection-0
307,mission_emergency_0_5_1,MissionSelection-0
308,mission_emergency_0_5_2,MissionSelection-0
309,mission_emergency_0_5_3,MissionSelection-0
310,mission_emergency_0_5_4,MissionSelection-0
311,mission_emergency_0_5_5,MissionSelection-0
312,mission_emergency_3_1_2,MissionSelection-0
313,mission_emergency_3_1_3,MissionSelection-0
314,mission_emergency_3_1_4,MissionSelection-0
315,mission_emergency_3_2_2,MissionSelection-0
316,mission_emergency_3_2_3,MissionSelection-0
317,mission_emergency_3_2_4,MissionSelection-0
318,mission_emergency_3_3_2,MissionSelection-0
319,mission_emergency_3_3_3,MissionSelection-0
320,mission_emergency_0_5_6,MissionSelection-0
321,fetter_voice,Dorm-20002
322,fetter_skill,Dorm-20002
323,retire_gun_core,Factory-1
324,c_gun_skill_level,Research-0
325,c_gun_skill2_level,Research-0
326,doll_memoris,Dorm-20004
327,mission_duplicate_type5,MissionSelection-2
328,c_iop_develop_equip,Factory-4
329,different_equip,Factory-4
330,rank5_equip,Factory-4
331,c_equip_enhancement,Research-2
332,trial_layer,MissionSelection-2
333,different_fairy,Factory-4
334,c_fairy_rank,Research-3
335,c_fairy_skill_level,Research-0
337,c_squad_rank,Dorm-20006
338,write_squad_report,Dorm-20002
339,exchange_squad_report,Dorm-20008
340,c_squad_level,Dorm-20006
341,c_squad_allskills_level,Dorm-20006
342,c_squad_chip_level,Dorm-20006
343,c_sangvis_advance,Factory-2
344,different_sangvis_chip,Dorm-20009-902
345,complete_normal_mission,MissionSelection-0
346,complete_emergency_mission,MissionSelection-0
347,complete_night_mission,MissionSelection-0
348,complete_campaign,MissionSelection-3
349,write_report,Dorm-20002
350,from_friend_build_coin,Dorm-0
351,minigame_count,Dorm-20004
352,dorm_comfort,Dorm-0
353,coffeeshop_comic,Dorm-20004
354,coffeeshop_pv,Dorm-20004
355,costume_memoris,Dorm-20004
356,item_access_report,MissionSelection-2-1
357,item_access_capsule,MissionSelection-2-2
358,item_access_data,MissionSelection-2-3
359,item_access_calibration,MissionSelection-2-4
360,item_access_memory,MissionSelection-2-5
