id,type,count,prize_id,title,content,function_control_id,carnival_type_id
1,cumulative_login,1,10086,累计登录,累计登录1天,0,1
2,cumulative_login,2,10088,累计登录,累计登录2天,0,1
3,cumulative_login,3,10088,累计登录,累计登录3天,0,1
4,cumulative_login,5,10091,累计登录,累计登录5天,0,1
5,cumulative_login,8,10091,累计登录,累计登录8天,0,1
6,cumulative_login,10,10094,累计登录,累计登录10天,0,1
7,cumulative_login,12,10097,累计登录,累计登录12天,0,1
8,friend_praise,10,10088,友谊的小船,活动期间累计被点赞10次,0,2
9,friend_praise,30,10091,友谊的小船,活动期间累计被点赞30次,0,2
10,friend_praise,50,10094,友谊的小船,活动期间累计被点赞50次,0,2
11,friend_praise,100,10097,友谊的小船,活动期间累计被点赞100次,0,2
12,mission_win,10,10088,战役关卡,战役胜利情况下挑战任意战役关卡10次（自律除外）,0,11
13,mission_win,20,10091,战役关卡,战役胜利情况下挑战任意战役关卡20次（自律除外）,0,11
14,mission_win,50,10094,战役关卡,战役胜利情况下挑战任意战役关卡50次（自律除外）,0,11
15,mission_win,100,10097,战役关卡,战役胜利情况下挑战任意战役关卡100次（自律除外）,0,11
16,consume_furniture_coin,100,10088,限时采购,累计消耗采购币*100,0,16
17,consume_furniture_coin,200,10091,限时采购,累计消耗采购币*200,0,16
18,consume_furniture_coin,500,10098,限时采购,累计消耗采购币*500,0,16
19,consume_furniture_coin,1000,10099,限时采购,累计消耗采购币*1000,0,16
20,consume_iop_contract,10,10088,人形制造,累计消耗人形制造契约*10,0,3
21,consume_iop_contract,20,10091,人形制造,累计消耗人形制造契约*20,0,3
22,consume_iop_contract,50,10094,人形制造,累计消耗人形制造契约*50,0,3
23,consume_iop_contract,100,10097,人形制造,累计消耗人形制造契约*100,0,3
24,develop_gun_rank4,1,10088,血统验证,累计造出4星人形*1,0,8
25,develop_gun_rank4,5,10091,血统验证,累计造出4星人形*5,0,8
26,develop_gun_rank5,1,10094,血统验证,累计造出5星人形*1,0,9
27,develop_gun_rank5,5,10097,血统验证,累计造出5星人形*5,0,9
28,get_build_coin,200,10088,收集电池,累计获得电池*200,0,10
29,get_build_coin,500,10094,收集电池,累计获得电池*500,0,10
30,get_build_coin,1000,10097,收集电池,累计获得电池*1000,0,10
31,collect_gun,10,10088,救援人形,在任意关卡或战斗中累计救援任意人形10个（自律除外）,0,15
32,collect_gun,30,10091,救援人形,在任意关卡或战斗中累计救援任意人形30个（自律除外）,0,15
33,collect_gun,50,10094,救援人形,在任意关卡或战斗中累计救援任意人形50个（自律除外）,0,15
34,collect_gun,100,10097,救援人形,在任意关卡或战斗中累计救援任意人形100个（自律除外）,0,15
35,upgrade,1,10086,技能升级,累计升级人形/妖精技能1次,0,12
36,upgrade,3,10088,技能升级,累计升级人形/妖精技能3次,0,12
37,upgrade,5,10094,技能升级,累计升级人形/妖精技能5次,0,12
38,upgrade,10,10097,技能升级,累计升级人形/妖精技能10次,0,12
39,s_win,10,10088,S胜挑战,以S评价完成10场战斗,0,25
40,s_win,30,10091,S胜挑战,以S评价完成30场战斗,0,25
41,s_win,50,10094,S胜挑战,以S评价完成50场战斗,0,25
42,s_win,100,10097,S胜挑战,以S评价完成100场战斗,0,25
43,operation_duration,200,10088,后勤支援,后勤支援累计完成200小时,0,14
44,operation_duration,500,10094,后勤支援,后勤支援累计完成500小时,0,14
45,operation_duration,800,10097,后勤支援,后勤支援累计完成800小时,0,14
46,operation_big_success,3,10086,后勤大成功,累计后勤大成功3次,0,67
47,operation_big_success,5,10088,后勤大成功,累计后勤大成功5次,0,67
48,operation_big_success,10,10091,后勤大成功,累计后勤大成功10次,0,67
49,fix_gun,10,10086,修复工作,累计修复人形或融合势力单位10次,0,17
50,fix_gun,20,10088,修复工作,累计修复人形或融合势力单位20次,0,17
51,fix_gun,30,10091,修复工作,累计修复人形或融合势力单位30次,0,17
52,consume_bp,10,10086,动能消耗（包含超导动能）,累计消耗动能*10,0,18
53,consume_bp,30,10091,动能消耗（包含超导动能）,累计消耗动能*30,0,18
54,consume_bp,50,10094,动能消耗（包含超导动能）,累计消耗动能*50,0,18
55,consume_ammo,10000,10088,弹药消耗,累计消耗弹药*10000,0,21
56,consume_ammo,20000,10091,弹药消耗,累计消耗弹药*20000,0,21
57,consume_ammo,30000,10094,弹药消耗,累计消耗弹药*30000,0,21
58,consume_voucher,50,10088,校准点券,累计消耗校准点券*50,0,19
59,consume_voucher,100,10091,校准点券,累计消耗校准点券*100,0,19
60,consume_voucher,300,10094,校准点券,累计消耗校准点券*300,0,19
61,upvote,10,10088,点赞使者,活动期间累计点赞10次,0,20
62,upvote,30,10091,点赞使者,活动期间累计点赞30次,0,20
63,upvote,50,10094,点赞使者,活动期间累计点赞50次,0,20
64,open_gift,10,10086,礼物赠送,累计赠送礼物*10,0,45
65,open_gift,20,10088,礼物赠送,累计赠送礼物*20,0,45
66,open_gift,50,10091,礼物赠送,累计赠送礼物*50,0,45
67,open_gift,100,10094,礼物赠送,累计赠送礼物*100,0,45
