id,type,title,content,function_control_id
1,cumulative_login,累计登录,累计登录{0}天,0
2,friend_praise,友谊的小船,活动期间累计被点赞{0}次,0
3,consume_iop_contract,人形制造,累计消耗人形制造契约*{0},0
4,consume_coin1,训练资料,消耗初级训练资料*{0},0
5,consume_coin2,训练资料,消耗中级训练资料*{0},0
6,consume_coin3,训练资料,消耗高级训练资料*{0},0
7,consume_fight_report,作战报告书,消耗作战报告书*{0},0
8,develop_gun_rank4,血统验证,累计造出4星人形*{0},0
9,develop_gun_rank5,血统验证,累计造出5星人形*{0},0
10,get_build_coin,收集电池,累计获得电池*{0},0
11,mission_win,战役关卡,战役胜利情况下挑战任意战役关卡{0}次（自律除外）,0
12,upgrade,技能升级,累计升级人形/妖精技能{0}次,0
13,borrow_friend_team,支援梯队,累计部署支援梯队次数*{0},0
14,operation_duration,后勤支援,后勤支援累计完成{0}小时,0
15,collect_gun,救援人形,在任意关卡或战斗中累计救援任意人形{0}个（自律除外）,0
16,consume_furniture_coin,限时采购,累计消耗采购币*{0},0
17,fix_gun,修复工作,累计修复人形或融合势力单位{0}次,0
18,consume_bp,动能消耗（包含超导动能）,累计消耗动能*{0},0
19,consume_voucher,校准点券,累计消耗校准点券*{0},0
20,upvote,点赞使者,活动期间累计点赞{0}次,0
21,consume_ammo,弹药消耗,累计消耗弹药*{0},0
22,mission_common_win,普通战役挑战,战斗胜利情况下挑战普通战役{0}次,0
23,mission_emergent_win,紧急战役挑战,战斗胜利情况下挑战紧急战役{0}次,0
24,mission_night_win,夜战关卡,战役胜利情况下挑战夜战战役关卡{0}次,0
25,s_win,S胜挑战,以S评价完成{0}场战斗,0
26,operation,后勤支援,后勤支援累计完成{0}次,0
27,mission_duplicate_type1,经验特训,模拟作战-经验特训累计{0}次,0
28,mission_duplicate_type2,强化练习,模拟作战-强化练习累计{0}次,0
29,mission_duplicate_type3,资源采样,模拟作战-资源采样累计{0}次,0
30,gun_level_up_count,人形升级,人形升级{0}次,0
31,eat_gun,人形强化,人形强化{0}次,0
32,favor_up,好感度,好感度上升{0}点,0
33,soul_bond_gun,誓约次数,缔结誓约{0}次,0
34,develop_gun,人形制造次数,人形制造{0}次,0
35,develop_equip,装备制造,累计进行装备普通制造{0}次,0
36,develop_equip_rank4,血统验证_装备,累计造出4星装备*{0},0
37,develop_equip_rank5,血统验证_装备,累计造出5星装备*{0},0
38,consume_mp,人力消耗,累计消耗人力*{0},0
39,consume_mre,口粮消耗,累计消耗口粮*{0},0
40,consume_part,零件消耗,累计消耗零件*{0},0
41,buy_bp_count,体力购买,累计购买体力{0}次,0
42,consume_core,核心消耗,核心消耗*{0},0
43,consume_exchange_coin,兑换券消耗,兑换券消耗*{0},0
44,consume_skin_exchange,黑卡消耗,黑卡消耗*{0},0
45,open_gift,礼物赠送,累计赠送礼物*{0},0
46,gasha_count,采购次数,采购次数*{0}（10连抽算11次）,0
47,consume_capsule,增幅胶囊,累计消耗增幅胶囊*{0},0
48,consume_quick_training,快速训练契约,消耗快速训练契约*{0},0
49,consume_quick_reinforce,快速修复契约,消耗快速修复契约*{0},0
50,consume_gem,钻石消耗,钻石消耗*{0},0
51,cumulative_recharge_amount,累计充值额度,累计充值￥{0},0
52,cumulative_recharge_days,累计充值天数,累计充值{0}天（任意充值额度，一天内有过充值行为记为1天，不论充值次数）,0
53,special_develop_gun,重型制造,累计重型制造{0}次,0
54,adjust_equip,装备校验,,0
55,trial_mission,防御演习,,0
56,win_hunter,,战斗胜利情况下累计消灭铁血BOSS猎手*{0},0
57,win_executioner,,战斗胜利情况下累计消灭铁血BOSS刽子手*{0},0
58,win_architect,,战斗胜利情况下累计消灭铁血BOSS建筑师 *{0},0
59,win_ouroboros,,战斗胜利情况下累计消灭铁血BOSS衔尾蛇*{0},0
60,get_friend_points,,活动期间，获得友情点数*{0},0
61,consume_friend_points,,活动期间，消耗友情点数*{0},0
62,consume_build_coin,,活动期间，消耗建设资料*{0},0
63,win_jammer,通缉令,战斗胜利情况下累计消灭铁血BOSS干扰者*{0},0
64,win_destroyer,通缉令,战斗胜利情况下累计消灭铁血BOSS破坏者*{0},0
65,win_alchemist,通缉令,战斗胜利情况下累计消灭铁血BOSS炼金术士*{0},0
66,consume_quick_develop,,累计消耗快速制造契约{0},0
67,operation_big_success,后勤大成功,累计后勤大成功{0}次,0
68,mystery_mission_1,特殊作战,战役胜利情况下挑战关卡“测试关卡E”{0}次,0
69,mystery_mission_2,特殊作战,战役胜利情况下挑战关卡“测试关卡F”{0}次,0
70,mystery_mission_3,特殊作战,战役胜利情况下挑战关卡“测试关卡G”{0}次,0
71,mystery_mission_4,特殊作战,战役胜利情况下挑战关卡“测试关卡H”{0}次,0
72,mystery_mission_5,特殊作战,战役胜利情况下挑战关卡“测试关卡I”{0}次,0
73,mystery_mission_6,特殊作战,战役胜利情况下挑战关卡“测试关卡J”{0}次,0
74,mystery_mission_7,特殊作战,战役胜利情况下挑战关卡“测试关卡K”{0}次,0
75,mystery_mission_8,特殊作战,战役胜利情况下挑战关卡“测试关卡L”{0}次,0
76,mystery_mission_9,特殊作战,战役胜利情况下挑战关卡“测试关卡M”{0}次,0
77,mystery_mission_10,特殊作战,战役胜利情况下挑战关卡“测试关卡N”{0}次,0
78,special_develop_equip,,装备重型建造,0
79,mission_activities_win,,活动关卡或普通关卡挑战,0
80,mind_update,,进行{0}次心智升级,0
81,reset_mission_group,,重置{0}次活动关卡,0
82,special_mission_point,,兔洞达到{0}分,0
83,coffeeshop_comic,,购买{0}次漫画,0
84,coffeeshop_pv,,购买{0}次PV,0
85,mission_duplicate_type5,,参与云图回廊{0}次（任意难度） ,0
86,develop_fairy,,获得战术妖精{0},0
87,special_develop,,重型建造{0},0
88,squad_base_data_analyse,情报解析,使用原始数据样本进行{0}次情报解析,0
89,squad_senior_data_analyse,情报解析,使用纯净数据样本进行{0}次情报解析,0
90,squad_data_analyse,情报解析,累计进行{0}次情报解析（原始/高级皆可）,0
91,squad_data_by_analyse,中枢数据,通过情报解析获得中枢数据*{0},0
92,squad_chip_rank4_by_analyse,血统验证,通过情报解析获得4星芯片*{0},0
93,squad_chip_rank5_by_analyse,血统验证,通过情报解析获得5星芯片*{0},0
94,squad_level_up_times,重装等级提升,重装部队累计提升{0}级,0
95,squad_strengthen_times,重装部队强化,使用{0}个增幅胶囊强化重装部队,0
96,squad_train_and_skill_times,重装部队训练,重装部队完成{0}次训练（经验/技能皆可）,0
97,squad_up_rank,重装部队晋升,重装部队晋升{0}次,0
98,squad_up_advanced_times,重装部队迭代,累计进行{0}次迭代,0
99,squad_eat_chip_num,芯片强化,将{0}个芯片用于芯片强化,0
100,combine_gun,人形扩编,人形扩编{0}次,0
101,win_armorrobot,装甲机械铁血兵,战斗胜利情况下消灭{0}个装甲机械铁血兵,0
102,win_robot,普通机械铁血兵,战斗胜利情况下消灭{0}个普通机械铁血兵,0
103,win_person,普通人形铁血兵,战斗胜利情况下消灭{0}个普通人形铁血兵,0
104,win_boss,消灭BOSS,战斗胜利情况下消灭{0}个BOSS,0
105,from_friend_build_coin,电池领取,累计领取好友宿舍电池{0}次,0
106,finish_squad_daily_task,完成情报任务,完成{0}次情报任务,0
107,consume_quick_analyse,消耗快速解析契约,累计消耗快速解析契约*{0},0
108,get_squad_fragment_type1,血统验证_BGM-71,累计获得{0}个反坦克武器中枢碎片,0
109,get_squad_fragment_type2,血统验证_2B14,累计获得{0}个迫击炮中枢碎片,0
110,get_squad_fragment_type3,血统验证_AGS-30,累计获得{0}个榴弹发射器中枢碎片,0
111,get_base_data,获取原始数据样本,累计获得{0}个原始数据样本,0
112,get_senior_data,获取纯净数据样本,累计获得{0}个纯净数据样本,0
113,get_fight_report,生产任意作战报告书,累计生产任意作战报告书*{0}（包括作战报告书和特种作战报告书）,0
114,explore_has_time,完成探索,累计完成{0}个小时探索,0
115,buy_commander_uniform,指挥官服装购买,累计购买{0}件指挥官服装,0
116,get_commander_uniform,指挥官服装获得,累计获得{0}件指挥官服装,0
117,buy_random_dye,随机染色剂,累计购买{0}个随机染色剂,0
118,buy_assign_dye,指定染色剂,累计购买{0}个指定染色剂,0
119,use_dye,使用染色剂,累计使用{0}个染色剂,0
120,sangvis_daily_retrieval,常规捕获,累计完成收归行动-常规捕获{0}次,0
121,sangvis_aided_retrieval,委托捕获,累计完成收归行动-委托捕获{0}次,0
122,sangvis_exercise,融合演习,累计完成模拟作战-融合演习{0}次,0
123,sangvis_exercise_exp,防卫构思集训,累计完成融合演习-防卫构思集训{0}次,0
124,sangvis_exercise_star,开发调节操练,累计完成融合演习-开发调节操练{0}次,0
125,sangvis_exercise_analysis,解密算法练习,累计完成融合演习-解密算法练习{0}次,0
126,consume_sangvis_exp_item,突击成长,累计消耗突击成长存储碟{0}个,0
127,consume_sangvis_advance_item,开发培养,累计消耗开发培养皿{0}个,0
128,consume_sangvis_skill_coin1,训练密钥,累计消耗初级训练密钥{0}个,0
129,consume_sangvis_skill_coin2,训练密钥,累计消耗高级训练密钥{0}个,0
130,consume_sangvis_material1_coin,势能消耗（包括超导势能）,累计消耗势能{0}个,0
