id,group,content,paras,type,type_name
1,2,对对对!!!,,1,闲谈
2,2,拜拜。,,1,
3,2,嗨~！,,1,
4,2,请稍等！,,1,
5,2,（探头,,1,
6,2,新晋指挥官，萌新请多多指教。,,1,
7,2,该收后勤了,,1,
8,2,准备好了吗？,,2,催促
9,2,开始对决吧！,,2,
10,2,搞快点，搞快点！,,2,
11,2,快点啊，副官还等着我回去打靶呢！,,2,
12,2,房主在吗？,,2,
13,2,决战到天亮！,,3,约战
14,2,再来一局吗？,,3,
15,2,战个痛！,,3,
16,2,就到这里吧。,,3,
17,2,我要求重赛,,3,
18,2,我才是真正的格里芬棋王,,4,挑衅
19,2,我一定会让你们知道谁才是格里芬最强的棋手！,,4,
20,2,嗯//c是我!,,4,
21,2,必可活用至这一局,,4,
22,3,对对对!!!,,1,闲谈
23,3,？,,1,
24,3,。。。。。。,,1,
25,3,大意了。,,1,
26,3,运气不错。,,1,
27,3,信号怎么回事？该找格琳娜修一下了。,,1,
28,3,纳尼(ÒωÓױ)！,,1,
29,3,专业！,,1,
30,3,（探头,,1,
31,3,谢谢你,,1,
32,3,好~的,,1,
33,3,留意时间。,,2,催促
34,3,搞快点，搞快点！,,2,
35,3,集火第一名！,,3,战局
36,3,你们不要再打了,,3,
37,3,好1！,,3,
38,3,好2！,,3,
39,3,好3！,,3,
40,3,好4！,,3,
41,3,好5！,,3,
42,3,好6！,,3,
43,3,精彩,,3,
44,3,这就是传说中的大佬吗？,,4,求饶
45,3,我还是回家喝坍塌液吧。,,4,
46,3,战术少女会有什么坏心思呢？,,4,
47,3,结盟吧！不要打我,,4,
48,3,别打我，我投降,,4,
49,3,怎么大白天就开始做梦了？,,5,挑衅
50,3,时代变了,,5,
51,3,我想要挨一顿毒打。,,5,
52,3,格里芬的救援队都比这强。,,5,
53,3,把我的木星炮拿过来！,,5,
54,3,你已经进入我的射程范围了,,5,
55,3,你的生命已如风中残烛,,5,
56,3,这波啊，这波是在大气层。,,5,
57,3,你告诉我我怎么输？,,5,
58,3,我拭目以待，你梯队溃灭的样子。,,5,
59,3,满血你还能秒了我？,,5,
60,3,来啊，对狙啊,,6,反击
61,3,没想到吧！,,6,
62,3,我手中握着1/6的未来。,,6,
63,3,没事，这一发没装子弹。,,6,
64,3,现在，是我的回合！,,6,
65,3,等我投出6就把你们都干掉,,6,
66,3,不用慌，这是我战略性调整,,6,
67,3,哈哈，不好意思了！,,6,
68,3,还没结束呢。,,6,
