id,name,code,description,max_tier,type,duration_type,duration,parameter,trigger_creation_id,creation_id,available_gun_type,ui_control
101,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,1,1,0,8,0,0
102,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,-1,1,0,7,0,0
103,冷却减少【*】,,当前冷却-1【*】,10,121,1,1,-1,0,5,0,0
104,行动力提升,FlightChessBuff_3,行动力+1,1,102,1,-1,1,0,8,0,0
105,攻击次数【*】,,攻击次数+1【*】,1,117,1,1,1,0,5,0,0
106,冷却缩减,FlightChessBuff_17,冷却缩减-1,1,122,1,-1,-1,0,5,0,0
107,行动力提升,FlightChessBuff_3,行动力+4,1,102,1,-1,4,0,8,0,0
108,护盾值【*】,,护盾值+1【*】,99,104,1,-1,1,0,0,0,0
109,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,-1,1,0,7,0,0
110,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,-1,1,0,8,0,0
111,最大生命,FlightChessBuff_8,最大生命+1,99,107,1,-1,1,0,6,0,0
112,射程,FlightChessBuff_5,射程+1,99,103,1,-1,1,0,9,0,0
113,护盾值【*】,,护盾值+1【*】,99,104,1,-1,1,0,0,0,0
114,成长次数【*】,,成长次数+1【*】,99,400,1,-1,0,0,0,0,0
115,技能伤害,FlightChessBuff_19,毁伤+1,99,124,1,-1,1,0,5,0,0
116,最大生命,FlightChessBuff_8,最大生命-1,99,107,1,-1,-1,0,13,0,0
117,普攻伤害调整,FlightChessBuff_28,普攻伤害调整,1,120,1,-1,*500101,0,5,0,0
118,冷却缩减,FlightChessBuff_17,冷却缩减-1,5,122,1,-1,-1,0,5,0,0
119,行动力提升,FlightChessBuff_3,行动力+1,99,102,1,1,1,0,8,0,0
120,回复效率【*】,,回复效率+1【*】,99,400,1,-1,0,0,5,0,0
121,跳跃距离,FlightChessBuff_27,机动距离+1,99,125,1,-1,1,0,5,0,0
122,跳跃距离,FlightChessBuff_27,机动距离+2,99,125,1,-1,2,0,5,0,0
123,护盾值【*】,,护盾值+2【*】,1,104,1,-1,2,0,0,0,0
124,上场棋子上限,FlightChessBuff_15,可上场+1,1,118,1,-1,1,0,5,0,0
125,伤害调整,FlightChessBuff_1,不大于10点,1,108,1,-1,*500102,0,5,0,0
126,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,-1,1,0,7,0,0
127,普攻伤害调整,FlightChessBuff_28,普攻调整,1,120,1,-1,*500103,0,5,0,0
128,行动力提升,FlightChessBuff_3,行动力+2,99,102,1,1,2,0,8,0,0
129,随机点射程,FlightChessBuff_5,射程+3,1,103,1,1,3,0,9,0,0
130,伤害提升,FlightChessBuff_1,伤害+5,1,101,1,-1,5,0,7,0,0
131,最大生命,FlightChessBuff_8,最大生命-5,1,107,1,-1,-5,0,6,0,0
132,标记【*】,,标记用【*】,1,400,1,-1,0,0,4,0,0
133,屏蔽标记【*】,,标记用【*】,1,400,1,1,0,0,0,0,0
134,行动力提升,FlightChessBuff_3,行动力+2,1,102,1,-1,2,0,8,0,0
135,行动骰子,FlightChessBuff_22,行动骰子+1,5,130,1,1,1,0,4,0,0
136,骰子点数,FlightChessBuff_24,行动不大于5,1,132,2,1,5,0,4,0,0
137,战斗骰子,FlightChessBuff_23,战斗骰子+1,1,131,1,-1,1,0,4,0,0
138,骰子点数,FlightChessBuff_24,行动不小于3,1,133,1,1,3,0,4,0,0
139,骰子点数,FlightChessBuff_25,战斗不小于3,1,135,1,1,3,0,4,0,0
140,屏蔽用buff【*】,,屏蔽加buff死循环【*】,1,400,1,-1,0,0,0,0,0
141,技能伤害【*】,,技能伤害计数【*】,99,400,1,-1,0,0,0,0,0
142,伤害提升,FlightChessBuff_1,伤害+1,99,101,1,-1,1,0,7,0,0
143,屏蔽用buff【*】,,屏蔽加buff死循环【*】,1,400,1,-1,0,0,0,0,0
