id,code,chip_up_exp,chip_group,level,name,description,cd_type,init_cd,cd,rank,number,skill_target_first,skill_target_second,use_stage,target_select_first,target_select_second,type,is_active,price,sell_price,experience,init_time,fit_gun_type,custom_type,show_ui,log_description,ai_skill,cutin_animation_duration
10101,ChipIcons_01,1,101,1,轻量化,使用道具时，本回合手枪行动力+1。,0,0,0,1,8,10101,0,0,5,0,1,0,2,2,1,1,1,,0,,,0.0
10102,ChipIcons_01,0,101,2,轻量化,使用道具时，本回合手枪行动力+2。,0,0,0,1,0,10102,0,0,5,0,1,0,0,4,0,0,1,,0,,,0.0
10201,ChipIcons_14,1,102,1,调度,使用阵营科技时，减少随机1个手枪的战术当前冷却1回合。,0,0,0,1,8,10201,0,0,5,0,1,0,2,2,1,1,1,,0,,,0.0
10202,ChipIcons_14,0,102,2,调度,使用阵营科技时，减少随机1个手枪的战术当前冷却2回合。,0,0,0,1,0,10202,0,0,5,0,1,0,0,4,0,0,1,,0,,,0.0
10301,ChipIcons_15,1,103,1,后方整顿,手枪使用战术时，减少自身阵营科技当前冷却1回合，每个棋子1回合仅能生效1次。,0,0,0,5,5,10301,0,0,10,0,1,0,5,5,1,5,1,,0,,,0.0
10302,ChipIcons_15,0,103,2,后方整顿,手枪使用战术时，减少自身阵营科技当前冷却2回合，每个棋子1回合仅能生效1次。,0,0,0,5,0,10302,19902,0,10,5,1,0,0,7,1,0,1,,0,,,0.0
10801,ChipIcons_35,1,108,1,规划路线,手枪使用战术时，本回合骰子点数不小于3。,0,0,0,1,8,10801,0,0,10,0,1,0,2,2,1,1,1,,0,,,0.0
10802,ChipIcons_35,0,108,2,规划路线,手枪使用战术时，本回合骰子点数不小于4。,0,0,0,1,0,10802,0,0,10,0,1,0,0,4,1,0,1,,0,,,0.0
12501,ChipIcons_50,1,125,1,弹道校准,步枪射程+1，最大血量-2。,0,0,0,3,7,"12501,12503,12504",0,0,5,0,1,0,3,3,1,2,3,,0,,,0.0
12502,ChipIcons_50,0,125,2,弹道校准,步枪射程+2，最大血量-2。,0,0,0,3,0,"12502,12503,12504",0,0,5,0,1,0,0,5,1,0,3,,0,,,0.0
12601,ChipIcons_28,1,126,1,抵近射击,步枪伤害+1，最大血量-2。,0,0,0,1,8,"12601,12603,12604",0,0,5,0,1,0,2,2,1,1,3,,0,,,0.0
12602,ChipIcons_28,0,126,2,抵近射击,步枪伤害+2，最大血量-2。,0,0,0,1,0,"12602,12603,12604",0,0,5,0,1,0,0,4,1,0,3,,0,,,0.0
13001,ChipIcons_37,1,130,1,局势评估,若你的场上存在2个步枪，攻击时骰子个数+1。,0,0,0,4,6,"13001,1300101,13004",13003,0,5,48,1,0,4,4,1,3,3,,0,,,0.0
13002,ChipIcons_37,0,130,2,局势评估,若你的场上存在1个步枪，攻击时骰子个数+1。,0,0,0,4,0,"13002,1300201,13005",13003,0,5,48,1,0,0,6,1,0,3,,0,,,0.0
13301,ChipIcons_18,1,133,1,全地形载具,在敌方沙盘格上，冲锋枪有60%概率触发<a press=280241>机动</a>。,0,0,0,4,6,"1330102,13301,1330101",0,0,38,0,1,0,4,4,1,3,2,2,0,,,0.0
13302,ChipIcons_18,0,133,2,全地形载具,无论在哪个沙盘格上，冲锋枪都能触发<a press=280241>机动</a>。,0,0,0,4,0,"1330102,13302,1330101",0,0,38,0,1,0,0,6,1,0,2,2,0,,,0.0
14001,ChipIcons_20,1,140,1,蓄能,冲锋枪血量不低于70%时，<a press=280241>机动</a>距离+2。,0,0,0,3,7,"14001,1400101,14003",0,0,38,0,1,0,3,3,1,2,2,2,0,,,0.0
14002,ChipIcons_20,0,140,2,蓄能,冲锋枪血量不低于70%时，<a press=280241>机动</a>距离+4。,0,0,0,3,0,"14002,1400201,14004",0,0,38,0,1,0,0,5,1,0,2,2,0,,,0.0
14301,ChipIcons_21,1,143,1,后发势能,冲锋枪触发<a press=280241>机动</a>时，<a press=280241>机动</a>两次，1回合仅能生效1次。,0,0,0,5,5,14301,0,0,38,0,1,0,5,5,1,5,2,,0,,,0.0
14302,ChipIcons_21,0,143,2,后发势能,冲锋枪触发<a press=280241>机动</a>时，<a press=280241>机动</a>三次，1回合仅能生效1次。,0,0,0,5,0,14302,19903,0,38,5,1,0,0,7,1,0,2,,0,,,0.0
14601,Item_Icon_1,1,146,1,救护无人机,随机回复你的1颗棋子50%血量。,0,0,0,3,8,14601,0,"6,11",20,0,1,1,3,3,0,3,,,0,,,0.0
