id,target_type,target_number,is_select,range,select_order,select_limit,select_type
1,9,1,0,,1,0,1
2,1,0,0,,1,0,0
3,2,1,1,"6,2",,0,1
4,5,1,1,"6,2",,0,1
5,6,1,0,,1,0,0
6,1,0,0,,1,200101,0
7,1,1,0,,1,200101,0
8,"1,3",0,0,,3,200101,0
9,6,1,0,,1,0,0
10,"1,3",0,0,,1,200101,0
11,9,1,0,,1,0,0
12,"1,3",1,0,,3,200102,0
13,1,0,0,,1,200102,0
14,"1,3",0,0,,1,0,0
15,1,0,0,,1,200103,0
16,3,0,0,,1,200103,0
17,"1,3",0,0,,1,200103,0
18,"1,3",0,0,,1,200104,0
19,1,0,0,,1,200104,0
20,1,1,0,,1,0,0
21,"1,2,3",1,0,,1,0,0
22,1,1,0,,1,0,0
23,"1,2",0,0,,1,0,0
24,1,2,0,,1,200101,0
25,1,1,1,,,0,0
26,1,2,0,"6,4",1,0,0
27,1,1,0,,1,0,0
28,"6,7",0,0,,1,0,0
29,"1,2",1,0,,1,0,0
30,7,1,1,,,0,0
31,"1,2",1,1,,,0,0
32,1,1,1,,1,0,0
33,8,1,1,,,0,0
34,2,1,1,,,0,0
35,11,1,0,,1,0,0
36,"1,3",0,0,,1,200105,0
37,1,0,0,,1,0,0
38,"1,3",0,0,,1,200107,0
39,1,1,0,,3,200102,0
40,"1,3",0,0,,1,200102,0
41,1,1,0,,1,200109,0
42,1,1,1,,1,0,0
43,1,0,0,,3,200102,0
44,9,1,0,,1,200108,1
45,5,1,1,"6,4",,0,1
46,1,1,1,,,0,1
47,"1,2",0,0,,1,0,0
48,"1,3",0,0,,1,0,0
49,2,0,0,,,0,0
50,2,1,0,,1,200110,0
51,2,1,0,,1,200111,0
52,2,1,0,,1,200112,0
53,1,1,0,,2:200113,0,0
54,1,1,0,,1,200102,0
55,1,1,0,,1,200112,0
56,7,0,0,,1,0,0
