id,code,start_type,start_offset,destination_type,destination_offset,route_type,route_hight,speed,easing_type,spin_velocity,rotate,duration,perform_duration,is_tracing,scale,is_hide,trigger_creation,trigger_creation_delay,creation_type,sound_order,sound_delay,creation_direction
1,手榴弹,2,0,1,0,2,1000,1500,0,3000,0,30,0,0,"2,2,2",0,"2,3","-1,-1",0,,,0
2,手雷坑,4,0,4,0,0,0,0,0,0,"-15,0,0",80,0,0,"1.5,1",0,,,0,,,0
3,爆炸,4,0,4,0,0,0,0,0,0,0,30,0,0,1,0,,,0,BT_grenade_explode,0,0
4,爆炸,2,0,2,0,0,0,0,0,0,0,30,0,0,1,0,,,0,BT_grenade_explode,0,0
5,Buff_ss_zt,3,"0,0,-1",3,"0,0,-1",0,0,0,0,0,0,300,0,1,1,0,,,0,,,0
6,ztsf_hp,3,"0,0,-0.8",3,"0,0,-0.8",0,0,0,0,0,"-55,0,0",300,0,1,2,0,5,0,0,,,0
7,ztsf_str,3,"0,0,-0.8",3,"0,0,-0.8",0,0,0,0,0,"-55,0,0",300,0,1,2,0,5,0,0,,,0
8,ztsf_mov,3,"0,0,-0.8",3,"0,0,-0.8",0,0,0,0,0,"-55,0,0",300,0,1,2,0,5,0,0,,,0
9,ztsf_range,3,"0,0,-0.8",3,"0,0,-0.8",0,0,0,0,0,"-55,0,0",300,0,1,2,0,5,0,0,,,0
10,力场盾,3,"0,0,-0.8",3,"0,0,-0.8",0,0,0,0,0,"-55,0,0",300,0,1,1,0,5,0,0,BT_shield,0,0
11,ztsf_str_delay,3,"0,0,-1",3,"0,0,-1",0,0,0,0,0,0,300,0,1,2,0,12,180,0,,,0
12,ztsf_str,4,0,4,0,0,0,0,0,0,0,300,0,1,2,0,0,0,0,,,0
13,Buff_de_xh01,3,"0,0,-1",3,"0,0,-1",0,0,0,0,0,"-55,0,0",15,0,1,1,0,20,15,0,,,0
14,爆炸,2,"0,0,-0.8",2,"0,0,-0.8",0,0,0,0,0,0,45,0,0,1,0,,,0,BT_grenade_explode,0,0
15,juji_congji,4,0,4,0,0,0,0,0,0,0,30,0,0,1,0,,,2,,,0
16,SniperSkillBullet,2,"0.6,0,-0.6",3,"0,0,-0.6",4,0,5000,0,0,0,60,0,0,1,0,15,-1,2,BT_rifle_skill,0,0
17,2019summer/Y_19summer_boss_train 1,3,"-21.7,7.5,-9.8",3,"-21.7,7.5,-9.8",0,0,0,0,0,"-55,0,150",90,25,0,1,0,22,15,2,BT_traintank_laser_shot,0,0
18,Buff_ziliao,3,"0,0,-1",3,"0,0,-1",0,0,0,0,0,"-55,0,0",150,15,1,"0.8,0.8,0.8",0,,,0,,,0
19,zengfu_kapai,3,"0,0,-1",3,"0,0,-1",0,0,0,0,0,"-55,0,0",300,20,1,"1.5,1.5,1.5",0,,,0,,,0
20,Buff_de_xh02,3,"0,0,-1",3,"0,0,-1",0,0,0,0,0,"-55,0,0",45,0,1,"0.8,0.8,0.8",0,,,0,,,0
21,,1,0,1,0,0,0,0,0,0,0,60,60,0,1,0,1,40,0,,,0
22,jiguang_shouji,2,"0,-0.5,-0.3",2,"0,-0.5,-0.3",0,0,0,0,0,0,30,0,0,1,0,,,0,BT_grenade_explode,0,0
23,Fashetai_paotai,2,"0.1,0,-0.6",2,"0.1,0,-0.6",0,0,0,0,0,0,300,15,1,1,0,24,20,0,,,1
24,Fashetai_zidan,2,"0,0,-0.6",1,0,2,1500,1500,0,0,0,30,15,1,1,0,"26,27","-1,-1",0,,,0
25,手雷,1,"0,0,-0.8",1,"0,0,-0.8",0,0,0,0,0,0,9999999,0,1,1,1,,,0,,,1
26,手雷坑,4,"0,-0.5,0",4,"0,-0.5,0",0,0,0,0,0,0,80,0,0,"1.5,1",0,,,0,,,0
27,爆炸,4,"0,-0.5,0",4,"0,-0.5,0",0,0,0,0,0,0,30,0,0,1,0,,,0,BT_grenade_explode,0,0
28,hunjue,3,"0,0,-0.8",3,"0,0,-0.8",0,0,0,0,0,"-55,0,0",9999999,0,1,1,0,5,0,0,BT_shield,0,0
29,BZ_zengfu,3,"0,0,-1",3,"0,0,-1",0,0,0,0,0,"-55,0,0",300,60,1,1,0,,,0,,,0
30,Fashetai_paotai,2,"0.1,0,-0.6",2,"0.1,0,-0.6",0,0,0,0,0,0,300,15,1,1,0,31,20,0,,,1
31,Fashetai_zidan,2,"0,0,-0.6",3,"0,0,-0.8",2,1500,1500,0,0,0,30,15,1,1,0,"26,27","-1,-1",0,,,0
32,Jiguang_hongzha,2,"0,-1.5,-0.3",2,"0,-1.5,-0.3",0,0,0,0,0,0,90,60,0,1,0,,,0,BT_traintank_laser_shot,0,0
33,suiji_wenhao,3,"0.5,1,-1",3,"0.5,1,-1",0,0,0,0,0,"-55,0,0",300,30,1,1,0,,,0,,,0
34,suiji_tanhao,3,"0.5,1,-1",3,"0.5,1,-1",0,0,0,0,0,"-55,0,0",300,15,1,1,0,,,0,,,0
35,suiji_shanghai,3,"0,0,-0.8",3,"0,0,-0.8",0,0,0,0,0,"-55,0,0",300,30,1,1,0,,,0,BT_grenade_explode,30,0
36,Ditu_EMP,3,"0,0,-0.8",3,"0,0,-0.8",0,0,0,0,0,"-55,0,0",300,15,1,1,0,,,0,,,0
