id,parameter_name,parameter_type,parameter_value
1,crew_mode,string,"1,2"
2,chess_gun_skill_switch,bool,1
3,chess_chose_num,int,3
4,chess_chose_time,int,10
5,chess_member_num,int,8
6,chess_team_num,int,5
7,chess_win_type,int,1
8,chess_goal_point,int,5
9,kill_point,string,"1,0"
10,achieve_point,string,"2,0"
11,point_reward,string,"1:5,1"
12,launch_point,string,"6,1"
13,launch_limit,int,3
14,chess_move_time,int,30
15,chip_achieve_type_conf,string,"5,1"
16,chip_basic_limit,int,5
17,chip_basic_limit2,int,3
18,chip_refresh_chance,int,3
19,chip_refresh_chance_limit,int,100
20,chip_refresh_price,int,2
21,default_team,string,"138:0,196:2104,260:0,294:0,266:0,329:0,115:0,245:0"
23,roommaster_startime_limit,int,30
25,airplane_readytime_limit,int,20
28,chess_set_camp_time,int,45
29,chess_init_time,int,10
30,chess_set_team_time,int,15
31,chess_set_initial_gun_time,int,15
32,chess_round_start_show_time,int,1
33,chess_choose_chip_time,int,60
34,chess_turn_start_time,int,0
35,chess_player_battle_time,int,20
36,chess_player_battle_roll_time,int,15
37,chess_player_end_time,int,30
38,chess_player_drop_chip_time,int,20
39,chess_player_fly_time,int,20
40,chess_player_action_time,int,60
41,chess_jump_distance,int,4
42,chess_connect_ping_level,string,"100,200"
43,chess_abandon_reward,int,2
44,chess_turn_again_limit,int,2
45,chess_player_gun_exit_time,int,20
46,chess_init_delay_time,int,5
47,chess_set_camp_delay_time,int,5
48,chess_set_team_delay_time,int,5
49,chess_set_initial_gun_delay_time,int,5
50,chess_round_start_show_delay_time,int,8
51,chess_choose_chip_delay_time,int,5
52,chess_turn_start_delay_time,int,5
53,chess_player_roll_delay_time,int,5
54,chess_player_fly_delay_time,int,8
55,chess_player_move_delay_time,int,5
56,chess_player_battle_delay_time,int,5
57,chess_player_battle_roll_delay_time,int,5
58,chess_player_end_delay_time,int,5
59,chess_player_drop_chip_delay_time,int,5
60,chess_player_gun_exit_delay_time,int,5
61,chess_player_action_delay_time,int,5
62,chess_player_move_time,int,5
63,default_gun,string,"1:0,2:0,3:0,4:0,5:0,6:0,7:0,8:0,16:0,17:0,18:0,19:0,20:0,21:0,22:0,23:0,34:0,35:0,36:0,37:0,38:0,39:0,40:0,41:0,54:0,55:0,56:0,57:0,58:0,60:0,61:0,62:0,75:0,77:0,78:0,79:0,80:0,81:0,82:0,84:0,151:0,152:0,153:0,154:0,155:0,156:0,157:0,158:0"
64,kill_enemy_point,string,"1,0"
65,monster_camp_color,string,#970000FF
66,chess_init_refresh_chance,int,5
67,chessroom_emoji_joinroom,string,"Emoji__1203,Emoji_1743,Emoji__1502"
68,chessroom_emoji_randemoji,string,"Emoji_0303,Emoji_0301,Emoji_0302,Emoji_1720"
69,chessroom_emoji_randparameter,string,"10,20"
70,battle_attackeremoji_atkoverdef,string,"Emoji__1602,Emoji__1503,Emoji__1502,Emoji_1756"
71,battle_defemoji_atkoverdef,string,"Emoji_1726,Emoji_1753,Emoji__1504,Emoji__1303,Emoji__1501"
72,battle_attackeremoji_killdef,string,"Emoji__1203,Emoji__0502,Emoji_0403,Emoji__1302,Emoji_1744,Emoji_1752"
73,battle_defemoji_killdef,string,"Emoji__1001,Emoji__1506,Emoji_0401,Emoji_0405,Emoji_1758"
74,battle_attackeremoji_miss,string,"Emoji_0204,Emoji_1721,Emoji_1722,Emoji_1726,Emoji_1716"
75,battle_defemoji_miss,string,"Emoji__1503,Emoji_0102,Emoji_1756"
76,flighthomepage_gun,string,"2104,0,-956"
77,flighthomepage_gun_message,string,"280194,280195,280196"
78,flighthomepage_gun_message_cd,int,10
80,rewardfreme_emoji,string,"Emoji__0502,Emoji__0501,Emoji__1203,Emoji_1603,Emoji__1205"
82,chess_monster_notice_showround,int,3
83,capitulate_cdtime,int,360
84,chess_coin_with_gun,int,2
85,chess_gacha_mode,int,2
86,kill_reward_coin,int,3
87,achieve_reward_coin,int,6
88,chess_chance_choose_time,int,15
89,chess_chance_choose_delay_time,int,1
90,chess_chance_choose_limit,int,5
91,chess_chip_experience_price,int,1
92,chess_bag_quality_tips,string,"0:280293,5:280293,10:280293,20:280293,1000:280293"
93,chess_onhook_times,int,3
94,tiptxt_chipcollect,string,"280341,280342"
95,tiptxt_fivechipmax,string,"280343,280344"
113,chess_first_goal_point,int,3
124,hosting_propotion,int,60
126,gasha_cost_ensure,string,"20,4500"
127,time_ticket_limit,string,"1:5,100,100"
128,ticket_get_limit,int,9999
129,rank_ticket_get,string,"7,5,4,2"
130,blacklist_limit,string,"1800,3"
131,ai_invade_time,int,120
132,ticket_dailyget_max,int,700
