id,cd_type,init_cd,cd,duration,trigger,target_buff,self_buff,random_buff,hurt,heal,chip,dice,movement_type,movement_parameter,stage_change,perform_creation_id,effect_range,summoner,token,negative_skill_target,chip_ui_control,score,flight,action
10101,1,0,0,2:-1,10102,101:1,0,,0,0,0,0,0,0,0,0,,0,0,6,3,0,0,
10102,1,0,0,2:-1,10102,128:1,0,,0,0,0,0,0,0,0,0,,0,0,6,3,0,0,
10201,1,0,0,2:-1,10101,103:1,0,,0,0,0,0,0,0,0,0,,0,0,7,1,0,0,
10202,1,0,0,2:-1,10101,103:2,0,,0,0,0,0,0,0,0,0,,0,0,7,1,0,0,
10301,1,0,1,2:-1,10301,103:1,0,,0,0,0,0,0,0,0,0,,0,0,9,1,0,0,
10302,1,0,1,2:-1,10301,103:2,0,,0,0,0,0,0,0,0,0,,0,0,9,1,0,0,
10401,1,0,0,2:-1,10301,0,0,,0,0,5:5,0,0,0,0,0,,0,0,9,3,0,0,
10501,1,0,0,2:-1,10301,101:1,0,,0,0,0,0,0,0,0,0,,0,0,11,3,0,0,
10502,1,0,0,2:-1,10301,128:1,0,,0,0,0,0,0,0,0,0,,0,0,11,3,0,0,
10601,1,0,-1,2:-1,0,104:1,0,,0,0,0,0,0,0,0,0,,0,0,10,0,0,0,
10602,1,0,-1,2:-1,0,134:1,0,,0,0,0,0,0,0,0,0,,0,0,10,0,0,0,
10701,1,0,0,2:-1,10301,105:1,0,,0,0,0,0,0,0,0,0,,0,0,11,3,0,0,
10801,1,0,0,2:-1,10301,"138:1,139:1",0,,0,0,0,0,0,0,0,0,,0,0,9,1,0,0,
10802,1,0,0,2:-1,10301,"145:1,146:1",0,,0,0,0,0,0,0,0,0,,0,0,9,1,0,0,
10901,1,0,0,2:-1,10301,"135:1,136:1",0,,0,0,0,1:1:5:-2:1,0,0,0,0,,0,0,9,3,0,0,
11001,1,0,0,2:-1,0,106:1,0,,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
11101,1,0,0,2:-1,"11101,1110101","107:1,140:1",0,,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
11102,1,0,0,2:-1,11102,"107:-1,140:-1",0,,0,0,0,0,0,0,0,0,,0,0,1,2,0,0,
11103,1,0,0,2:-1,"1110102,1110101","107:1,140:1",0,,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,
11104,1,0,0,2:-1,11104,"107:-1,140:-1",0,,0,0,0,0,0,0,0,0,,0,0,1,2,0,0,
11201,1,0,0,2:-1,11201,108:1,0,,0,0,0,0,0,0,0,0,,0,0,1,3,0,0,
11301,1,0,0,2:-1,10101,"114:1,175:1,177:1,288:1",0,"109:1,110:1,111:1,112:1,113:1,202:1,222:1",0,0,0,0,0,0,0,0,,0,0,39,3,0,0,
