id,spine_name,interact_type,interact_point_type,emoji,min_decorate,max_decorate,min_favor,max_favor,action_voice,action_sound,action_bgm,shadow_exist,move_speed,next_action,no_vertical_motion,is_married,furiniture_action_interact,default_action
1,wait,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
2,wait,1,0,,0,0,0,0,,,,1,0.0,,0,0,,
3,wait,-1,wait,,0,0,0,0,,,,1,0.0,,0,0,,
4,sit,-1,sit,,0,0,0,0,,,,1,0.0,,0,0,,
5,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
6,move,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
7,idle1,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
8,idle2,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
9,dance1,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
10,dance2,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
11,dance3,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
12,action,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
13,action1,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
14,action2,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
15,action3,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
16,work1,-1,kalina_write,,0,0,0,0,,,,1,0.0,,0,0,,
17,work2,-1,kalina_type,,0,0,0,0,,,,1,0.0,,0,0,,
18,pick,-1,pick,,0,0,0,0,,,,1,0.0,,0,0,,
19,sit,0,sit,,0,0,0,0,,,,1,0.0,,0,0,,
20,lying,0,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
21,wait,1,0,"Emoji_0401,Emoji_0402,Emoji_0403,Emoji_0404,Emoji_0405",0,0,0,0,,,,1,0.0,,0,0,,
22,wait,2,0,"Emoji_0102,Emoji__1209,Emoji__1101,Emoji__1207,Emoji__1005,,",0,0,0,0,,,,1,0.0,,0,0,,
23,active,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
24,pick,-1,pick,,0,0,0,0,,,,1,0.0,,0,0,,
25,action4,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
26,action5,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
27,active1,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
28,active2,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
29,sit,-1,bird_sit,,0,0,0,0,,,,1,0.0,,0,0,,
30,action2,-1,anna_sit,,0,0,0,0,,,,1,0.0,,0,0,,
31,action1,-1,bird_sit,,0,0,0,0,,,,1,0.0,,0,0,,
32,attack,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
33,action,-1,fishman_dog,,0,0,0,0,,,,1,0.0,,0,0,,
34,action,-1,eat_dog,,0,0,0,0,,,,1,0.0,,0,0,,
5012,dance,0,0,,0,0,0,0,,,,1,0.0,,0,0,,
21001,wait,0,0,"Emoji__1101,",0,0,0,0,,,,1,0.0,,0,0,,
21002,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
21003,action1,0,0,"Emoji__1101,",0,0,0,0,,,,1,0.0,,0,0,,
21004,action2,0,0,"Emoji__1101,",0,0,0,0,,,,1,0.0,,0,0,,
21011,wait,0,0,"Emoji__1101,Emoji_1721,,,",0,0,0,0,,,,1,0.0,,0,0,,
21012,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
21013,action1,0,0,"Emoji__1101,Emoji_1714,Emoji_1752,,,,",0,0,0,0,,,,1,0.0,,0,0,,
21014,action2,0,0,"Emoji__1101,Emoji_1730,,,",0,0,0,0,,,,1,0.0,,0,0,,
21015,action3,0,0,"Emoji__1101,Emoji_1730,,,",0,0,0,0,,,,1,0.0,,0,0,,
22001,wait,0,0,"Emoji_9003,",0,0,0,0,,,,1,0.0,,0,0,,
22002,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
22003,action1,0,0,"Emoji_9003,",0,0,0,0,,,,1,0.0,,0,0,,
22004,action2,0,0,"Emoji_9003,",0,0,0,0,,,,1,0.0,,0,0,,
22011,wait,0,0,"Emoji_9003,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
22012,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
22013,action1,0,0,"Emoji_9008,Emoji_9004,Emoji_9003",0,0,0,0,,,,1,0.0,,0,0,,
22014,action2,0,0,"Emoji_9005,Emoji_9009",0,0,0,0,,,,1,0.0,,0,0,,
22051,wait,0,0,"Emoji_9003,Emoji_9007,Emoji_9006",0,0,0,0,,,,1,0.0,,0,0,,
22052,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
22053,action1,0,0,"Emoji_9006,Emoji_9003,Emoji_9006,Emoji_9004",0,0,0,0,,,,1,0.0,,0,0,,
22054,action2,0,0,"Emoji_9006,Emoji_9005",0,0,0,0,,,,1,0.0,,0,0,,
22061,wait,0,0,"Emoji_9002,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
22062,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
22063,action1,0,0,"Emoji_9001,Emoji_9002,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
22064,action2,0,0,"Emoji_9001,Emoji_9002,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
22065,swim,-1,3306_swim,"Emoji_9001,Emoji_9002,Emoji_9007",0,0,0,0,,,,1,0.0,,0,0,,
22071,wait,0,0,"Emoji__1304,Emoji__1303",0,0,0,0,,,,1,0.0,,0,0,,
22072,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
22073,action1,0,0,"Emoji__1502,Emoji_0302",0,0,0,0,,,,1,0.0,,0,0,,
22074,action2,0,0,"Emoji__1206,",0,0,0,0,,,,1,0.0,,0,0,,
22075,action3,0,0,"Emoji_0302,",0,0,0,0,,,,1,0.0,,0,0,,
22076,action4,0,0,"Emoji__1204,Emoji__1602",0,0,0,0,,,,1,0.0,,0,0,,
22081,wait,0,0,"Emoji_9003,Emoji_9007,Emoji_9003,Emoji_9007,,",0,0,0,0,,,,1,0.0,,0,0,,
22082,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
22083,action1,0,0,"Emoji_9008,Emoji_9004,Emoji_9003,Emoji_9002,Emoji_9003,Emoji_9002,",0,0,0,0,,,,1,0.0,,0,0,,
22084,action2,0,0,"Emoji_9005,Emoji_9009,Emoji_9009,Emoji_9009,,,",0,0,0,0,,,,1,0.0,,0,0,,
22091,wait,0,0,"Emoji_9003,Emoji_9007,Emoji_1740,,,",0,0,0,0,,,,1,0.0,,0,0,,
22092,lying,-1,sleep,,0,0,0,0,,,,1,0.0,,0,0,,
22093,action1,0,0,"Emoji_9008,Emoji_9003,,Emoji_02ID,,,",0,0,0,0,,,,1,0.0,,0,0,,
22094,action2,0,0,"Emoji_9005,Emoji_9003,Emoji_0301,,,",0,0,0,0,,,,1,0.0,,0,0,,
41919,sit,-1,chess,"Emoji_9010,Emoji_9001,Emoji_9010,Emoji_0203,Emoji_0204,Emoji__1002,Emoji_0302,Emoji_9011,Emoji_9012,Emoji_9013,Emoji_9014,Emoji_9015,,,Emoji_9011,Emoji_9012,Emoji_9013,Emoji_9014,Emoji_9015,Emoji_9010,Emoji_9011,Emoji_9012,Emoji_9013,Emoji_9014",0,0,0,0,,,,1,0.0,,0,0,,
42002,lying,-1,neet_sleep,,0,0,0,0,,,,1,0.0,,0,0,,
42023,wait,-1,green_beverage,"Emoji__1505,Emoji__1506,Emoji__1207,Emoji_0000,Emoji_0001",0,0,0,0,,,,1,0.0,,0,0,,
42032,sit,-1,wv_sit,"Emoji_1760,Emoji_1761,Emoji_1762,Emoji_1763,Emoji_1760,Emoji__1005,Emoji__1209,Emoji_0302,Emoji__1203,Emoji__5003,,",0,0,0,0,,,,1,0.0,,0,0,,
42037,action,-1,concert_harp,"Emoji_90081,Emoji_0203,Emoji_1737,Emoji_1710,,,",0,0,0,0,,,,1,0.0,,0,0,,
42043,wait,-1,ar15_2019wait,"Emoji__1102,Emoji_9001,Emoji__1102,Emoji_1710,,,",0,0,0,0,,,,1,0.0,,0,0,,
42067,action1,-1,gunslinger_book,,0,0,0,0,,,,1,0.0,,0,0,,
42068,violin,-1,gunslinger_violin,"Emoji_90081,Emoji__0501,Emoji_0401,Emoji__0511,Emoji__0510,Emoji_90081,Emoji_90081,Emoji_90081,Emoji_90081,Emoji_90081,Emoji_90081,,",0,0,0,0,,,GF_room_violin_loop,1,0.0,,0,0,,
42070,wait,-1,volleyball_wait,"Emoji_90081,Emoji__0501,Emoji_0401,Emoji__0511,Emoji__0510,Emoji_90081,Emoji_90081,Emoji_90081,Emoji_90081,Emoji_90081,Emoji_90081,,",0,0,0,0,,,,1,0.0,,0,0,,
42087,wait,-1,agent_wait,,0,0,0,0,,,,1,0.0,,0,0,,
43104,wait,-1,taptap,"Emoji__0007,Emoji__0008,Emoji__0010",0,0,0,0,,,,1,0.0,,0,0,,
43105,wait,-1,play,"Emoji_90081,Emoji__0501,Emoji_0401,Emoji__0511,Emoji__0510,Emoji_90081,Emoji_90081,Emoji_90081,Emoji_90081,Emoji_90081,Emoji_90081,,",0,0,0,0,,,,1,0.0,,0,0,,
43108,wait,-1,wa2000_wait,"Emoji__1504,Emoji__1303,Emoji__0510,Emoji__0511,,,",0,0,0,0,,,,1,0.0,,0,0,,
43109,wait,-1,M1903_wait,"Emoji_0202,Emoji_1763,Emoji__1204,Emoji_90082,,,",0,0,0,0,,,,1,0.0,,0,0,,
43111,wait,-1,HK416_wait,"Emoji__1504,Emoji__1505,Emoji__0510,Emoji__1005,,,",0,0,0,0,,,,1,0.0,,0,0,,
43115,wait,-1,arteam_wait,"Emoji_1710,Emoji_1719,Emoji_0202,Emoji_1723,,,",0,0,0,0,,,,1,0.0,,0,0,,
43201,sit2,-1,bonfire_sit,"Emoji_0000_15,Emoji__1601,Emoji_1764,Emoji_9001,,,",0,0,0,0,,,,1,0.0,,0,0,,
43203,sit2,-1,bonfire_sit,"Emoji_1725,Emoji__0507,Emoji_1759,Emoji__1601,Emoji_1712,Emoji_1758,,,",0,0,0,0,,,,1,0.0,,0,0,,
43204,sit2,-1,bonfire_sit,"Emoji__1601,Emoji__1005,Emoji_1714,Emoji_1715,Emoji_1761,,,",0,0,0,0,,,,1,0.0,,0,0,,
43205,sit2,-1,bonfire_sit,"Emoji_1734,Emoji_1730,Emoji__1601,Emoji_1756,Emoji_1729,Emoji_1765,,,",0,0,0,0,,,,1,0.0,,0,0,,
43306,3306_swim,-1,3306_swim,"Emoji__5002,Emoji_0403,Emoji__0501",0,0,0,0,,,,1,0.0,,0,0,,
43508,sit,-1,hotspring,,0,0,0,0,,,,1,0.0,,0,0,,
43911,sit,-1,neet_sit,"Emoji__1002,Emoji__5002",0,0,0,0,,,,1,0.0,,0,0,,
45904,59_rock_roll,-1,rock_roll,"Emoji__0502,Emoji_9009,Emoji_0000,Emoji_1603,Emoji_1604,,,,",0,0,0,0,,,,1,0.0,,0,0,,
46204,action,-1,idol_dance,"Emoji_1605,Emoji__0502,Emoji__1005,Emoji__0501,Emoji__1203,Emoji_90081,,,,,",0,0,0,0,,,,1,0.0,,0,0,,
46413,action5,-1,witch_dance,,0,0,0,0,,,,1,0.0,,0,0,,
46603,wait,-1,eat_lover,"Emoji__0504,Emoji__1005,Emoji__1007,Emoji__1203,Emoji_90082,Emoji__0501,,,",0,0,0,0,,,,1,0.0,,0,0,,
47109,sit,-1,children_sit,"Emoji__1203,Emoji__1503,Emoji_0405,Emoji_1706,,,,",0,0,0,0,,,,1,0.0,,0,0,,
47111,action1,-1,kalina_saler,"Emoji_1734,Emoji_1765,Emoji__1005,Emoji__1602,,,,",0,0,0,0,,,,1,0.0,,0,0,,
47215,wait,-1,9A91_wait_jp,"Emoji__1202,Emoji__0007,Emoji__1008,Emoji__1303,,,,",0,0,0,0,,,,1,0.0,,0,0,,
47225,sit,-1,plane_sit,,0,0,0,0,,,,1,0.0,,0,0,,
47413,action1,-1,sp_architecter,,0,0,0,0,,,,1,0.0,,0,0,,
47507,sit,-1,naughtykid,"Emoji_1702,Emoji_1706,Emoji_9008,Emoji_9002,,,,",0,0,0,0,,,,1,0.0,,0,0,,
47605,pick,-1,hallo19_wait,"Emoji_1708,Emoji_1726,Emoji__1207,Emoji_0405,,,,",0,0,0,0,,,,1,0.0,,0,0,,
48208,wait,-1,nieWV_wait,"|4,*3820801|4,*3820802|4,*3820803|4,*3820804|4,*3820805|4,*3820806",0,0,0,0,,,,1,0.0,,0,0,,
48604,swim,-1,3306_swim,"Emoji__5002,Emoji_0403,Emoji__0501",0,0,0,0,,,,0,0.0,,0,0,,
60601,wait,-1,wedding_talk,"5,*260101|5,*260102|5,*260103|5,*260104",0,0,0,0,,,,1,0.0,,0,0,,
60602,wait,-1,wedding_talk,"5,*260201|5,*260202|5,*260203|5,*260204",0,0,0,0,,,,1,0.0,,0,0,,
60603,wait,-1,wedding_talk,"|5,*260301|5,*260302|5,*260303|5,*260304",0,0,0,0,,,,1,0.0,,0,0,,
60604,wait,-1,wedding_talk,"|5,*260401|5,*260402|5,*260403|5,*260404",0,0,0,0,,,,1,0.0,,0,0,,
60605,wait,-1,wedding_talk,"|5,*260501|5,*260502|5,*260503|5,*260504",0,0,0,0,,,,1,0.0,,0,0,,
60606,wait,-1,wedding_talk,"|5,*260601|5,*260602|5,*260603|5,*260604",0,0,0,0,,,,1,0.0,,0,0,,
60607,wait,-1,wedding_talk,"|5,*260701|5,*260702|5,*260703|5,*260704",0,0,0,0,,,,1,0.0,,0,0,,
61901,wait,-1,wedding_talk,"|4,*2190101|4,*2190102|4,*2190103|4,*2190104|4,*2190105",0,0,0,0,,,,1,0.0,,0,0,,
