id,item_id,start_time,end_time,drop_ids,title_res,amount_coordinate,bg_res,is_mail,mail_type,is_show,clear_cycle,clear_time,prize_skip,mission_show_prize,use_animation,goto_to_mall,can_ten_draws,can_get_rewards,goto_page,type,mission_prize_type,extra_bonus,bonus_percent
1,100001,2016-12-10 00:00:00,2016-12-20 00:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"370,228",draw_content_170120.jpg,1,1,1,0,0,,0,0,0,0,0,0,1,0,,0
2,100001,2016-12-12 00:00:00,2016-12-20 00:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"370,228",draw_content_170120.jpg,1,1,1,0,0,,0,0,0,0,0,0,1,0,,0
3,100001,2016-12-14 23:59:59,2016-12-20 00:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"370,228",draw_content_170120.jpg,1,1,1,0,0,,0,0,0,0,0,0,1,0,,0
4,100001,2016-12-14 23:59:59,2016-12-29 00:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"370,228",draw_content_170120.jpg,1,1,1,0,0,,0,0,0,0,0,0,1,0,,0
5,100001,2017-01-01 00:00:00,2017-01-07 00:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"370,228",draw_content_170120.jpg,0,0,1,0,0,,0,0,0,0,0,0,1,0,,0
6,100001,2017-01-01 00:00:00,2017-01-11 23:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"370,228",draw_content_170108.jpg,0,0,1,0,0,,0,0,0,0,0,0,1,0,,0
7,100001,2017-01-23 00:00:00,2017-02-26 00:00:00,"149:1,150:2,299:1,300:3,449:1,450:4,599:1,600:5,749:1,750:6,899:1,900:7,998:1,999:10,1049:1,1050:8,1199:1,1200:9,3000:1",draw_title_170120.png,"194,265",draw_content_170124.jpg,0,0,1,0,0,,0,0,0,0,0,0,1,0,,0
8,100002,2017-03-14 00:00:00,2017-03-22 00:00:00,100:35,draw_title_170120.png,"194,265",draw_content_170124.jpg,0,0,1,0,0,,0,1,1,0,0,0,1,0,,0
9,100002,2017-03-14 00:00:00,2017-03-22 00:00:00,100:36,draw_title_170120.png,"194,265",draw_content_170124.jpg,0,0,1,0,0,,0,1,1,0,0,0,1,0,,0
11,0,2017-01-23 00:00:00,2017-02-23 10:00:00,,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,0,,0
