id,type,name,enemy_info,code,maxlife,pow,hit,dodge,range,speed,number,angle,armor_piercing,armor,shield,rate,boss_hp,def,def_break,debuff_resistance,level,character,special_attack,normal_attack,passive_skill,effect_ratio,unable_buff_type,able_buff_id,voice,deployment_scale,recommend_description,hit_point,offset,lifebar_offset,enemy_illustration_id,location_offset
9999,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,投弹,0,300301,200304,1.0,,,,1.0,,,,,0,
10000,2,头像显示,头像显示,SangvisFerri,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0.0,100,头像显示,0,300301,,1.0,,,,1.0,,,,,0,
10001,2,巡游者,巡游者,Prowler,397,11,23,15,4,30,1,180,0,0,0,30,0,99999,0,0.0,100,普通,0,300317,200304,1.0,,,,1.0,,,,,2,
10002,2,侦查者,侦查者,Scouts,829,11,23,80,4,50,1,180,0,0,0,40,0,99999,0,0.0,100,普通,0,300312,200304,0.8,,,,1.0,,,,,3,
10003,2,兵蚁,兵蚁,Dinergate,65,84,140,0,3,45,1,180,0,0,0,40,0,99999,0,0.0,100,近战,0,300316,200304,0.07,,,,1.0,,,,,6,
10004,3,切割者,切割者,Ripper,794,21,23,15,5,30,1,180,0,0,0,40,0,99999,0,0.0,100,近战,0,300317,200304,1.0,,,,1.0,,,,,4,
10005,3,胡蜂,胡蜂,Vespid,397,42,23,15,6,35,1,180,0,0,0,40,0,99999,0,0.0,100,普通,0,300313,200304,1.0,,,,1.0,,,,,7,
10006,3,猎鸥,猎鸥,Jaeger,397,42,140,15,7,35,1,180,0,0,0,20,0,99999,0,0.0,100,精准,0,300301,200304,1.0,,,,1.0,,,,,9,
10007,3,护卫者,护卫者,Guard,2269,11,23,0,3,30,1,180,0,0,0,40,0,99999,0,0.0,100,近战,0,300316,200304,0.6,,,,1.0,,,,,10,
10008,3,龙骑兵,龙骑兵,Dragoon,1588,42,140,15,4,50,1,180,0,0,0,40,0,99999,0,0.0,100,高速,0,300318,200304,1.0,,,,1.0,,,,,12,
10009,2,劫豹,迫击炮,Jaguar,794,168,350,15,20,35,1,180,0,0,0,350,0,99999,0,0.0,100,高威胁//c定位,0,300305,"200304,119019",0.05,,,,1.0,,,,,13,
