id,name,type,code,introduce,forces,if_capture,pow_rank,life_rank,hit_rank,dodge_rank,rate_rank,armor_rank,speed_rank,range_rank,counter,character,enemy_skill,launch_time,extra,spine_scale
1,工蜂型民用靶机,2,Drone,常规靶机，只用于训练和演习，可自动记录作战影像（前提是摄像头没被破坏）。,0,0,0,7,0,0,0,0,0,0,努力训练!,"1001,903",,2016-5-20 00:00:00,,"90,90,1"
2,巡游者,2,Prowler,铁血的低级作战单位，火力和机动性都较弱，主要用于己方阵线的巡逻和侦查任务。,1,1,1,1,1,1,3,0,2,2,该单位能力均衡，请注意提高梯队的整体作战能力应对。,300,,2016-5-20 00:00:00,,"100,100,1"
3,侦查者,2,Scouts,铁血的低级作战机甲，作战能力较弱，但机动性高且易于隐蔽，常用于前线侦察和情报采集。,1,1,2,2,2,6,2,0,4,3,该单位闪避较高，请注意梯队的命中能力是否足够应对。,300,,2016-5-20 00:00:00,,"100,100,1"
4,切割者,3,Ripper,铁血的常规作战傀儡，装配有短程冲锋武器，机动性较高，战场中常充当先锋或侦查角色。,1,1,2,3,3,5,3,0,3,3,该单位能力均衡，请注意提高梯队的整体作战能力应对。,303,,2016-5-20 00:00:00,,"100,100,1"
5,稻草人,1,Scarecrow,擅长收集和分析情报，并不擅长正面作战，在铁血人形中地位较低。理性派，无口毒舌，忠于职守，鄙夷感性，面对感情丰富却只懂得服从的格里芬人形充满优越感。,1,1,5,4,4,4,4,0,4,3,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1001,201",59,2016-5-20 00:00:00,//c奥野香耶//c,"70,70,1"
6,兵蚁,2,Dinergate,铁血的低级作战机甲，战斗能力较弱但适合量产，通常用于警卫和搜寻任务，采用粗暴的冲撞攻击，成群之后战斗力不容小觑。,1,1,5,1,5,0,2,0,5,2,该单位近战输出能力极高，但相对的自身生存能力极差，推荐使用能快速造成范围伤害的人形或突击步枪人形在接触前完成歼灭。,303,,2016-5-20 00:00:00,,"100,100,1"
7,胡蜂,3,Vespid,铁血的常规作战傀儡，装配有远程突击武器，火力与低级军用人形相当，小规模战斗的主要战斗力。,1,1,3,2,4,4,2,0,3,4,该单位能力均衡，请注意提高梯队的整体作战能力应对。,300,,2016-5-20 00:00:00,,"100,100,1"
8,行裁者,1,Excutioner,相当于精英斥候，比稻草人地位稍高，两人经常搭档。莽撞冲动，大大咧咧的女汉子，热衷于堂堂正正的战斗，并不喜欢欺负弱者。,1,1,5,4,4,5,3,3,3,2,该单位能力均衡，请注意提高梯队的整体作战能力应对。,"1001,202,309",60,2016-5-20 00:00:00,//c伊藤静//c,"80,80,1"
9,猎鸥,3,Jaeger,铁血的常规作战傀儡，装配有远程狙击武器，火力和精准较高但本体脆弱，常规战场中必须小心的敌手。,1,1,3,1,5,3,2,0,3,4,该单位主要担当后排输出，攻速较慢、命中较高，对我方前排单位造成的伤害比较稳定且显著，建议选用索敌逻辑为打击后排的人形进行处理。,307,,2016-5-20 00:00:00,,"100,100,1"
10,护卫者,3,Guard,铁血的高级作战傀儡，装配有护盾和短程火力武器，如外形所见的高防御护卫型角色，一般会用于防御重要单位，或者作为高级先锋在部队推进时出场。,1,1,1,4,3,1,4,0,2,2,该单位为近战单位，防御能力较强，但相对的对我方造成有效伤害的能力较弱，主要威胁来自其他负责输出的单位，请注意选用合适的枪种人形以优先处理被护卫者掩护的单位。,303,,2016-5-20 00:00:00,,"90,90,1"
