level,maxlife,pow,dodge,hit,armor_piercing,armor,shield,def,def_break
1,226.8,6.94,2.14,3.33,3.0,30.72,1.0,336.0,1.0
2,246.33,7.14,2.57,4.0,4.0,32.64,1.0,343.0,1.0
3,246.33,7.34,2.57,4.0,4.0,32.64,1.0,349.0,1.0
4,246.33,7.41,2.57,4.0,5.0,32.64,1.0,356.0,1.0
5,246.33,7.61,3.0,4.67,5.0,32.64,1.0,363.0,1.0
6,260.82,7.68,3.0,4.67,5.0,34.56,1.0,370.0,1.0
7,266.49,7.89,3.0,4.67,6.0,34.56,1.0,376.0,1.0
8,266.49,7.97,3.43,5.33,6.0,34.56,1.0,383.0,1.0
9,266.49,8.18,3.43,5.33,7.0,34.56,1.0,390.0,1.0
10,281.29,8.25,3.43,5.33,7.0,36.48,1.0,396.0,1.0
11,281.29,8.46,3.86,6.0,7.0,36.48,1.0,403.0,1.0
12,281.29,8.68,3.86,6.0,8.0,36.48,1.0,410.0,1.0
13,287.28,8.76,3.86,6.0,8.0,36.48,1.0,417.0,1.0
14,302.4,8.98,3.86,6.0,8.0,38.4,1.0,423.0,1.0
15,302.4,9.06,4.29,6.67,9.0,38.4,1.0,430.0,1.0
16,302.4,9.28,4.29,6.67,9.0,38.4,1.0,437.0,1.0
17,302.4,9.36,4.29,6.67,10.0,38.4,1.0,443.0,1.0
18,324.14,9.59,4.71,7.33,10.0,40.32,1.0,450.0,1.0
19,324.14,9.67,4.71,7.33,10.0,40.32,1.0,457.0,1.0
20,324.14,9.9,4.71,7.33,11.0,40.32,1.0,464.0,1.0
21,324.14,10.13,5.14,8.0,11.0,40.32,1.0,470.0,1.0
22,339.57,10.22,5.14,8.0,12.0,42.24,1.0,477.0,1.0
23,339.57,10.46,5.14,8.0,12.0,42.24,1.0,484.0,1.0
24,346.5,10.54,5.14,8.0,12.0,42.24,1.0,490.0,1.0
25,346.5,10.78,5.57,8.67,13.0,42.24,1.0,497.0,1.0
26,362.25,10.87,5.57,8.67,13.0,44.16,1.0,504.0,1.0
27,362.25,11.11,5.57,8.67,13.0,44.16,1.0,511.0,1.0
28,362.25,11.2,6.0,9.33,14.0,44.16,1.0,517.0,1.0
29,369.5,11.45,6.0,9.33,14.0,44.16,1.0,524.0,1.0
30,385.56,11.7,6.0,9.33,15.0,46.08,1.0,531.0,1.0
31,385.56,11.79,6.43,10.0,15.0,46.08,1.0,537.0,1.0
32,385.56,12.05,6.43,10.0,15.0,46.08,1.0,544.0,1.0
33,385.56,12.14,6.43,10.0,16.0,46.08,1.0,551.0,1.0
34,385.56,12.39,6.43,10.0,16.0,46.08,1.0,558.0,1.0
35,409.5,12.49,6.86,10.67,17.0,48.0,1.0,564.0,1.0
36,409.5,12.75,6.86,10.67,17.0,48.0,1.0,571.0,1.0
37,409.5,12.84,6.86,10.67,17.0,48.0,1.0,578.0,1.0
38,409.5,13.11,7.29,11.33,18.0,48.0,1.0,584.0,1.0
39,425.88,13.38,7.29,11.33,18.0,49.92,1.0,591.0,1.0
40,434.07,13.47,7.29,11.33,18.0,49.92,1.0,598.0,1.0
41,434.07,13.75,7.71,12.0,19.0,49.92,1.0,605.0,1.0
42,434.07,13.84,7.71,12.0,19.0,49.92,1.0,611.0,1.0
43,450.77,14.12,7.71,12.0,20.0,51.84,1.0,618.0,1.0
44,450.77,14.22,8.14,12.67,20.0,51.84,1.0,625.0,1.0
45,450.77,14.5,8.14,12.67,20.0,51.84,1.0,631.0,1.0
46,459.27,14.6,8.14,12.67,21.0,51.84,1.0,638.0,1.0
47,476.28,14.88,8.14,12.67,21.0,53.76,1.0,645.0,1.0
48,476.28,15.17,8.57,13.33,22.0,53.76,1.0,652.0,1.0
49,476.28,15.27,8.57,13.33,22.0,53.76,1.0,658.0,1.0
50,476.28,15.56,8.57,13.33,22.0,53.76,1.0,665.0,1.0
51,502.42,15.56,9.0,14.0,23.0,55.68,1.0,672.0,1.0
52,502.42,15.75,9.0,14.0,23.0,55.68,1.0,678.0,1.0
53,502.42,15.75,9.0,14.0,23.0,55.68,1.0,685.0,1.0
54,502.42,15.94,9.43,14.67,24.0,55.68,1.0,692.0,1.0
55,519.75,15.94,9.43,14.67,24.0,57.6,1.0,698.0,1.0
56,519.75,16.13,9.43,14.67,25.0,57.6,1.0,705.0,1.0
57,529.2,16.31,9.43,14.67,25.0,57.6,1.0,712.0,1.0
58,529.2,16.31,9.86,15.33,25.0,57.6,1.0,719.0,1.0
59,546.84,16.5,9.86,15.33,26.0,59.52,1.0,725.0,1.0
60,546.84,16.5,9.86,15.33,26.0,59.52,1.0,732.0,1.0
61,546.84,16.69,10.29,16.0,26.0,59.52,1.0,739.0,1.0
62,556.61,16.69,10.29,16.0,27.0,59.52,1.0,745.0,1.0
63,574.56,16.88,10.29,16.0,27.0,61.44,1.0,752.0,1.0
64,574.56,16.88,10.71,16.67,28.0,61.44,1.0,759.0,1.0
65,574.56,17.06,10.71,16.67,28.0,61.44,1.0,766.0,1.0
66,574.56,17.25,10.71,16.67,28.0,61.44,1.0,772.0,1.0
67,574.56,17.25,10.71,16.67,29.0,61.44,1.0,779.0,1.0
68,602.91,17.44,11.14,17.33,29.0,63.36,1.0,786.0,1.0
69,602.91,17.44,11.14,17.33,30.0,63.36,1.0,792.0,1.0
70,602.91,17.63,11.14,17.33,30.0,63.36,1.0,799.0,1.0
71,602.91,17.63,11.57,18.0,30.0,63.36,1.0,806.0,1.0
72,621.18,17.81,11.57,18.0,31.0,65.28,1.0,813.0,1.0
73,631.89,17.81,11.57,18.0,31.0,65.28,1.0,819.0,1.0
74,631.89,18.0,12.0,18.67,31.0,65.28,1.0,826.0,1.0
75,631.89,18.19,12.0,18.67,32.0,65.28,1.0,833.0,1.0
76,650.47,18.19,12.0,18.67,32.0,67.2,1.0,839.0,1.0
77,650.47,18.38,12.43,19.33,33.0,67.2,1.0,846.0,1.0
78,650.47,18.38,12.43,19.33,33.0,67.2,1.0,853.0,1.0
79,661.5,18.56,12.43,19.33,33.0,67.2,1.0,860.0,1.0
80,680.4,18.56,12.43,19.33,34.0,69.12,1.0,866.0,1.0
81,680.4,18.75,12.86,20.0,34.0,69.12,1.0,873.0,1.0
82,680.4,18.75,12.86,20.0,35.0,69.12,1.0,880.0,1.0
83,680.4,18.94,12.86,20.0,35.0,69.12,1.0,886.0,1.0
84,710.95,19.12,13.29,20.67,35.0,71.04,1.0,893.0,1.0
85,710.95,19.12,13.29,20.67,36.0,71.04,1.0,900.0,1.0
86,710.95,19.31,13.29,20.67,36.0,71.04,1.0,907.0,1.0
87,710.95,19.31,13.71,21.33,36.0,71.04,1.0,913.0,1.0
88,730.17,19.5,13.71,21.33,37.0,72.96,1.0,920.0,1.0
89,730.17,19.5,13.71,21.33,37.0,72.96,1.0,927.0,1.0
90,742.14,19.69,13.71,21.33,38.0,72.96,1.0,933.0,1.0
91,742.14,19.69,14.14,22.0,38.0,72.96,1.0,940.0,1.0
92,761.67,19.88,14.14,22.0,38.0,74.88,1.0,947.0,1.0
93,761.67,20.06,14.14,22.0,39.0,74.88,1.0,954.0,1.0
94,761.67,20.06,14.57,22.67,39.0,74.88,1.0,960.0,1.0
95,773.96,20.25,14.57,22.67,40.0,74.88,1.0,967.0,1.0
96,773.96,20.25,14.57,22.67,40.0,74.88,1.0,974.0,1.0
97,793.8,20.44,15.0,23.33,40.0,76.8,1.0,980.0,1.0
98,793.8,20.44,15.0,23.33,41.0,76.8,1.0,987.0,1.0
99,793.8,20.63,15.0,23.33,41.0,76.8,1.0,994.0,1.0
100,793.8,20.63,15.0,23.33,41.0,76.8,1.0,1000.0,1.0
101,803.0,20.75,15.01,23.34,41.25,77.52,1.0,1007.0,1.0
102,812.3,20.88,15.01,23.35,41.49,78.25,1.0,1014.0,1.0
103,821.71,21.0,15.02,23.36,41.74,78.98,1.0,1021.0,1.0
104,831.22,21.12,15.02,23.37,41.99,79.73,1.0,1027.0,1.0
105,840.84,21.25,15.03,23.38,42.24,80.47,1.0,1034.0,1.0
106,850.57,21.38,15.03,23.39,42.5,81.23,1.0,1041.0,1.0
107,860.41,21.5,15.04,23.4,42.75,81.99,1.0,1047.0,1.0
108,870.36,21.63,15.04,23.41,43.01,82.76,1.0,1054.0,1.0
109,880.42,21.76,15.05,23.42,43.27,83.54,1.0,1061.0,1.0
110,890.6,21.89,15.05,23.42,43.52,84.33,1.0,1068.0,1.0
111,900.89,22.02,15.06,23.43,43.79,85.12,1.0,1074.0,1.0
112,911.29,22.15,15.06,23.44,44.05,85.92,1.0,1081.0,1.0
113,921.82,22.28,15.07,23.45,44.31,86.72,1.0,1088.0,1.0
114,932.46,22.41,15.07,23.46,44.58,87.54,1.0,1094.0,1.0
115,943.22,22.55,15.08,23.47,44.84,88.36,1.0,1101.0,1.0
116,954.1,22.68,15.08,23.48,45.11,89.19,1.0,1108.0,1.0
117,965.11,22.81,15.09,23.49,45.38,90.03,1.0,1115.0,1.0
118,976.24,22.95,15.09,23.5,45.65,90.87,1.0,1121.0,1.0
119,987.49,23.09,15.1,23.51,45.93,91.73,1.0,1128.0,1.0
120,998.87,23.22,15.1,23.52,46.2,92.59,1.0,1135.0,1.0
121,1060.22,23.22,15.34,23.63,46.48,93.46,1.0,1141.0,1.0
122,1081.69,23.22,15.36,23.65,46.76,94.33,1.0,1148.0,1.0
123,1103.58,23.22,15.38,23.67,47.04,95.22,1.0,1155.0,1.0
124,1125.91,23.22,15.4,23.68,47.32,96.11,1.0,1162.0,1.0
125,1148.68,23.22,15.42,23.7,47.6,97.02,1.0,1168.0,1.0
126,1171.91,23.22,15.44,23.72,47.89,97.93,1.0,1175.0,1.0
127,1195.59,23.22,15.46,23.74,48.18,98.85,1.0,1182.0,1.0
128,1219.74,23.22,15.48,23.75,48.46,99.77,1.0,1188.0,1.0
129,1244.36,23.22,15.51,23.77,48.76,100.71,1.0,1195.0,1.0
130,1269.48,23.22,15.53,23.79,49.05,101.66,1.0,1202.0,1.0
131,1295.09,23.22,15.55,23.81,49.34,102.61,1.0,1209.0,1.0
132,1321.21,23.22,15.57,23.82,49.64,103.57,1.0,1215.0,1.0
133,1347.84,23.22,15.59,23.84,49.94,104.55,1.0,1222.0,1.0
134,1375.0,23.22,15.61,23.86,50.24,105.53,1.0,1229.0,1.0
135,1402.7,23.22,15.63,23.88,50.54,106.52,1.0,1235.0,1.0
136,1430.94,23.22,15.65,23.9,50.84,107.52,1.0,1242.0,1.0
137,1459.75,23.22,15.67,23.92,51.15,108.53,1.0,1249.0,1.0
138,1489.12,23.22,15.69,23.93,51.46,109.55,1.0,1256.0,1.0
139,1519.08,23.22,15.72,23.95,51.76,110.57,1.0,1262.0,1.0
140,1549.62,23.22,15.74,23.97,52.08,111.61,1.0,1269.0,1.0
141,1577.52,23.22,16.13,23.72,52.08,112.17,1.0,1276.0,1.0
142,1605.91,23.22,16.53,23.73,52.08,112.73,1.0,1282.0,1.0
143,1634.82,23.22,16.95,23.74,52.08,113.29,1.0,1289.0,1.0
144,1664.25,23.22,17.37,23.75,52.08,113.86,1.0,1296.0,1.0
145,1694.2,23.22,17.81,23.76,52.08,114.43,1.0,1303.0,1.0
146,1724.7,23.22,18.25,23.77,52.08,115.0,1.0,1309.0,1.0
147,1755.74,23.22,18.71,23.77,52.08,115.58,1.0,1316.0,1.0
148,1787.35,23.22,19.17,23.78,52.08,116.16,1.0,1323.0,1.0
149,1819.52,23.22,19.65,23.79,52.08,116.74,1.0,1329.0,1.0
150,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
151,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
152,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
153,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
154,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
155,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
156,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
157,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
158,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
159,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
160,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
161,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
162,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
163,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
164,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
165,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
166,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
167,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
168,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
169,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
170,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
171,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
172,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
173,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
174,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
175,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
176,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
177,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
178,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
179,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
180,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
181,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
182,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
183,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
184,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
185,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
186,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
187,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
188,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
189,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
190,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
191,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
192,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
193,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
194,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
195,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
196,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
197,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
198,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
199,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
200,1852.27,23.22,20.15,23.8,55.31,117.32,1.0,1336.0,1.0
10001,250.0,3.0,1.0,5.0,3.0,30.72,1.0,1.0,1.0
10002,257.0,3.0,1.0,5.0,4.0,32.64,1.0,1.0,1.0
10003,264.0,3.0,1.0,5.0,4.0,32.64,1.0,1.0,1.0
10004,270.0,3.0,1.0,5.0,5.0,32.64,1.0,1.0,1.0
10005,277.0,3.0,1.0,6.0,5.0,32.64,1.0,1.0,1.0
10006,283.0,3.0,1.0,6.0,5.0,34.56,1.0,1.0,1.0
10007,290.0,3.0,2.0,6.0,6.0,34.56,1.0,1.0,1.0
10008,296.0,3.0,2.0,6.0,6.0,34.56,1.0,1.0,1.0
10009,303.0,3.0,2.0,6.0,7.0,34.56,1.0,1.0,1.0
10010,310.0,4.0,2.0,6.0,7.0,36.48,1.0,1.0,1.0
10011,316.0,4.0,2.0,7.0,7.0,36.48,1.0,1.0,1.0
10012,323.0,4.0,2.0,7.0,8.0,36.48,1.0,1.0,1.0
10013,329.0,4.0,2.0,7.0,8.0,36.48,1.0,1.0,1.0
10014,336.0,4.0,2.0,7.0,8.0,38.4,1.0,1.0,1.0
10015,342.0,4.0,2.0,7.0,9.0,38.4,1.0,1.0,1.0
10016,349.0,4.0,2.0,7.0,9.0,38.4,1.0,1.0,1.0
10017,356.0,4.0,2.0,7.0,10.0,38.4,1.0,1.0,1.0
10018,362.0,4.0,3.0,8.0,10.0,40.32,1.0,1.0,1.0
10019,369.0,4.0,3.0,8.0,10.0,40.32,1.0,1.0,1.0
10020,375.0,4.0,3.0,8.0,11.0,40.32,1.0,1.0,1.0
10021,382.0,4.0,3.0,8.0,11.0,40.32,1.0,1.0,1.0
10022,388.0,4.0,3.0,8.0,12.0,42.24,1.0,1.0,1.0
10023,395.0,4.0,3.0,8.0,12.0,42.24,1.0,1.0,1.0
10024,401.0,4.0,3.0,8.0,12.0,42.24,1.0,1.0,1.0
10025,408.0,4.0,3.0,9.0,13.0,42.24,1.0,1.0,1.0
10026,415.0,5.0,3.0,9.0,13.0,44.16,1.0,1.0,1.0
10027,421.0,5.0,3.0,9.0,13.0,44.16,1.0,1.0,1.0
10028,428.0,5.0,3.0,9.0,14.0,44.16,1.0,1.0,1.0
10029,434.0,5.0,4.0,9.0,14.0,44.16,1.0,1.0,1.0
10030,441.0,5.0,4.0,9.0,15.0,46.08,1.0,1.0,1.0
10031,447.0,5.0,4.0,10.0,15.0,46.08,1.0,1.0,1.0
10032,454.0,5.0,4.0,10.0,15.0,46.08,1.0,1.0,1.0
10033,461.0,5.0,4.0,10.0,16.0,46.08,1.0,1.0,1.0
10034,467.0,5.0,4.0,10.0,16.0,46.08,1.0,1.0,1.0
10035,474.0,5.0,4.0,10.0,17.0,48.0,1.0,1.0,1.0
10036,480.0,5.0,4.0,10.0,17.0,48.0,1.0,1.0,1.0
10037,487.0,5.0,4.0,10.0,17.0,48.0,1.0,1.0,1.0
10038,493.0,5.0,4.0,11.0,18.0,48.0,1.0,1.0,1.0
10039,500.0,5.0,4.0,11.0,18.0,49.92,1.0,1.0,1.0
10040,507.0,5.0,5.0,11.0,18.0,49.92,1.0,1.0,1.0
10041,513.0,5.0,5.0,11.0,19.0,49.92,1.0,1.0,1.0
10042,520.0,5.0,5.0,11.0,19.0,49.92,1.0,1.0,1.0
10043,526.0,6.0,5.0,11.0,20.0,51.84,1.0,1.0,1.0
10044,533.0,6.0,5.0,11.0,20.0,51.84,1.0,1.0,1.0
10045,539.0,6.0,5.0,12.0,20.0,51.84,1.0,1.0,1.0
10046,546.0,6.0,5.0,12.0,21.0,51.84,1.0,1.0,1.0
