id,reward_gun_pool,equip_s_probability,draw_event_s_id,enemy_leader,if_stay,correction_belong,correction_turn,limit_guns,limit_equips,ai,ai_content,enemy_type_display,use_building,use_building_skill,team_confrontfun_pic,team_confrontfun_des,effect_ext,targettrain_cancollect,fight_type,type_coef
-2,,,0,900013,0,,,,,0,,,,,,,0,1,0,
-1,,,0,20005,0,,,,,0,,,,,,,0,1,0,
1,,,0,90001,0,,,,,0,,,,,,,0,0,0,
2,,,0,90001,0,,,45,,0,,,,,,,0,1,0,
3,"9,2,5,10,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
4,"9,2,5,10,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
5,"9,2,5,10",,0,20001,0,,,,,0,,,,,,,0,1,0,
6,"9,2,5,10,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
7,"9,2,5,10,92,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
8,"9,2,5,10,92,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
9,"9,2,5,10,92,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
10,"9,2,5,10,92,11",,0,20002,0,,,,,0,,,,,,,0,1,0,
11,"9,2,5,10,90,92,17,25,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
12,"9,2,5,10,90,92,17,25,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
13,"9,2,5,10,90,92,17,25,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
14,"9,2,5,10,90,92,17,25,11,14",,0,20004,0,,,,,0,,,,,,,0,1,0,
15,"9,2,5,10,90,91,92,17,25,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
16,"9,2,5,10,90,91,92,17,25,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
17,"9,2,5,10,90,91,92,17,25,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
18,"9,2,5,10,90,91,92,17,25,3,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
19,"9,2,5,10,90,91,92,17,25,3,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
20,"9,2,5,10,90,91,92,17,25,3,14",,0,20004,0,,,,,0,,,,,,,0,1,0,
21,"9,2,5,10,90,91,92,17,25,93,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
22,"9,2,5,10,90,91,92,17,25,93,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
23,"9,2,5,10,90,91,92,17,25,93,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
24,"9,2,5,10,90,91,92,17,25,93,0",,0,20001,0,,,,,0,,,,,,,0,1,0,
25,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,0",,0,20002,0,,,,,0,,,,,,,0,1,0,
26,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,0",,0,20004,0,,,,,0,,,,,,,0,1,0,
27,"9,2,5,10,90,91,92,17,25,93,11,14,3,12,29,27,15",,557,90002,0,,,15,,0,,,,,,,0,1,0,
