id,name,description,rank,category,type,pow,hit,dodge,speed,rate,critical_harm_rate,critical_percent,armor_piercing,armor,shield,damage_amplify,damage_reduction,night_view_percent,bullet_number_up,skill_effect_per,skill_effect,slow_down_percent,slow_down_rate,slow_down_time,dot_percent,dot_damage,dot_time,retire_mp,retire_ammo,retire_mre,retire_part,code,develop_duration,company,skill_level_up,fit_guns,equip_introduction,powerup_mp,powerup_ammo,powerup_mre,powerup_part,exclusive_rate,bonus_type,skill,passive_skill,max_level,auto_select_id,equip_group_id,is_addition,is_show,obtain_ids
1,BM 3-12X40,暴击概率+<critical_percent><%>//n$HG不可用,2,1,1,,,,,,,"5,8",,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,配件_光学瞄准镜_N,300,BM,0,,BM公司生产的3-12倍光学瞄准镜，让战术少女更容易命中敌人要害，除手枪外均可装配。,0.0,0.0,0.0,0.0,1.0,,0,0,0,1001,0,0,1,3001
2,LRA 2-12x50,暴击概率+<critical_percent><%>//n$HG不可用,3,1,1,,,,,,,"9,12",,,,,,,,0,0,0,0,0,0,0,0,2,0,1,0,配件_光学瞄准镜_N,1200,BM,0,,LRA公司的新型光学瞄准具，提供更好的视野和更科学的分划方案，除手枪外均可装配。,0.45,0.15,0.3,0.15,1.0,critical_percent:1000,0,0,10,1001,0,0,1,"3001,3002,3028"
3,PSO-1,暴击概率+<critical_percent><%>//n$HG不可用,4,1,1,,,,,,,"13,16",,,,,,,,0,0,0,0,0,0,0,0,3,0,2,1,配件_光学瞄准镜_N,2100,BM,0,,紧凑可靠的设计，使用特殊的分划方案的军用瞄准镜，在战场上可以很方便的进行简单测距，除手枪外均可装配。,0.45,0.15,0.3,0.15,1.0,critical_percent:1000,0,0,10,1001,0,0,1,"3001,3002,3028"
4,VFL 6-24X56,暴击概率+<critical_percent><%>//n$HG不可用,5,1,1,,,,,,,"17,24",,,,,,,,0,0,0,0,0,0,0,0,4,0,3,2,配件_光学瞄准镜_N,2700,BM,0,,为远距离狙击量身打造的优秀瞄准镜，使用最好的材料与光学元件，保证了任何时刻最优秀的表现，除手枪外均可装配。,0.45,0.15,0.3,0.15,1.0,critical_percent:1000,0,0,10,1001,0,0,1,"3001,3002,3028"
5,EOT 506,命中+<hit> 伤害+<pow>//n射速<rate>$HG不可用,2,1,2,"1,1","1,1",,,"-1,-1",,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,配件_全息瞄准镜_N,480,EOT,0,,EOT公司生产的506型全息瞄准镜，看起来很酷，除手枪外均可装配。,0.0,0.0,0.0,0.0,1.0,,0,0,0,2001,0,0,1,3001
6,EOT 512,命中+<hit> 伤害+<pow>//n射速<rate>$HG不可用,3,1,2,"1,2","2,2",,,"-2,-2",,,,,,,,,,0,0,0,0,0,0,0,0,2,0,1,0,配件_全息瞄准镜_N,1380,EOT,0,,EOT公司生产的512型全息瞄准镜，看起来很酷，除手枪外均可装配。,0.45,0.15,0.3,0.15,1.0,"pow:500,hit:500",0,0,10,2001,0,0,1,"3001,3002,3028"
7,EOT 516,命中+<hit> 伤害+<pow>//n射速<rate>$HG不可用,4,1,2,"2,3","3,5",,,"-4,-3",,,,,,,,,,0,0,0,0,0,0,0,0,3,0,2,1,配件_全息瞄准镜_N,2280,EOT,0,,EOT公司生产的516型全息瞄准镜，看起来非常酷，除手枪外均可装配。,0.45,0.15,0.3,0.15,1.0,"pow:400,hit:400",0,0,10,2001,0,0,1,"3001,3002,3028"
8,EOT 518,命中+<hit> 伤害+<pow>//n射速<rate>$HG不可用,5,1,2,"4,6","6,10",,,"-6,-4",,,,,,,,,,0,0,0,0,0,0,0,0,4,0,3,2,配件_全息瞄准镜_N,2880,EOT,0,,EOT公司生产的518型全息瞄准镜，看起来真的很酷，除手枪外均可装配。,0.45,0.15,0.3,0.15,1.0,"pow:400,hit:400",0,0,10,2001,0,0,1,"3001,3002,3028"
9,AMP COMPM2,命中+<hit> 射速<rate>//n$HG不可用,2,1,3,,"2,3",,,"-1,-1",,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,配件_ACOG瞄准镜_N,600,AMP,0,,AMP公司生产的COMPML红点瞄准镜，唯一的优点是结实，除手枪外均可装配。,0.0,0.0,0.0,0.0,1.0,,0,0,0,3001,0,0,1,3001
10,AMP COMPM4,命中+<hit> 射速<rate>//n$HG不可用,3,1,3,,"4,6",,,"-2,-1",,,,,,,,,,0,0,0,0,0,0,0,0,2,0,1,0,配件_ACOG瞄准镜_N,1500,AMP,0,,AMP公司生产的COMPML红点瞄准镜，优化了设计，使其更加结实，除手枪外均可装配。,0.45,0.15,0.3,0.15,1.0,hit:1000,0,0,10,3001,0,0,1,"3001,3002,3028"
11,COG M150,命中+<hit> 射速<rate>//n$HG不可用,4,1,3,,"7,10",,,"-3,-1",,,,,,,,,,0,0,0,0,0,0,0,0,3,0,2,1,配件_ACOG瞄准镜_N,2400,AMP,0,,COG公司的先进红点瞄准镜，最大优势在于其不需要依靠电池便可提供任何环境下的瞄准照明，除手枪外均可装配。,0.45,0.15,0.3,0.15,1.0,hit:1000,0,0,10,3001,0,0,1,"3001,3002,3028"
12,ITI MARS,命中+<hit> 射速<rate>//n$HG不可用,5,1,3,,"11,15",,,"-4,-1",,,,,,,,,,0,0,0,0,0,0,0,0,4,0,3,2,配件_ACOG瞄准镜_N,3000,AMP,0,,ITI公司出品的一体化红点瞄准器，在不影响射击视野的情况整合了多种功能，并且配备了防反光装置。除手枪外均可装配。,0.45,0.15,0.3,0.15,1.0,hit:1000,0,0,10,3001,0,0,1,"3001,3002,3028"
13,PEQ-2,夜视能力+<night_view_percent><%>//n$RF//cMG不可用,2,1,4,,,,,,,,,,,,,"51,55",,0,0,0,0,0,0,0,0,1,0,1,0,配件_红外夜视仪_N,540,IOP,0,,IOP公司人形列装的早期ATPIAL红外指示器，现在人形们晚上也能打中东西了！只有冲锋枪，手枪，突击步枪可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,4001,0,0,1,3001
14,PEQ-5,夜视能力+<night_view_percent><%>//n$RF//cMG不可用,3,1,4,,,,,,,,,,,,,"61,70",,0,0,0,0,0,0,0,0,1,0,2,0,配件_红外夜视仪_N,1440,IOP,0,,IOP公司人形列装的标准ATPIAL红外指示器，改进了早期型号所有的大量缺陷，但是电池还是用的很快。只有冲锋枪，手枪，突击步枪可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,4001,0,0,1,"3001,3002,3028"
15,PEQ-15,夜视能力+<night_view_percent><%>//n$RF//cMG不可用,4,1,4,,,,,,,,,,,,,"76,85",,0,0,0,0,0,0,0,0,2,0,3,1,配件_红外夜视仪_N,2340,IOP,0,,IOP公司人形列装的改进型ATPIAL红外指示器，有效提升了人形在夜战中的战斗力，只有冲锋枪，手枪，突击步枪可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,4001,0,0,1,"3001,3002,3028"
16,PEQ-16A,夜视能力+<night_view_percent><%>//n$RF//cMG不可用,5,1,4,,,,,,,,,,,,,"91,100",,0,0,0,0,0,0,0,0,3,0,4,2,配件_红外夜视仪_N,2940,IOP,0,,IOP公司人形列装的定制型ATPIAL红外指示器，满足了人形们的夜间作战的作战需求。只有冲锋枪，手枪，突击步枪可以装备。,0.0,0.0,0.0,0.0,1.0,,0,0,0,4001,0,0,1,"3001,3002,3028"
