type,name,category,code,fit_gun_type,des
0,没有,0,,0,无
1,光学瞄具,1,Optical_Sight,"2,3,4,5,6",可以提升人形的<color=#FFB400FF>暴击概率</color>
2,全息瞄具,1,Holographic_Sight,"2,3,4,5,6",可以提升人形的<color=#FFB400FF>命中</color>和<color=#FFB400FF>伤害</color>，但会减少<color=#FFB400FF>射速</color>
3,红点瞄具,1,RedDot_Sight,"2,3,4,5,6",可以提升人形的<color=#FFB400FF>命中</color>，但会减少<color=#FFB400FF>射速</color>
4,夜战装备,1,NightBattle_Equipment,"1,2,4,6",可以抵消人形的<color=#FFB400FF>夜战命中惩罚</color>
5,穿甲弹,2,AP_Ammo,"3,5",可以提升人形的<color=#FFB400FF>穿甲能力</color>，提升对装甲单位的伤害
6,状态弹,2,HP_Ammo,"1,2",可以提升人形的<color=#FFB400FF>伤害</color>，但会减少<color=#FFB400FF>穿甲</color>
7,霰弹,2,Shotgun_Shells,6,可以提升人形的<color=#FFB400FF>伤害能力</color>，分为独头弹，猎鹿弹和鸟弹用于不同场合
8,高速弹,2,HV_Ammo,4,可以提升人形的<color=#FFB400FF>伤害</color>
9,芯片,3,Chip,"2,4",可以提升人形的<color=#FFB400FF>伤害</color>和<color=#FFB400FF>射速</color>，但会减少<color=#FFB400FF>暴击伤害</color>
10,外骨骼,3,Exoskeleton,"1,2,4",可以提升人形的<color=#FFB400FF>回避</color>
11,防弹插板,3,ArmorPlate,6,可以提升人形的<color=#FFB400FF>护甲</color>，但会减少<color=#FFB400FF>回避</color>
12,勋章,3,Medal,0,特殊的人形装备，不同类型对人形属性影响不同
13,消音器,1,Suppressor,"1,2,3,4",可以提升人形的<color=#FFB400FF>暴击概率</color>和<color=#FFB400FF>回避</color>
14,弹链箱,3,Ammunition_Box,5,可以提升人形的<color=#FFB400FF>弹量</color>，但会减少<color=#FFB400FF>回避</color>
15,伪装披风,3,Camouflage_Cloak,3,可以提升人形的<color=#FFB400FF>暴击伤害</color>，但会减少<color=#FFB400FF>移速</color>
16,备用瞄具,1,Spare_Sight,"1,5",可以提升人形的<color=#FFB400FF>命中</color>和<color=#FFB400FF>暴击概率</color>
17,特殊穿甲弹,2,Special_AP_Ammo,5,可以大幅提升人形的<color=#FFB400FF>穿甲能力</color>，提升对装甲单位的伤害
18,特殊配件,1,Special_Accessories,0,特殊的配件装备，不同类型对人形属性影响不同，无法制造
19,特殊弹匣,2,Special_Magazine,0,特殊的弹匣装备，不同类型对人形属性影响不同，无法制造
20,特殊人形,3,Special_TDoll,0,特殊的人形装备，不同类型对人形属性影响不同，无法制造
