id,name,code,description,introduce,type,pow,hit,dodge,armor,critical_harm_rate,grow,proportion,skill_id,quality_exp,quality_need_number,category,develop_duration,retiremp,retireammo,retiremre,retirepart,powerup_mp,powerup_ammo,powerup_mre,powerup_part,armor_piercing,ai,is_additional,avatar_offset,avatar_scale,picture_offset,picture_scale,launch_time,org_id,obtain_ids
1,勇士妖精,fighting,“什么都没结束！什么都没有，除了放假！”,拥有提高攻击效率的能力，平日可用于整理装备。,2,160,160,100,100,0,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900110,100,"1:0,2:100,3:500,4:1500,5:3000",1,16200,4,5,1,1,10,14,3,3,0,3000,0,"-1.2,-1.2,0","0.58,0.58,0.58","-60,-100,0","0.864,0.864,0.864",0,10502,38
2,暴怒妖精,crit,“来吖魔鬼！把你送到真正的地狱中吖！”,拥有的提高暴击效率的能力，平日可用于喊话和吵架助理。,2,100,0,100,100,199,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900111,100,"1:0,2:100,3:500,4:1500,5:3000",1,16500,4,5,1,1,10,14,3,3,0,3000,0,"0,21,0","0.7,0.7,0.7","-60,-100,0","0.864,0.864,0.864",0,10502,38
3,盾甲妖精,armor,“记住，别说俄语……因为我、我听不懂啊……”,拥有提高霰弹装甲的能力，平日可用于地面安保工作。,3,145,0,0,242,101,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900103,100,"1:0,2:100,3:500,4:1500,5:3000",1,10800,5,4,1,1,14,10,3,3,0,3000,0,"5,10,0","0.58,0.58,0.58","-130,-100,0","0.864,0.864,0.864",0,10502,38
4,护盾妖精,shield,“已经没什么好怕的了。”,拥有力场护盾的能力，平日可用于防雨防尘防骚扰。,3,130,120,200,0,0,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",756019,100,"1:0,2:100,3:500,4:1500,5:3000",1,11100,5,4,1,1,14,10,3,3,0,3000,0,"0,-16,0","0.7,0.7,0.7","-40,-50,0","1,1,1",0,10502,38
5,防御妖精,defense,“你们真的……不是在说谎吗？”,拥有提高防御的能力，平日可用于保守秘密和紧急护理。,5,131,0,180,180,0,121,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",757047,100,"1:0,2:100,3:500,4:1500,5:3000",1,15000,5,1,4,3,14,3,10,8,0,3000,0,"0,12,0","0.6,0.6,0.6","-40,-70,0","1,1,1",0,10502,38
6,嘲讽妖精,target,“嘎啊！嘎啊！白痴！白痴！”,拥有制造嘲讽靶机的能力，平日可用于恶作剧。,3,101,100,60,61,101,130,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900104,100,"1:0,2:100,3:500,4:1500,5:3000",1,11400,5,4,1,1,14,10,3,3,0,3000,0,"20,-13,0","0.7,0.7,0.7","-100,-90,0","0.864,0.864,0.864",0,10502,38
7,狙击妖精,sniper,“人形能救的，只有自己一方的事情。”,拥有狙击敌人的能力，平日可用于校准武器。,4,0,175,70,141,175,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",756006,100,"1:0,2:100,3:500,4:1500,5:3000",1,12600,1,5,4,1,3,14,10,3,0,3000,0,"17,0,0","0.6,0.6,0.6","-100,-65,0","0.864,0.864,0.864",0,10502,38
8,炮击妖精,bombard,“嘿嘿，为了格里芬！”,拥有发动迫击炮的能力，平日可用于大扫除。,4,372,0,140,60,0,100,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900108,100,"1:0,2:100,3:500,4:1500,5:3000",1,12900,1,5,4,1,3,14,10,3,0,3000,0,"20,4,0","0.7,0.7,0.7","-70,-90,0","0.864,0.864,0.864",0,10502,38
9,空袭妖精,air_attack,“嘻嘻，除了逃跑，你好像什么都没学到呢。”,拥有空袭打击的能力，平日可用于高空作业。,4,159,79,79,79,0,150,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900109,100,"1:0,2:100,3:500,4:1500,5:3000",1,13200,1,5,4,1,3,14,10,3,0,3000,0,"0,4,0","0.6,0.6,0.6","-80,-80,0","0.864,0.864,0.864",0,10502,38
10,增援妖精,reinforce,“去获胜吧！怜悯可是一种软弱哦！”,拥有呼叫增援人形的能力，平日可用于通讯和紧急呼救。,5,60,0,175,81,60,150,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*8,100,"1:0,2:100,3:500,4:1500,5:3000",2,14400,5,1,4,3,14,3,10,8,0,3000,0,"5,20,0","0.6,0.6,0.6","-50,-90,0","0.864,0.864,0.864",0,10502,38
11,空降妖精,airborne,“你先跳，还是我先跳呢？”,拥有控制机场的能力，平日可用于布置场地。,5,190,0,62,60,155,150,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*9,100,"1:0,2:100,3:500,4:1500,5:3000",2,14700,5,1,4,3,14,3,10,8,0,3000,0,"-5,15,0","0.6,0.6,0.6","-80,0,0","0.864,0.864,0.864",0,10502,38
12,布雷妖精,Landmines,“哼哼，是时候让战斗更刺激一点了。”,拥有布置地雷的能力，平日可用于栽种作物。,6,200,100,242,0,0,73,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*10,100,"1:0,2:100,3:500,4:1500,5:3000",2,19800,1,4,5,3,3,10,14,8,0,3000,0,"0,-5,0","0.68,0.68,0.68","-100,-100,0","0.864,0.864,0.864",0,10502,38
13,火箭妖精,position,“嘻嘻……我在你上面……”,拥有发射火箭炮的能力，平日可用于庆典礼花工作。,6,0,100,0,241,200,75,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*23,100,"1:0,2:100,3:500,4:1500,5:3000",2,20100,1,4,5,3,3,10,14,8,0,3000,0,"10,0,0","0.7,0.7,0.7","-80,-80,0","0.864,0.864,0.864",0,10502,38
14,工事妖精,fortress,“工作！工作！”,拥有的建造堡垒能力，平日可用于维修和建造微型设施。,6,120,120,120,120,120,65,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*12,100,"1:0,2:100,3:500,4:1500,5:3000",2,20400,1,4,5,3,3,10,14,8,0,3000,0,"5,0,0","0.6,0.6,0.6","-60,-90,0","0.864,0.864,0.864",0,10502,38
15,指挥妖精,command,“学会了我的运营，剩下的只要Rush过去！”,拥有提高经验的能力，平日可用于辅助演习和教学。,1,285,0,92,85,201,70,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",1000002,100,"1:0,2:100,3:500,4:1500,5:3000",1,18000,4,1,5,1,10,3,14,3,0,3000,0,"0,25,0","0.6,0.6,0.6","-90,-110,0","0.864,0.864,0.864",0,10502,38
16,搜救妖精,rescue,“RFB你又在打电动哦！”,拥有搜救人形的能力，平日可用于叫大家集合外出或吃饭。,1,270,200,200,0,0,60,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",1000001,100,"1:0,2:100,3:500,4:1500,5:3000",1,18300,4,1,5,1,10,3,14,3,0,3000,0,"3,0,0","0.7,0.7,0.7","-90,-80,0","0.864,0.864,0.864",0,10502,38
17,照明妖精,illumine,“被掳走的人……在隧道的……另一边？”,拥有夜间额外视野的能力，平日可用于夜间探险和打暗号。,1,0,200,87,80,201,80,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",*15,100,"1:0,2:100,3:500,4:1500,5:3000",2,18600,4,1,5,1,10,3,14,3,0,3000,0,"-20,-15,0","0.7,0.7,0.7","-80,-120,0","0.864,0.864,0.864",0,10502,38
18,黄金妖精,golden,“这个世界，只有金钱与智慧！”,拥有……也许拥有炫耀的能力，至少平日是可以这样啦！,2,60,58,58,56,58,320,"1:0.4,2:0.5,3:0.6,4:0.8,5:1",900117,100,"1:0,2:100,3:200,4:350,5:550",1,18600,4,1,5,1,10,3,14,3,0,3000,0,"15,17,0","0.6,0.6,0.6","-100,-100,0","0.864,0.864,0.864",0,10502,"511,0"
