id,exp
1,0
2,300
3,900
4,1800
5,3000
6,4500
7,6300
8,8400
9,10800
10,13500
11,16500
12,19800
13,23400
14,27300
15,31500
16,36000
17,40800
18,45900
19,51400
20,57400
21,63900
22,71000
23,79000
24,88000
25,98000
26,109000
27,121200
28,134600
29,149300
30,165300
31,182800
32,201700
33,222200
34,244400
35,268300
36,294000
37,321600
38,351100
39,382700
40,416400
41,452300
42,490500
43,531000
44,574000
45,619500
46,667700
47,718600
48,772300
49,828900
50,888500
51,951200
52,1017100
53,1086300
54,1158900
55,1234900
56,1314500
57,1397800
58,1484800
59,1575700
60,1670600
61,1769600
62,1872700
63,1980100
64,2091900
65,2208200
66,2329100
67,2454700
68,2585100
69,2720400
70,2860800
71,3006300
72,3157100
73,3313200
74,3474800
75,3642000
76,3814900
77,3993600
78,4178300
79,4369000
80,4565900
81,4769100
82,4978700
83,5194800
84,5417600
85,5647200
86,5883700
87,6127200
88,6377800
89,6635700
90,6901000
91,7173800
92,7454200
93,7742400
94,8038500
95,8342600
96,8654900
97,8975500
98,9304500
99,9642000
100,9999000
