id,fairy_id,fairy_lv,quality_lv,skill_lv,passive_skill,equip_id
1,2,1,1,1,910101,0
2,2,10,1,1,910101,0
3,2,20,1,2,910101,0
4,2,20,2,2,910101,0
5,1,1,1,1,910101,0
6,1,10,1,1,910101,0
7,3,20,1,2,910107,0
8,3,20,2,2,910107,0
9,15,10,1,1,910101,0
10,14,10,1,1,910101,0
11,15,15,1,2,910101,0
12,14,20,2,2,910101,0
13,9,5,1,1,910101,0
14,9,5,1,1,910101,0
15,9,10,1,2,910101,0
16,9,15,1,2,910101,0
17,9,20,2,2,910101,0
18,9,25,2,3,910101,0
19,16,30,2,3,910101,0
20,16,35,2,4,910101,0
21,16,40,3,4,910101,0
22,16,45,3,5,910101,0
23,1,20,2,2,910101,0
24,1,40,3,4,910101,0
25,9,40,3,4,910101,0
26,6,30,2,3,910101,0
27,17,30,2,3,910101,0
28,1,30,2,3,910101,0
29,2,30,2,3,910101,0
9001,9,45,3,5,910101,0
6000001,9,100,5,10,910101,0
6000002,90003,100,5,4,910101,0
6000003,11,100,5,10,910101,0
6000004,12,100,5,10,910101,0
