id,type,motion_name,touch_area,hold_time,probability,voice,text,expression,face_motion,name,camera
101,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
102,2,motions/wait_01.mtn,0,"5,12",0.50,,,,,,0
103,2,motions/wait_02.mtn,0,"15,22",0.50,,,,,,0
104,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
105,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
106,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
107,1,motions/daiji_idle_01.mtn,0,0,1.00,,,,,,0
108,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
109,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
110,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
111,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
112,2,motions/wait_01.mtn,0,"5,12",0.50,,,,,,0
113,2,motions/wait_02.mtn,0,"15,22",0.50,,,,,,0
114,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
115,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
116,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
117,1,motions/daiji_idle_01.mtn,0,0,1.00,,,,,,0
118,2,motions/wait_01.mtn,0,"5,12",0.50,,,,,,0
119,2,motions/wait_02.mtn,0,"15,22",0.50,,,,,,0
120,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
121,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
122,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
123,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
124,2,motions/wait_01.mtn,0,"5,12",0.50,,,,,,0
125,2,motions/wait_02.mtn,0,"15,22",0.50,,,,,,0
126,3,motions/motou_01.mtn,head,0,1.00,,,,,,0
127,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
128,3,motions/motou_03.mtn,body,0,1.00,,,,,,0
129,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
130,2,motions/motou_01.mtn,0,"5,12",0.50,,,,,,0
131,2,motions/motou_03.mtn,0,"15,22",0.50,,,,,,0
132,3,motions/wait_01.mtn,head,0,1.00,,,,,,0
133,3,motions/motou_02.mtn,head,0,1.00,,,,,,0
134,3,motions/wait_02.mtn,body,0,1.00,,,,,,0
135,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
136,2,motions/motou_02.mtn,0,"5,12",0.50,,,,,,0
137,2,motions/motou_01.mtn,0,"15,22",0.50,,,,,,0
138,3,motions/motou_03.mtn,head,0,1.00,,,,,,0
139,3,motions/wait_02.mtn,head,0,1.00,,,,,,0
140,3,motions/wait_01.mtn,body,0,1.00,,,,,,0
141,1,motions/daiji_idle.mtn,0,0,1.00,,,,,,0
142,2,motions/motou_02.mtn,0,"5,12",0.50,,,,,,0
143,2,motions/motou_01.mtn,0,"15,22",0.50,,,,,,0
144,3,motions/motou_03.mtn,head,0,1.00,,,,,,0
145,3,motions/wait_02.mtn,head,0,1.00,,,,,,0
146,3,motions/wait_01.mtn,body,0,1.00,,,,,,0
147,1,motions/daiji_idle_01.mtn,0,0,1.00,,,,,,0
148,2,motions/motou_02.mtn,0,"5,12",0.50,,,,,,0
149,2,motions/motou_01.mtn,0,"15,22",0.50,,,,,,0
150,3,motions/motou_03.mtn,head,0,1.00,,,,,,0
151,3,motions/wait_02.mtn,head,0,1.00,,,,,,0
152,3,motions/wait_01.mtn,body,0,1.00,,,,,,0
