id,name,skin_name,pic_id,gift_fairy,ai,is_hidden,strengthen_lv
1,勇士妖精,1阶默认皮肤,fighting_1,1,1000,0,1
2,勇士妖精,2阶默认皮肤,fighting_2,1,1000,0,2
3,勇士妖精,3阶默认皮肤,fighting_3,1,1000,0,3
4,暴怒妖精,1阶默认皮肤,crit_1,2,1000,0,1
5,暴怒妖精,2阶默认皮肤,crit_2,2,1000,0,2
6,暴怒妖精,3阶默认皮肤,crit_3,2,1000,0,3
7,盾甲妖精,1阶默认皮肤,armor_1,3,1000,0,1
8,盾甲妖精,2阶默认皮肤,armor_2,3,1000,0,2
9,盾甲妖精,3阶默认皮肤,armor_3,3,1000,0,3
10,护盾妖精,1阶默认皮肤,shield_1,4,1000,0,1
11,护盾妖精,2阶默认皮肤,shield_2,4,1000,0,2
12,护盾妖精,3阶默认皮肤,shield_3,4,1000,0,3
13,防御妖精,1阶默认皮肤,defense_1,5,1000,0,1
14,防御妖精,2阶默认皮肤,defense_2,5,1000,0,2
15,防御妖精,3阶默认皮肤,defense_3,5,1000,0,3
16,嘲讽妖精,1阶默认皮肤,target_1,6,1000,0,1
17,嘲讽妖精,2阶默认皮肤,target_2,6,1000,0,2
18,嘲讽妖精,3阶默认皮肤,target_3,6,1000,0,3
19,狙击妖精,1阶默认皮肤,sniper_1,7,1000,0,1
20,狙击妖精,2阶默认皮肤,sniper_2,7,1000,0,2
21,狙击妖精,3阶默认皮肤,sniper_3,7,1000,0,3
22,炮击妖精,1阶默认皮肤,bombard_1,8,1000,0,1
23,炮击妖精,2阶默认皮肤,bombard_2,8,1000,0,2
24,炮击妖精,3阶默认皮肤,bombard_3,8,1000,0,3
25,空袭妖精,1阶默认皮肤,air_attack_1,9,1000,0,1
26,空袭妖精,2阶默认皮肤,air_attack_2,9,1000,0,2
27,空袭妖精,3阶默认皮肤,air_attack_3,9,1000,0,3
28,增援妖精,1阶默认皮肤,reinforce_1,10,1000,0,1
29,增援妖精,2阶默认皮肤,reinforce_2,10,1000,0,2
30,增援妖精,3阶默认皮肤,reinforce_3,10,1000,0,3
31,空降妖精,1阶默认皮肤,airborne_1,11,1000,0,1
32,空降妖精,2阶默认皮肤,airborne_2,11,1000,0,2
33,空降妖精,3阶默认皮肤,airborne_3,11,1000,0,3
34,布雷妖精,1阶默认皮肤,Landmines_1,12,1000,0,1
35,布雷妖精,2阶默认皮肤,Landmines_2,12,1000,0,2
36,布雷妖精,3阶默认皮肤,Landmines_3,12,1000,0,3
37,火箭妖精,1阶默认皮肤,position_1,13,1000,0,1
38,火箭妖精,2阶默认皮肤,position_2,13,1000,0,2
39,火箭妖精,3阶默认皮肤,position_3,13,1000,0,3
40,工事妖精,1阶默认皮肤,fortress_1,14,1000,0,1
