id,name,code,description,gun_group,gun,type,skill1,skill2,normal_attack,passive_skill,dynamic_passive_skill,active_trigger
1,极速狂花,PzB39andGrizzly,火力号令对自身和PzB39效果额外增加10%。,"96,180",96,1,190101,0,0,,,0
2,极速狂花,PzB39andGrizzly,与灰熊MkⅤ在同一梯队时//c瞄准时间减少至1秒//c每秒蓄力层数增加至2层。,"96,180",180,1,190102,0,0,190103,,0
3,星河成约,AkalfaandM82,与M82在同一梯队时//cM82普攻对自身正前方单位也能造成10%额外伤害。,"306,297",306,1,0,0,0,,,0
4,星河成约,AkalfaandM82,将自身正前方视作AK-阿尔法的正前方。,"306,297",297,1,0,0,190201,190202,,0
5,我开动了！,g36andm1903,「“持之以恒是比任何事都要更重要的才能”」当G36和春田处于同一梯队时//cG36为随行的队友呈上甜点//c振奋士气的同时//c火力专注的效果也变得可以作用于友方单位(效果下降至15%)——要小心变胖哦。,"64,36",64,1,190302,0,0,190301,,0
6,我开动了！,g36andm1903,「“我对混合咖啡还是蛮有自信的”」当G36和春田处于同一梯队时//c春田为随行的队友端上咖啡//c振奋士气的同时//c每叠加1层蓄力//c提升我方全体射速5%(持续5秒//c最多叠加5层)——要小心变胖哦。,"64,36",36,1,0,0,0,190401,,0
7,我开动了！,g36andm1903,「“持之以恒是比任何事都要更重要的才能”」当G36和春田处于同一梯队时//cG36为随行的队友呈上甜点//c振奋士气的同时//c火力专注的效果也变得可以作用于友方单位(效果下降至15%)——要小心变胖哦。,"20064,36",20064,1,190303,0,0,190301,,5
8,我开动了！,g36andm1903,,"20064,36",36,5,0,0,0,190401,,6
9,冕晕聚变,MPKandMPL,MPK与MPL相临一格时//c不再对友方造成负面效果。//nMPK与MPL左右相邻时//c开启技能后//c效果范围扩大至2格。,"363,364",363,1,0,0,0,,"119302,119303,119304,119305,119308,119309",
10,冕晕聚变,MPKandMPL,MPK与MPL相临一格时//c不再对友方造成负面效果。//nMPK与MPL左右相邻时//c开启技能后//c效果范围扩大至2格。,"363,364",364,1,0,0,0,,"119203,119204,119205,119206,119207,119208,119209",
