id,name,type,desc,condition_coef,score_coef
1,战斗胜利,1,关卡胜利,1,100
2,剩余人数,2,战斗胜利时场上人形不少于4个,4,100
3,战损,3,整场战斗最多编制损失不超过5个,5,100
4,击杀用时（单个）,4,30秒内击杀1个巨剑士,"30|10041,1",100
5,击杀用时（多个）,4,30秒内击杀3个胡蜂和3个护卫者,"30|10007,3;10005,3",100
6,战斗用时,5,60秒内完成战斗,60,100
7,最高伤害,6,出战人形/融合势力单位最高伤害占比不低于50%,"2,50",100
8,最低伤害,7,出战人形/融合势力单位最低伤害占比不低于10%,"2,10",100
9,技能释放次数,8,梯队人形技能最多释放次数不超过5次,5,100
10,指定人形（或）,9,包含汤姆森或MP5或G36C,"16,26,104",100
11,指定人形（与）,10,包含汤姆森、MP5和G36C,"16,26,104",100
12,指定数量某枪种,11,至少2个以上HG参与战斗,"1,2",100
13,限定枪种,12,SMG和AR参与战斗,"1|2,4",100
14,限定枪种,12,SMG和AR不参与战斗,"0|2,4",100
701,战斗用时,5,30秒内完成战斗,30,100
702,限定枪种,12,HG不参与战斗,0|1,100
703,最高伤害,6,出战人形/融合势力单位最高伤害占比不高于50%,"1,50",100
704,限定枪种,12,RF不参与战斗,0|3,100
705,击杀用时（单个）,4,50秒内击杀M16A1,"50|800003,1",100
706,指定数量某枪种,11,至少3个以上AR参与战斗,"4,3",100
707,限定枪种,12,SG不参与战斗,0|6,100
708,技能释放次数,8,梯队人形技能最多释放次数不超过10次,10,100
709,指定数量某枪种,11,至少2个以上SMG参与战斗,"2,2",100
710,限定枪种,12,AR参与战斗,1|4,100
711,最高伤害,6,出战人形/融合势力单位最高伤害占比不高于40%,"1,40",100
712,有HG参战,11,至少1个以上HG参与战斗,"1,1",100
713,战斗用时,5,30秒内完成战斗,30,100
714,有RF参战,11,至少1个以上RF参与战斗,"3,1",100
715,击杀用时（单个）,4,50秒内击杀衔尾蛇,"50|800001,1",100
716,剩余人数,2,战斗胜利时场上人形不少于4个,4,100
717,有3个RF参战,11,至少3个以上RF参与战斗,"3,3",100
718,有MG参战,11,至少1个以上MG参与战斗,"5,1",100
719,最高伤害,6,出战人形/融合势力单位最高伤害占比不高于40%,"1,40",100
720,技能释放次数,8,梯队人形技能最多释放次数不超过5次,5,100
721,指定人形（或）,9,包含MG3//cMG4//cMG5中一个,"88,125,109",100
722,最高伤害,6,出战人形/融合势力单位最高伤害占比不高于50%,"1,50",100
723,限定枪种,12,HG不参与战斗,0|1,100
724,指定数量某枪种,11,至少3个以上HG参与战斗,"1,3",100
725,击杀用时（单个）,4,60秒内击杀衔尾蛇,"60|800001,1",100
726,指定数量某枪种,11,至少2个以上SG参与战斗,"6,2",100
727,限定枪种,12,SMG不参与战斗,0|2,100
728,指定数量某枪种,11,至少2个以上AR参与战斗,"4,2",100
729,限定枪种,12,MG不参与战斗,0|5,100
801,击杀用时（单个）,4,40秒内击杀1个涅托 辅翼,"40|10094,1",100
802,击杀用时（单个）,4,40秒内击杀2个指挥士,"40|10090,2",100
