id,item_id,sub_type,mp,ammo,mre,part,gem,item_ids,onsale,in_gasha,code,order,rarity,decompose_gift,skin,is_live2d,filter_type
1,1001,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_AAT-52.png,1,2,100001:1,0,0,5
2,1002,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_G43.png,1,2,100001:1,0,0,5
3,1003,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_IDW.png,1,2,100001:1,0,0,5
4,1004,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_L85A1.png,1,2,100001:1,0,0,5
5,1005,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_M1911.png,1,2,100001:1,0,0,5
6,1006,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_PPSH-41.png,1,2,100001:1,0,0,5
7,1007,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_MAB38.png,1,2,100001:1,0,0,5
8,1008,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_AK-47.png,2,3,100001:1,0,0,5
9,1009,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_Glock17.png,2,3,100001:1,0,0,5
10,1010,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_PM.png,2,3,100001:1,0,0,5
11,1011,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_Vz61.png,2,3,100001:1,0,0,5
12,1012,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_SPS.png,2,3,100001:1,0,0,5
13,1013,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_AR15.png,3,4,100002:1,0,0,5
14,1014,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_M1918.png,3,4,100002:1,0,0,5
15,1015,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_mp5.png,3,4,100002:1,0,0,5
16,1016,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_PTRD.png,3,4,100002:1,0,0,5
17,1017,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_ump9.png,3,4,100002:1,0,0,5
18,1018,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_G11.png,4,5,100003:1,0,0,5
19,1019,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_OTs14.png,4,5,100003:1,0,0,5
20,1020,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_KP31.png,4,5,100003:1,0,0,5
21,1021,2,0,0,0,0,80,508-2000,1,0,card_rank1_iop.prefab,1,1,,0,0,2
22,1022,2,0,0,0,0,160,508-4000,1,0,card_rankJ_aegis.prefab,2,2,,0,0,3
23,1023,2,0,0,0,0,320,508-8000,1,0,card_rankK_jupiter.prefab,2,3,,0,0,3
24,1024,2,0,0,0,0,320,508-8000,1,0,card_rankK_sop2.prefab,3,3,,0,0,2
25,1025,2,0,0,0,0,400,508-10000,1,0,card_rankA_kp31.prefab,4,4,,0,0,2
26,1026,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_anniv1_M4.png,1,10,,0,0,1
27,1027,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_anniv1_ar15.png,100,10,,0,0,1
28,1028,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_anniv1_m16.png,100,10,,0,0,1
29,1029,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_anniv1_sop2.png,100,10,,0,0,1
30,1030,2,0,0,0,0,400,508-10000,1,0,card_rankA_anniv1.prefab,26,4,,0,0,1
31,1031,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_BrenMK.png,3,3,100001:1,0,0,5
32,1032,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_FMG9.png,3,3,100001:1,0,0,5
33,1033,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_KS23.png,3,3,100001:1,0,0,5
34,1034,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_M9.png,3,3,100001:1,0,0,5
35,1035,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_M1919A4.png,3,3,100001:1,0,0,5
36,1036,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_MAC10.png,3,3,100001:1,0,0,5
37,1037,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_MicroUZI.png,3,3,100001:1,0,0,5
38,1038,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_OTs12.png,3,3,100001:1,0,0,5
39,1039,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_PPS43.png,3,3,100001:1,0,0,5
40,1040,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_RMB93.png,3,3,100001:1,0,0,5
41,1041,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_StenMK2.png,3,3,100001:1,0,0,5
42,1042,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_SV98.png,3,3,100001:1,0,0,5
43,1043,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_G36.png,4,4,100002:1,0,0,5
44,1044,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_M1873.png,4,4,100002:1,0,0,5
45,1045,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_SPAS12.png,4,4,100002:1,0,0,5
46,1046,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_SVD.png,4,4,100002:1,0,0,5
47,1047,1,0,0,0,0,160,508-4000,1,70,profilePic_rank4_UMP45.png,4,4,100002:1,0,0,5
48,1048,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_KSG.png,5,5,100003:1,0,0,5
49,1049,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_M99.png,5,5,100003:1,0,0,5
50,1050,1,0,0,0,0,200,508-5000,1,50,profilePic_rank5_RO635.png,5,5,100003:1,0,0,5
51,1051,2,0,0,0,0,160,508-4000,1,0,card_rank10_manticore.prefab,1,1,,0,0,3
52,1052,2,0,0,0,0,240,508-6000,1,0,card_rank2_vespidripper.prefab,2,2,,0,0,3
53,1053,2,0,0,0,0,320,508-8000,1,0,card_rankJ_m4a1.prefab,3,3,,0,0,2
54,1054,2,0,0,0,0,320,508-8000,1,0,card_rankJ_spp1.prefab,3,3,,0,0,2
55,1055,2,0,0,0,0,400,508-10000,1,0,card_rankQ_dreamer.prefab,4,4,,0,0,3
56,1056,1,0,0,0,0,200,508-5000,1,0,profilePic_rank0_deepdive_ump40.png,1,5,,0,0,1
57,1057,2,0,0,0,0,400,508-10000,1,0,card_rankA_deepdive.prefab,1,5,,0,0,"1,2"
58,1058,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_FNP-9.png,1,2,100001:1,0,0,5
59,1059,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_G3.png,1,2,100001:1,0,0,5
60,1060,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_LWMMG.png,1,2,100001:1,0,0,5
61,1061,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_M3.png,1,2,100001:1,0,0,5
62,1062,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_NagantM1895.png,1,2,100001:1,0,0,5
63,1063,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_SpectreM4.png,1,2,100001:1,0,0,5
64,1064,1,0,0,0,0,40,508-1000,1,100,profilePic_rank2_SVT-38.png,1,2,100001:1,0,0,5
65,1065,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_M1Garand.png,3,3,100001:1,0,0,5
66,1066,1,0,0,0,0,80,508-2000,1,100,profilePic_rank3_M2HB.png,3,3,100001:1,0,0,5
