id,name,level,group_id,code,description,arguments,max_level,is_show
101,搜索理论,1,0,function_skill_icon_101,作战任务的报酬有 {0}% 概率增加一次额外掉落{1},3,5,1
102,熟练,1,0,function_skill_icon_102,计划模式下，提升战斗的动作速度 {0}%{1},1,5,0
103,魅力,1,0,function_skill_icon_103,战斗产生的人形好感度、融合势力好感度增加 {0}%{1},3,5,1
104,作战总结,1,0,function_skill_icon_104,战斗产生的人形经验、融合势力经验增加 {0}%{1},3,5,1
105,专注,1,0,function_skill_icon_105,战斗产生的指挥官经验增加 {0}%{1},5,3,1
106,深度学习,1,0,function_skill_icon_106,战斗产生的妖精经验值增加 {0}%{1},3,5,1
107,火力需求,1,0,function_skill_icon_107,战斗产生的重装部队经验值增加 {0}%{1},3,5,1
108,摇篮曲,1,0,function_skill_icon_108,修复时间减少 {0}%，包括人形、重装和融合势力{1},10,3,1
109,速记辅助,1,0,function_skill_icon_109,作战报告书、特种作战报告书撰写时间缩短  {0}%{1},1,5,1
110,乐观,1,0,function_skill_icon_110,前进营地获取探索归来奖励数量提高 {0}%{1},5,3,0
111,幸运,1,0,function_skill_icon_111,前进营地获取探索中途奖励概率提高 {0}%{1},1,5,0
112,速成培训,1,0,function_skill_icon_112,技能训练（包括人形、妖精、重装和融合势力）时间缩短 {0}%{1},3,5,1
113,高效改装,1,0,function_skill_icon_113,装备提供的强化经验提高 {0}%{1},1,5,1
114,技术兼容,1,0,function_skill_icon_114,妖精提供的开发值提高 {0}%{1},1,5,0
115,极速充能,1,0,function_skill_icon_115,电池自然产出提高 {0}%{1},1,5,1
116,种田大法,1,0,function_skill_icon_116,作物产出提高 {0}%{1},1,5,0
117,供给管理,1,0,function_skill_icon_117,消耗粮食减少 {0}%{1},1,5,0
