id,name,classes,type,position,space,deco_rate,decompose_gift,description,code,texture_type,sorting,offset,rotate,interact_point,interact_point_offset,furniture_bgm,touch_area,bonus_id,ai
101,万圣节-哥特床,1,203,"26,2","6,4,1,1,2,0",900,100003,哥特床是整个万圣节体验的核心，来自黑暗时代的设计让每个入睡者都能进入瑰丽神秘的梦境，见到魔法兔子、红心女王和500秃子。,ws2016_bed,1,0,"0,-0.05,0",2,"6,104","0.46,0.32,1|*2.65,5.203,0",0,0,0,0
102,万圣节-日蚀地毯,1,102,"13,8","7,6,0,0,0,0",900,100003,摆上日蚀地毯能瞬间让任何房间充满神秘感，哪怕是格里芬的兵营或者学校的篮球场。,ws2016_carpet,1,0,"0,0,0",2,0,0,0,0,0,0
103,万圣节-阴影椅(左),1,202,"20,10","2,2,1,1,1,0",800,100003,阴影椅是万圣节中孤高的王座，坐在上面除了纤细的红酒杯外什么也不能拿，即使你只喝可乐也是一样。,ws2016_chair_b,1,0,"0,-0.05,0",2,2,"0.5,0.33,0",0,0,0,0
104,万圣节-阴影椅(右),1,202,"11,10","2,2,1,1,1,0",800,100003,阴影椅是万圣节中孤高的王座，坐在上面除了纤细的红酒杯外什么也不能拿，即使你只喝可乐也是一样。,ws2016_chair_a,1,0,"0,-0.05,0",2,3,"0.5,0.33,1",0,0,0,0
105,万圣节-巨大落地钟,1,201,"9,2","2,2,1,1,2,0",1000,100003,数码时代里没有什么比一座巨大笨重的落地钟更能彰显你的富足和潇洒，而且电子表可不能在午夜发出巨大的钟鸣和召唤幽灵。,ws2016_deco_big,1,0,"0,-0.05,0",2,104,"*0.101,6,0.000",0,0,0,0
106,万圣节-南瓜糖果库,1,201,"25,6","3,3,1,1,1,0",1050,100003,万圣节怎能没有装满糖果的南瓜呢？有了这个糖果库你可以应付最难缠的战术少女，哪怕是P7。,ws2016_deco_small,1,0,"0,-0.05,0",2,104,"*0.25,1.8,0.000",0,0,0,0
107,万圣节-长绒地毯,1,101,"0,0","3,3,1,1,1,0",850,100003,万圣节的地面只有铺上奢华的长毛地毯，才能衬托节日独特的氛围。注意不要把橙汁撒到上面。,ws2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
108,万圣节-阴影沙发,1,202,"13,2","6,4,1,1,1,0",1000,100003,阴影沙发是阴影椅的加强版，双人的沙发，双倍的孤高！……咦？,ws2016_sofa,1,0,"0,-0.05,0",2,"3,2,104","0.37,0.16,1|0.75,0.16,0|*-2.5,2.5,0",0,0,0,0
109,万圣节-华丽圆桌,1,201,"14,8","4,4,1,1,1,0",950,100003,很适合黑魔法召唤的圆桌，万圣夜的最佳选择。,ws2016_table,1,0,"0,-0.05,0",2,104,"*0.2,1.5,0",0,0,0,0
110,万圣节-繁星墙纸,1,301,"0,0","3,3,1,1,1,0",850,100003,深沉夜色的墙纸上，点缀着暗金的繁星，让人仿佛躺在星空的草地下。,ws2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
111,万圣节-小壁灯,1,302,"28,8","1,4,1,1,1,0",800,100003,富有曲线的设计很符合万圣节的氛围，特别是陈旧的煤油灯忽明忽暗的闪动的时候。,ws2016_walldeco_01,1,0,"0,0,0",3,104,"*0.052,1.495,0.000",0,0,0,0
