establish_id,establish_name,room_id,description,furniture_id,update_furniture_id,furniture_postion,establish_type,establish_lv,upgrade_coin,upgrade_time,upgrade_condition,parameter_1,parameter_2,parameter_3
10001,救助站墙纸,1,救助站墙纸,40001,40001,"3,3",0,1,0,0,0,,,
10002,救助站地板,1,救助站地板,40002,40002,"3,3",0,1,0,0,0,,,
10005,红十字,1,红十字,40012,40012,"9,10",0,1,0,0,0,,,
10006,半透明挂屏,1,半透明挂屏,40013,40013,"20,10",0,1,0,0,0,,,
10007,救助站灯,1,救助站灯,40007,40007,"18,6",0,1,0,0,0,,,
10100,蒙尘的工作台,1,看起来很久没有使用过的工作台，稍微修缮下，就可以开始帮助救治那些废土中流浪的动物了。,41010,41010,"6,8",101,0,0,0,0,0,0,0
10101,简易工作台,1,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。,41011,41011,"6,8",101,1,10,60,0,0,0,0
10102,简易工作台,1,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。,41011,41011,"6,8",101,2,75,300,"10201,10301",0,0,0
10103,简易工作台,1,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。,41011,41011,"6,8",101,3,150,1800,"10202,10302",0,0,0
10104,简易工作台,1,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。,41011,41011,"6,8",101,4,225,3600,"10203,10303",0,0,0
10105,简易工作台,1,加装了显微镜方便眼神不好的指挥官，还配有电脑方便查阅医学资料，术前记得洗手消毒哦。,41011,41011,"6,8",101,5,300,7200,"10204,10304",0,0,0
10106,多功能工作台,1,升级后的工作台配备了先进的状态监控系统，可以进行更高难度的手术了。,41012,41012,"6,8",101,6,375,14400,"10205,10305",0,0,0
10107,多功能工作台,1,升级后的工作台配备了先进的状态监控系统，可以进行更高难度的手术了。,41012,41012,"6,8",101,7,525,28800,"10206,10306",0,0,0
10108,多功能工作台,1,升级后的工作台配备了先进的状态监控系统，可以进行更高难度的手术了。,41012,41012,"6,8",101,8,675,43200,"10207,10307",0,0,0
10109,多功能工作台,1,升级后的工作台配备了先进的状态监控系统，可以进行更高难度的手术了。,41012,41012,"6,8",101,9,900,64800,"10208,10308",0,0,0
10110,先进全功能工作台,1,格里芬最先进的工作台，配备大型无影灯和自动化手术工具，不管是医治动物还是不慎负伤的指挥官都不在话下。,41013,41013,"6,8",101,10,1200,86400,"10209,10309",0,0,0
10200,尘封的猫窝,1,不知谁留下的旧猫窝，清洗一下应该就可以给猫咪休息用了。,41020,41020,"22,9",102,0,0,0,0,"0,1000,600,600",0,0
10201,朴素的猫窝,1,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”,41021,41021,"22,9",102,1,5,60,10101,"0,600,600,600|40101,400,600,600","0,2101",0
10202,朴素的猫窝,1,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”,41021,41021,"22,9",102,2,50,300,10102,"0,550,600,600|40101,360,600,600|40102,90,600,600","0,2101,2102",0
10203,朴素的猫窝,1,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”,41021,41021,"22,9",102,3,100,1800,10103,"0,500,600,600|40101,300,600,600|40102,200,600,600","0,2101,2102",0
10204,朴素的猫窝,1,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”,41021,41021,"22,9",102,4,150,3600,10104,"0,450,600,600|40101,300,600,600|40102,200,600,600|40103,600,600,600","0,2101,2102,2103",0
10205,朴素的猫窝,1,在精心准备好了猫窝后，指挥官悲伤的发现猫咪们更愿意睡在装弹药的纸箱里。“马上把纸箱都给我收走！”,41021,41021,"22,9",102,5,200,7200,10105,"0,400,600,600|40101,285,600,600|40102,190,600,600|40103,125,600,600","0,2101,2102,2103",0
10206,隔离猫爬架,1,指挥官咬咬牙，用攒了好久的电池建造了立体猫爬架，还附带了玻璃隔墙，然而猫咪轻松地跳出隔墙后就再也没回来过。,41022,41022,"22,9",102,6,250,14400,10106,"0,400,600,600|40101,210,600,600|40102,210,600,600|40103,150,600,600|40104,30,600,600","0,2101,2102,2103,2104",0
10207,隔离猫爬架,1,指挥官咬咬牙，用攒了好久的电池建造了立体猫爬架，还附带了玻璃隔墙，然而猫咪轻松地跳出隔墙后就再也没回来过。,41022,41022,"22,9",102,7,350,28800,10107,"0,350,600,600|40101,210,600,600|40102,210,600,600|40103,150,600,600|40104,80,600,600","0,2101,2102,2103,2104",0
10208,隔离猫爬架,1,指挥官咬咬牙，用攒了好久的电池建造了立体猫爬架，还附带了玻璃隔墙，然而猫咪轻松地跳出隔墙后就再也没回来过。,41022,41022,"22,9",102,8,450,43200,10108,"0,350,600,600|40101,200,600,600|40102,210,600,600|40103,150,600,600|40104,80,600,600|40105,10,600,600","0,2101,2102,2103,2104,2105",0
10209,隔离猫爬架,1,指挥官咬咬牙，用攒了好久的电池建造了立体猫爬架，还附带了玻璃隔墙，然而猫咪轻松地跳出隔墙后就再也没回来过。,41022,41022,"22,9",102,9,600,64800,10109,"0,300,600,600|40101,200,600,600|40102,210,600,600|40103,175,600,600|40104,90,600,600|40105,25,600,600","0,2101,2102,2103,2104,2105",0
10210,大型猫城堡,1,在大型猫城堡也变成空城之后，指挥官已满足于抓住猫咪呆在里面的十几秒里拍照分享，“反正别人又不知道//c嘿嘿嘿...”,41023,41023,"22,9",102,10,800,86400,10110,"0,150,600,600|40101,150,600,600|40102,200,600,600|40103,200,600,600|40104,100,600,600|40105,600,600,600|2015,100,600,600|2028,100,600,600|2031,100,600,600","0,2101,2102,2103,2104,2105,3022,3027,3031",0
10300,尘封的狗窝,1,不知谁留下的狗笼子，清洗一下应该可以让临时收留的小狗过夜。,41030,41030,"13,2",103,0,0,0,0,"0,1000,600,600",0,0
10301,简单的狗窝,1,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。,41031,41031,"13,2",103,1,5,60,10101,"0,600,600,600|40201,400,600,600","0,2201",0
10302,简单的狗窝,1,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。,41031,41031,"13,2",103,2,50,300,10102,"0,550,600,600|40201,360,600,600|40202,90,600,600","0,2201,2202",0
10303,简单的狗窝,1,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。,41031,41031,"13,2",103,3,100,1800,10103,"0,500,600,600|40201,300,600,600|40202,200,600,600","0,2201,2202",0
10304,简单的狗窝,1,配有恒温系统的简单狗窝，还有用来发泄小狗过剩精力的假骨头，记得每天遛狗哦指挥官。,41031,41031,"13,2",103,4,150,3600,10104,"0,450,600,600|40201,300,600,600|40202,200,600,600|40203,600,600,600","0,2201,2202,2203",0
