parameter_name,parameter_type,parameter_value,client_require
accelerate_build,float,0.333,1
accelerate_write,string,505:300;506:7500,1
achievement_type_sort,string,"1:35023,2:35024,3:1420,4:35025,5:35026,6:35027,7:35028,8:35029,9:1421,10:35030,11:35031,12:35032,13:35049,14:35050,15:35080,16:35107,100:35041,17:35122",1
activity_rank_begin_showtime,int,0,1
activity_rank_end_showtime,int,1602727200,1
activity_rank_id,int,8,1
activity_rank_mission_id,int,10520,1
additional_range,float,2,1
aeo_coef,float,1,1
ally_team_hp_remain,string,"5,0.05,1,0.2,0.8",1
america_reset_first_pay_time,int,-1,1
anniversary_guns_avg_switch,int,0,1
anti_indulgence_heart_beat_rate,int,300,1
anti_indulgence_heart_beat_reset_time,int,420,1
anti_indulgence_legal_holidays,string,"0101,0102,0103,0211,0212,0213,0214,0215,0216,0217,0403,0404,0405,0501,0502,0503,0504,0505,0612,0613,0614,0919,0920,0921,1001,1002,1003,1004,1005,1006,1007",1
armor_basic,string,"2,0.161,100",1
armor_basic_after100,string,"13.979,0.04,100",1
armor_piercing_harm,int,2,1
assist_armor_piercing_coef,int,100,1
assist_damage_efficien,int,48,1
atk_divide_def_range,string,"0.5,2",1
attack_effect_mg,string,"7,1.5,4,200,23,8,3",1
attack_effect_normal,string,"5,1.5,23,8,50,3",1
attack_effect_sg,string,"6,1.5,23,8,50,3,3,1.5,0.5",1
auto_formation_sangvis_effect_M,string,"2300,61,1661,253,126,7,4,2,2",1
auto_mission_exp,int,50,1
auto_mission_times,string,"3,5",1
avg_auto_play_speed,string,"6,1",1
avg_type_speed,string,"1,4",1
basic_equip_exp,string,"2:50,3:100,4:175,5:300",1
battle_member_zoom_switch,int,2,1
battle_spine_mainframe_work,int,1,1
battle_subtitle_switch,int,1,1
blacklist_limit,int,50,1
black_card _available,int,1,1
bp_buy_limit,int,10,1
break_overflow,int,10,1
build_coin_max,int,9999,1
capsule_overflow_threthod,int,10,1
cd_reduction_limit,int,30,1
chat_censorship_switch,int,1,1
chat_refresh_rate,int,5,1
chs_reset_first_pay_time,int,1531368000,1
clickCount,int,300,1
clickLimit,int,5,1
Coin_Convert_propotion,int,1,1
collect_target_num,int,35,1
collect_target_switch,int,1,1
commander_emoji_default,int,1,1
commander_mall_limit,int,10,1
commander_uniform_default,string,"1010:,1020:,1030:,1040:,1050:",1
damage_efficien,int,12,1
damag_ereduce_coef,float,1,1
datacell_change_unit_time,int,28800,1
data_dungeon_enemy_1,int,111111,1
data_dungeon_enemy_2,int,111111,1
data_dungeon_enemy_3,int,111111,1
DefenseDrill_JumpPoint,int,90,1
deffence_effect,string,"1,35,4.2,100,3.2,1",1
def_break_efficien,int,14,1
def_break_value,int,187,1
dodge_basic,string,"5,100",1
dodge_grow,string,"0.303,100,100,0",1
dodge_grow_after100,string,"0.075,100,100,22.572",1
dormitory_score_basic,int,2500,1
dorm_build_coin_range_time,string,"11,12,13|17,18,19|22,23,24",1
dorm_carpet_size,string,"35,14",1
dorm_floor_size,string,"35,14",1
dorm_furniture_position_init,string,"201:18|4,202:3|6,203:10|6,204:0|0,205:10|0,206:6|6,207:0|0",1
dorm_material_coefficients,string,"80,10,0.1,60000,0.2,1.7,0.08,4.58,0.05,0,235001,7.4,0.05",1
dorm_score_init,int,3200,1
dorm_visitor_limit,int,10,1
dorm_visit_prize,int,71,1
dorm_visit_prize_limit,int,10,1
dorm_wall_size,string,"35,23",1
download_on,int,10,1
draw_event_show,string,"19,20",1
duplicate1_giftitem200001,string,1101:8;1102:32;1103:96,1
duplicate1_item46,string,1104:8;1105:32;1106:96,1
duplicate2_win_item9,string,1-2-3,1
duplicate5_win_item45,string,8-20-30,1
duplicate_open_time,string,"1:1,2,3,4,5,6,0|2:1,2,3,4,5,6,0|3:1,2,3,4,5,6,0|101:1,2,3,4,5,6,0|5:1,2,3,4,5,6,0",1
enemy_color,string,"0.5,0.75,1",1
enemy_effect_attack,string,"22,50,35,2,0.85",1
enemy_effect_defence,string,"0.25,35,600,100,1200",1
enemy_quickmove_maplimit,int,3600,1
equipgroup_isshow,int,1,1
equip_attr,string,"pow,hit,dodge,speed,rate,critical_harm_rate,critical_percent,armor_piercing,armor,shield,damage_amplify,damage_reduction,night_view_percent,bullet_number_up",1
equip_enhance_switch,int,1,1
equip_exp_rate,string,"2:0.8,3:1,4:2,5:4",1
equip_intensive_exp,int,100,1
equip_level_limit,string,"20-1,50-2,80-3",1
equip_lv_limit,int,10,1
equip_rank_level_limit,string,"20-2,30-3,45-4,60-5",1
equip_recover_supplies,string,"200,200,200,200;100,100,100,100;120,120,120,120;140,140,140,140;160,160,160,160",1
equip_rectify_switch,int,1,1
equip_strengthen_unlock_mission,int,90004,1
equip_type_count,string,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",1
equip_type_produce_cost_item,int,517,1
equip_type_produce_limit,int,20,1
establish_switch,int,1,1
event_boss_kill_time,int,8,1
event_story_campaign,string,"-1;-2,-3,-4,-5;",1
exchange_rate,float,1,1
exclude_skins,string,0,1
explore_daynight_time,string,"6,18",1
explore_items,string,"1:4001,4002,4003,4004|2:4001,4002,4003,4004|3:6001,6004,6007|4:6002,6003,6005,6006,6008,6009,6010,6011,6012,6013",1
explore_mall_limit,int,50,1
explore_time_span,int,10800,1
fairy_armor_grow,string,"5,0.05,100,100",1
fairy_buff_ratio,float,0.1,1
fairy_critical_harm_rate_grow,string,"10,0.101,100,100",1
fairy_dodge_grow,string,"20,0.202,100,100",1
fairy_exp_simulation,Int,1,1
fairy_hit_grow,string,"25,0.252,100,100",1
fairy_image_type,string,"1:1,2;2:3,4;3:5",1
fairy_pow_grow,string,"7,0.076,100,100",1
fairy_quality_exp_M,string,"1,0.1",1
fairy_quality_exp_N,string,"1.5,1",1
fairy_quality_need_level,string,"1:1,2:20,3:40,4:70,5:100",1
fairy_rectify_cost,string,"600,600,600,200,60",1
fairy_switch,int,1,1
favor_attribute_0_9,float,-0.05,1
favor_attribute_10_89,float,0,1
favor_attribute_140,float,0.1,1
favor_attribute_190,float,0.15,1
favor_attribute_90_139,float,0.05,1
favor_click,int,2500,1
favor_enemy_boss,int,2,1
favor_enemy_common,int,1,1
favor_fight_active_m,int,2,1
favor_fight_byboss_die,int,0,1
favor_fight_byboss_notdie,int,0,1
favor_fight_bynotboss_die,int,100000,1
favor_fight_bynotboss_notdie,int,50000,1
favor_fight_mvp,float,0.7,1
favor_fight_no_mvp,float,0,1
favor_furniture_basic,int,8,1
favor_init,int,500000,1
favor_mindupdate_toplimit,int,2000000,1
favor_soulbind_toplimit,int,1500000,1
favor_team_leader,int,1,1
favor_team_member_less50,int,1,1
favor_team_member_more50,float,0.3,1
favor_toplimit,int,1000000,1
fix_cost_damage,string,"0.5,1,10,0.7,40",1
fix_cost_normal,string,"0.5,1,10",1
fix_cost_sangvis,int,10,1
fix_cost_sangvis2,string,"10,0.7,20",1
fix_cost_squad1,string,20;1200,1
fix_cost_squad2,string,900;900;0.7;3600,1
fix_time_damage,string,"20,5,400,35000,0.7,150",1
fix_time_normal,string,"20,40",1
fix_time_sangvis,string,"10800,0",1
fix_time_sangvis2,string,"30000,0.7,36000,0,30",1
fix_time_squad_HP,string,960;960;0.7;1440;5400,1
fix_time_squad_noHP,string,20;1440;3600,1
force_open_mission,string,10160,1
foreign_switch,string,"0,0,0",1
friends_coefficients,string,"10,10",1
friend_cosmetic_filter_type,string,"1:1554,Activity;2:1555,Griffin;3:1556,Sangvis;4:1558,Skin;5:1559,Original;6:1560,Live2D;7:1561,Hot;8:1562,Rare;9:1563,New",1
friend_itemstore_switch,int,0,1
friend_limit,int,100,1
friend_supported_prize,int,72,1
friend_support_prize,int,70,1
furniture_coin_toplimit,int,300000,1
gasha_commonPool,int,1,1
gasha_rates_provision,string,"1:170002,2:170003,3:170004,4:170005",1
giftbag_limit,int,10,1
gizp_output,int,1,1
guild_application_check_limit,int,100,1
guild_application_limit,int,10,1
guild_change_name_cost,int,300,1
guild_create_cost,string,"1000,1000,1000,1000",1
guild_furniture_donate_rate,string,"5:42-10,4:43-8,3:44-6,2:45-4",1
guild_furniture_score_rate,string,"5:10,4:8,3:6,2:4",1
guild_impeach_last_time,int,72,1
guild_impeach_limit,int,15,1
guild_invite_check_limit,int,10,1
guild_invite_last_time,int,86400,1
guild_invite_limit,int,100,1
guild_max_contribution_week,int,1000,1
guild_name_change_gem,int,500,1
guild_quit_cd,int,86400,1
gun_disassembly,string,"1-0,2-0,3-1,4-3,5-5,6-10",1
gun_grow_M,string,"100,300,50,50",1
gun_grow_N,float,1.2,1
gun_max_level,string,"100,110,115,120",1
gun_mindupdate_indexs,int,20000,1
gun_preset_max,int,6,1
gun_recover_core,string,"1:15,2:1,3:3,4:9,5:15",1
gun_tag_like_color,int,2,1
gun_tag_like_limit,int,10,1
hg_effect_grow,string,"0.75,0.25",1
hit_basic,string,"5,100",1
hit_grow,string,"0.303,100,100,0",1
hit_grow_after100,string,"0.075,100,100,22.572",1
hostage_power_rate,float,0.15,1
illustration_skin_switch,int,0,1
item_recover_info_603,string,603:6:2:1,1
jp_reset_first_pay_time,int,-1,1
kalina_favor_click,int,5,1
kalina_favor_n,int,5,1
kr_reset_first_pay_time,int,1531463400,1
life_basic,string,"55,0.555,100",1
life_basic_after100,string,"96.283,0.138,100",1
limited_pool,string,"6:1,5:4,4:18,3:27",1
live_efficien,float,0.5,1
mall_special_daily_quota_switch,int,1,1
mapcamera_enemyhub_viewsize,float,0,1
mapcamera_hub_scale_range,string,"5,20",1
max_attack_rate,int,120,1
max_fairy,int,300,1
max_gun_exp,string,"3263300,5263300,10083300,30283300",1
max_research_slot,int,4,1
max_sangvis,int,500,1
max_sangvis_exp,int,3255500,1
medal_on_card,int,3,1
medal_switch,int,1,1
Memory_pieces_max,int,9999,1
messagelist_refresh_rate,int,10,1
message_content_limit,int,200,1
message_frequency,int,3,1
message_limit,int,50,1
message_storage_time,int,60,1
message_times,int,1,1
mica_bind_date,string,2013-11-02 00:00:00;2013-10-30 10:00:00,1
mindupdate_condition,string,"1-100-1000000,2-110-1000000,3-115-1000000",1
mindupdate_exp_double,float,2,1
min_attack_rate,int,15,1
min_attribute,string,"pow:0,hit:1,dodge:0,speed:0,rate:1,critical_harm_rate:0,critical_percent:0,armor_piercing:0,armor:0,def:0,defBreak:0",1
min_hit,int,1,1
mission_event_opentime_white_list,string,,1
mission_group_reset_draw_max,string,"1,100000;2,100000;3,100000;4,100000;5,100000;6,100000;7,100000;8,100000;9,100000;10,100000;11,100000;12,100000;13,100000",1
mission_group_reset_draw_max_client,string,"1,0;2,0;3,0;4,100000;5,100000;6,100000;7,0;8,100000;9,100000;10,100000;11,100000;12,100000;13,100000",1
mission_key_enough_open,string,"11003,11004,11005,11006,11007,11008,11009,11010",1
motherbase_bombing_switch,int,10890,1
naive_build_gun_formula,string,,1
naive_damage_switch,string,0;1,1
night_ai_weight,string,"1:40,2:30,3:8,4:8,5:1",1
night_friend_team_condition,string,"0,0",1
night_hand_gun_range,int,1,1
night_hit_debuff,float,-0.9,1
night_radar_range,int,2,1
normal_combat_campaign_isopen,int,1,1
normal_develop_gun_balance_para,int,100,1
normal_develop_type_T,string,"1,1,1,1,1.5",1
not_certified_user,int,10800,1
offset_fairy_id,int,1000,1
offset_gun_id,int,1000,1
pay_value,float,1,1
permanent_pool,string,"6:1,5:4,4:18,3:27",1
pet_decorate_limit,int,3000,1
plan_mode_limit,int,40,1
plan_mode_off,int,0,1
plan_mode_permit_array,string,"1:2,2:2,0:0,1:0,1:1,1:3,2:0,2:1,2:3,3:0,3:1,3:3,4:0,4:1,4:3,5:0,5:1,5:3,6:0,6:1,6:3,7:0,7:1,8:0,8:1,9:0,9:1,10:0,10:1",1
potential_energy_recover_max,int,12,1
power_basic,string,"16,100",1
power_grow,string,"0.242,100,100,0",1
power_grow_after100,string,"0.06,100,100,18.018",1
precise_coef,float,8,1
precise_min,float,0.4,1
property_rate,string,"0.01,1,1,0.01,1,1",1
quick_auto_mission_item,int,525,1
quick_auto_mission_num,string,60:1;120:2;9999:3,1
random_get_a,float,0.4,1
random_get_b,float,0.045,1
random_get_c,int,32,1
ranking_onlist_number,int,20000,1
rank_hunting_switch,int,1,1
rank_switch,int,1,1
rate_basic,string,"45,100",1
rate_grow,string,"0.181,100,100,0",1
rate_grow_after100,string,"0.022,100,100,15.741",1
rate_limit,string,"120,120,120,120,1000,60",1
recharge_img,string,"recharge_20180330.png,934d99ca5ea269c0_draw_210630001.png",1
rectify_cost,string,"100,100,100,30,15",1
rectify_pre_mission,int,90008,1
rectify_voucher_cost,string,"1-5,2-10",1
reload_coef1,int,1500,1
reload_coef2,int,300,1
rename_control,int,1,1
ricochet_coef,float,1,1
room_decorate_limit,int,10000,1
same_equip_exp_rate,int,3,1
same_furniture_limit,string,299:3,1
sangvis_accelerate_chip_dev,int,333,1
sangvis_advance_skill_effect,string,"15,2",1
sangvis_ap,string,1,1
sangvis_assist_attack_cost,string,"2,1",1
sangvis_assist_exp_M,int,10,1
sangvis_assist_grade,string,"1,0.8",1
sangvis_attack_cost,string,"2,1",1
sangvis_attack_effect,string,"5,0.01,23,8,50,3",1
sangvis_base_lv,int,40,1
sangvis_battle_exp_damping,string,"10,5",1
sangvis_battle_exp_M,int,100,1
sangvis_boss_memberlocation_chip_type,string,"1,2,3",1
sangvis_boss_memberlocation_switch_ap_add,int,1,1
sangvis_boss_memberlocation_switch_formation_effect,int,0,1
sangvis_boss_memberlocation_switch_skill1 ,int,1,1
sangvis_boss_memberlocation_switch_skill2,string,"1,2,3",1
sangvis_boss_memberlocation_switch_skill3,int,1,1
sangvis_boss_memberlocation_switch_skill_advance,int,1,1
sangvis_buildingatk_exp_M,string,"10,3",1
sangvis_commander_location_type,string,"1,2,3",1
sangvis_cost_mp,int,2,1
sangvis_cost_res,string,"10,10,1,1",1
sangvis_deffence_effect,string,"1,35,2.6,200,1.6,1",1
sangvis_display_emoji,string,"Emoji_1711,Emoji_1603,Emoji_1727,Emoji_1705,Emoji_1715,Emoji_1764,Emoji_1750,Emoji__1601,Emoji_1765;Emoji__0502,Emoji__1203,Emoji__1304,Emoji_0403,Emoji_1740,Emoji_1720,Emoji_1752,Emoji_1744;Emoji_1738,Emoji_1737,Emoji_1735,Emoji_1746,Emoji_1723,Emoji_1707,Emoji_1708,Emoji_1709,Emoji__1503;Emoji_9002,Emoji_0201,Emoji__1506,Emoji__1504,Emoji__0511,Emoji_1702,Emoji_1733;Emoji_1715,Emoji_1713,Emoji__1302,Emoji_1720,Emoji__1602,Emoji_1752,Emoji__0502;Emoji_9001,Emoji_1710,Emoji_0201,Emoji_1721,Emoji_0203,Emoji_0405;Emoji_9001,Emoji_1710,Emoji_0202,Emoji_1751",1
sangvis_display_teams,string,"9701,9702,9703;9101,9102,9201,9202,9301,9302,9401,9402,9501,9502,9601,9602;9001;3",1
sangvis_effect_coef,string,"1,1,1",1
sangvis_first_content,string,"1001:1,2003:1,3001:1,3005:1",1
sangvis_forces,string,"0:Others,1:Sangvis,2:KCCO,3:Paradeus",1
sangvis_hiringteam_battle_defeat_awardradio,int,-10,1
sangvis_hiringteam_battle_lesstime_awardradio_1,int,10,1
sangvis_hiringteam_battle_lesstime_awardradio_2,int,20,1
