id,name,en_name,code,introduce,dialogue,extra,en_introduce,character,type,rank,develop_duration,baseammo,basemre,ammo_add_withnumber,mre_add_withnumber,retiremp,retireammo,retiremre,retirepart,ratio_life,ratio_pow,ratio_rate,ratio_speed,ratio_hit,ratio_dodge,ratio_armor,armor_piercing,crit,special,eat_ratio,ratio_range,skill1,skill2,normal_attack,passive_skill,dynamic_passive_skill,effect_grid_center,effect_guntype,effect_grid_pos,effect_grid_effect,max_equip,type_equip1,type_equip2,type_equip3,type_equip4,ai,is_additional,launch_time,obtain_ids,rank_display,prize_id,mindupdate_consume,explore_tag,gun_detail_bg,org_id
1,柯尔特左轮,M1873,M1873,"类型            左轮手枪
总重            1,048克（7½""枪管）
全长            11""（279毫米 - 5½""枪管）；
                13""（318毫米 - 7½""枪管）
弹药            .45柯尔特，.44-40温彻斯特，.38-40温彻斯特，.32-20温彻斯特，其他
枪机种类        单动式
供弹方式        6发弹巢
瞄准具型式      前后准星","指挥官,是您在叫我嘛？您这里有可乐吗！有很多很多的可乐么！",Saru//c田中あいみ//c,"Type                       Revolver//n//nWeight                     1//c048 g (with 7½"" barrel)//n//nLength                     11"" (279 mm – with 5½"" barrel);//n//n                           12.5"" (318 mm – with 7½"" barrel)//n//nCartridge                  .45 Colt//c .44-40 WCF//c .38-40 WCF//c//n//n                           .32-20 WCF//c .38 Colt and many others//c//n//n                           including .22 LR//c .38 Special//c//n//n                           .357 Magnum and .44 Special//n//nAction                     Single-action revolver//n//nFeed system                6-shot Cylinder",,1,4,3000,10,10,5,5,2,2,2,0,120,125,85,100,90,95,0,15,20,0,130,95,100503,0,300115,,,13,0,"8,12,14,18","1,12;3,25",0,"1;4,13,16,18",2;6,3;10,,1,0,2016-05-20 00:00:00,"1,3",4,0,"10:20,45:200;10:40,45:1000;10:60,45:2000",52,nation_US,10302
2,M1911,M1911,M1911,"类型            半自动手枪
总重            空枪：1,105克
全长            210毫米
枪管长度        政府型：127毫米
                指挥官型：108毫米
                军官ACP型：89毫米
弹药            .45 ACP
枪机种类        枪管短行程后座作用、单动式板机，具握把式保险
枪口初速        251.46米/秒
有效射程        50米
供弹方式        7发（标准弹匣），膛室1发
瞄准具型式      金属缺口式照门及准星","真是宿命的邂逅呢,指挥官,没想到会在这里遇到您。",spirtie//c松井恵理子//c,Type                       Semi-automatic pistol//n//nWeight                    2.44 lb (1//c105 g) empty//c w/magazine//n//nLength                    8.25 in (210 mm)//n//nBarrel length           Government model: 5.03 in (127 mm)//n//n                              Commander model: 4.25 in (108 mm)//n//n                              Officer's ACP model: 3.5 in (89 mm)//n//nCartridge                .45 ACP (11.43 mm)//n//nAction                     Short recoil operation//n//nMuzzle velocity        825 ft/s (251 m/s)//n//nFeed system            7-round standard detachable box magazine,,1,2,1200,10,10,5,5,2,2,2,0,110,95,105,100,100,100,0,15,20,0,120,105,102401,0,300101,"900156,999999",,13,0,"8,12,14,18","2,10;3,25",0,"1;4,13,16","2;6,19",3;10,,2,0,2016-05-20 00:00:00,"1,3",2,0,"10:10,45:200;10:20,45:600;10:30,45:1200",68,nation_US,10202
3,M9,M9,M9,"类型            半自动手枪
总重            空枪：952 克
全长            217 毫米
枪管长度        125 毫米
弹药            9×19毫米
枪机种类        短行程后座作用、自由枪机、单／双动
枪口初速        353.568 米／秒
有效射程        50 米
供弹方式        15 发可拆式弹匣
瞄准具型式      机械瞄具","M9手枪！我可是很有人气的,请记住我吧！",M.vv//c洲崎綾//c,Type                       Semi-automatic pistol//n//nWeight                     952 g (33.6 oz)//n//n                           1//c162 g (41.0 oz) loaded//n//nLength                     217 mm (8.5 in)//n//nBarrel length              125 mm (4.9 in)//n//nCartridge                  9×19mm Parabellum//n//nAction                     Short recoil//n//nMuzzle velocity            381 m/s (1//c250 ft/s)//n//nEffective firing range     50 m//n//nFeed system                15-round detachable box magazine//n//nSights                     Iron sights,,1,3,2400,10,10,5,5,2,2,2,0,115,110,115,100,120,95,0,15,20,0,110,105,102202,0,300101,"900156,999999",,13,0,"12,14,17,19","1,10;4,10",0,"1;4,13,16,18",2;6,3;10,,3,0,2016-05-20 00:00:00,"1,3",3,0,,"12,24",nation_US,10202
4,蟒蛇,Python,Python,"类型            左轮手枪
总重            1,048克（7½""枪管）
全长            11""（279毫米 - 5½""枪管）；
                13""（318毫米 - 7½""枪管）
弹药            .45柯尔特，.44-40温彻斯特，.38-40温彻斯特，.32-20温彻斯特，其他
枪机种类        单动式
供弹方式        6发弹巢
瞄准具型式      前后准星",指挥官，您就是我的新“猎物”吗？哼哼，请放心，我没有任何不敬的意思。,REALMBW//cたかはし智秋//c,"Type                       Revolver//nWeight                     1//c048 g (with 7½"" barrel)//nLength                     11"" (279 mm – with 5½"" barrel);//n                           12.5"" (318 mm – with 7½"" barrel)//nCartridge                  .45 Colt//c .44-40 WCF//c .38-40 WCF//c//n                           .32-20 WCF//c .38 Colt and many others//c//n                           including .22 LR//c .38 Special//c//n                           .357 Magnum and .44 Special//nAction                     Single-action revolver//nFeed system                6-shot Cylinder",,1,5,3180,10,10,5,5,2,2,2,0,105,128,85,100,140,95,0,15,40,0,142,100,120007,0,120009,"200422,756001","120001,120002,120003,120004,120005,120006,120008,120010,120011",13,0,"7,8,19,12,14,18","1,15;5,10",0,"1;4,13,16","2;6,19",3;10,,4,0,2018-08-16 00:00:00,411,5,0,,,nation_US,10202
5,纳甘左轮,M1895,M1895,"类型            左轮手枪
总重            空枪：0.8 公斤
全长            235 毫米
枪管长度        114 毫米
弹药            7.62×38mmR
枪机种类        单动式、双动式
发射速率        14 - 21发/分钟
枪口初速        272米/秒
有效射程        22米
供弹方式        7发转轮式弹巢
瞄准具型式      前后准星","哎呀指挥官,您居然喜欢我这种资历的人嘛,品味还真是特别啊。",X布//c篠原なるみ//c,Type                       Revolver//n//nWeight                    1.8 lb (0.8 kg)//n//nLength                    10.5 in (235 mm)//n//nBarrel length           4.5 in (114 mm)//n//nCartridge                7.62×38mmR (7.62mm Nagant)//n//nCaliber                    7.62mm//n//nAction                     Double action//n//nRate of fire              14-21 rounds/min//n//nMuzzle velocity        1//c070 ft/s (327 m/s)//n//nEffective firing range50 yds (46 m) //n//nFeed system            7-round cylinder//n//nSights                     Fixed front post and rear notch,,1,2,1200,10,10,5,5,2,2,2,0,105,110,80,100,85,115,0,15,20,0,130,80,101309,0,300115,"800502,800501,999999",,13,0,"8,12,14","1,16;5,8",0,"1;4,13,16,18",2;6,3;10,,5,0,2016-05-20 00:00:00,"1,3",2,0,"10:10,45:200;10:20,45:600;10:30,45:1200","6,25,54,58,70,73",nation_Russia,10302
6,托卡列夫,TT33,TT33,"类型            半自动手枪
总重            840克
全长            196毫米
枪管长度        116毫米
弹药            7.62托卡列夫手枪弹
枪机种类        枪管短行程后座作用、单动
枪口初速        420米/秒
有效射程        50米
供弹方式        8发弹匣
瞄准具型式      前后准星",您就是我的指挥官吗？今后请您多多照顾了。,废人//c佐久間比呂美//c,Type                       Semi-automatic pistol//n//nWeight                     854 g (30.1 oz)//n//nLength                     194 mm (7.6 in)//n//nBarrel length              116 mm (4.6 in)//n//nHeight                     134 mm (5.3 in)//n//nCartridge                  7.62×25mm Tokarev//n//nAction                     Short recoil actuated//c //n//n                           locked breech//c single action//n//nMuzzle velocity            480 m/s (1//c575 ft/s)//n//nEffective firing range     50 m //n//nFeed system                8-round detachable box magazine//n//nSights                     Front blade//c rear notch//n//n                           156 mm (6.1 in) sight radius,,1,3,2700,10,10,5,5,2,2,2,0,130,120,100,100,105,100,0,15,20,0,105,120,100602,0,300101,"999999,756164",,13,0,"12,14,17,19","2,10;3,25",0,"1;4,13,16",2;6,3;10,,6,0,2016-05-20 00:00:00,"1,3",3,0,,57,nation_Russia,10302
7,斯捷奇金,APS,APS,"类型            冲锋手枪
总重            1.22公斤
全长            225毫米
枪管长度        140毫米
弹药            9×18毫米马卡洛夫枪弹
枪机种类        反冲作用，单动/双动
发射速率        400–900发/分钟
枪口初速        340米/秒
有效射程        50米
最大射程        200米
供弹方式        20发弹匣
瞄准具型式      金属瞄具",军用冲锋手枪，斯捷奇金APS，为您服务。今后好好相处吧，我亲爱的长官。,鳗鱼子//c喜多村英梨//c,Type                       Machine Pistol//n//nWeight                     1.22 kg (2.69 lbs)//n//nLength                     225 mm (8.86 in)//n//nBarrel length              140 mm (5.51 in)//n//nCartridge                  9×18mm Makarov//n//n                           9×19mm Parabellum.//n//nAction                     blowback//n//nRate of fire               750 rounds/minute//n//nMuzzle velocity            340 m/s (9×18mm Makarov)//n//nEffective firing range     50 m (9×18mm Makarov)//n//nMaximum firing range       200 m//n//nFeed system                20-round detachable box magazine,,1,4,3300,10,10,5,5,2,2,2,0,125,105,125,100,95,95,0,15,20,0,110,100,100805,0,900271,,,13,0,"12,14,17,19","1,6;2,12",0,"1;4,13,16,18",2;6,"3;10,20",,7,0,2016-05-20 00:00:00,1,4,0,"10:20,45:200;10:40,45:1000;10:60,45:2000",38,nation_Russia,10303
8,马卡洛夫,PM,PM,"类型            半自动手枪
总重            空枪：730克
全长            161.5毫米
枪管长度        93.5毫米
弹药            9x18毫米马卡洛夫枪弹
枪机种类        反冲作用,单/双动式板机
发射速率        约30发/分钟
枪口初速        315米/秒
有效射程        50米
供弹方式        8发弹匣
瞄准具型式      刀片式准星，缺口准星","指挥官,别担心,跟着我的节奏来,工作就没问题。",河马//c上坂すみれ//c,Type                       Semi-automatic pistol//n//nWeight                     730 g (26 oz)//n//nLength                     161.5 mm (6.36 in)//n//nBarrel length              93.5 mm (3.68 in)//n//nWidth                      29.4 mm (1.16 in)//n//nCartridge                  9×18mm Makarov//n//nAction                     Blowback//n//nMuzzle velocity            315 m/s (1//c030 ft/s)//n//nEffective firing range     50 m (55 yd)//n//nFeed system                8-round detachable box magazine //n//n                           (10- and 12-round available on //n//n                           the latest Russian models)//n//nSights                     Blade front//c notch rear (drift adjustable),,1,3,2400,10,10,5,5,2,2,2,0,95,90,110,100,115,120,0,15,20,0,130,100,101502,0,300101,999999,803602,13,0,"7,8,9,18","1,10;2,6",0,"1;4,13,16,18","2;6,19",3;10,,8,0,2016-05-20 00:00:00,"1,3",3,0,"10:15,45:200;10:30,45:800;10:45,45:1600","14,37,48",nation_Russia,10704
9,P38,P38,P38,"类型            半自动手枪
总重            800克
全长            216毫米
枪管长度        125毫米
弹药            9毫米鲁格弹
枪机种类        短行程后座,单动/双动
枪口初速        365米/秒
有效射程        50米
供弹方式        8发可拆式单排弹匣
瞄准具型式      凹形照门，刀片形准星","指挥官♪今天啊,就是命运的相遇呢！",とり//c叶江透//c,Type                       Semi-automatic pistol//n//nWeight                     800 g (1 lb 12 oz)//n//nLength                     216 mm (8.5 in)//n//nBarrel length              125 mm (4.9 in)//n//nCartridge                  9×19mm Parabellum//n//nAction                     Short recoil//c locked breech//n//nMuzzle velocity            365 m/s (1//c200 ft/s)//n//nEffective firing range     Sights set for 50 m (55 yd)//n//nFeed system                8-round detachable single-stack magazine//n//nSights                     Rear notch and front blade post,,1,2,1200,10,10,5,5,2,2,2,0,100,100,105,100,95,105,0,15,20,0,125,105,102501,0,300101,999999,,13,0,"12,14,17,19","2,7;3,28",0,"1;4,13,16,18",2;6,3;10,,9,0,2016-05-20 00:00:00,"1,3",2,0,,"12,55",nation_German,10803
10,PPK,PPK,PPK,"类型            半自动手枪
总重            .380 ACP：590克（21盎司）
                .32 ACP：590克（21盎司）
                .22 LR：560克（20盎司）
全长            155毫米
枪管长度        83毫米
弹药            .380 ACP（9 x 17mm Short）
                .32 ACP（7.65 x 17mm Browning SR）
                .25 ACP（6.35 x 15mm Browning SR）
                .22 LR（5.7 x 15.6mm）9 x 18mm Ultra]]（PP-Super）
枪机种类        反冲作用,单动/双动
枪口初速        .380 ACP：244米/秒
                .32 ACP：308米/秒
                .22 LR：280米/秒
有效射程        50米
供弹方式        .380 ACP：6+1发
                .32 ACP：7+1发
                .22 LR：8+1发
瞄准具型式      缺口式照门及刀片式准星","哼哼♪指挥官,能在这里见到您,我很开心呢。",堀森//c伊藤あすか//c,Type                       Semi-automatic pistol//n//nWeight                     590 g (21 oz) (PPK 7.65×17mm Browning SR/.32 ACP)//n//nLength                     155 mm (6.1 in) (PPK)//n//nBarrel length              83 mm (3.3 in) (PPK//c PPK/S//c PPK-L))  //n//nWidth                      25 mm (1.0 in) (PPK)      //n//nHeight                     100 mm (3.9 in) (PPK)//n//nCartridge                  7.65×17mm Browning SR (.32 ACP)//n//n                           9×17mm Short (.380 ACP)//n//n                           .22 Long Rifle//n//n                           6.35×15mm Browning SR (.25 ACP)//n//n                           9×18mm Ultra (PP-Super)//n//nAction                     Straight blowback//n//nMuzzle velocity            244 m/s (800.5 ft/s) (PPK/PPK/S 9×17mm Short/.380 ACP)//n//n                           308 m/s (1//c010.5 ft/s)//n//n                           (PPK/PPK/S/PPK-L 7.65×17mm Browning SR/.32 ACP)//n//nFeed system                PPK: 8+1 (.22 LR)//c 7+1 (.32 ACP)//n//nSights                     Fixed iron sights//c rear notch and front blade,,1,2,1320,10,10,5,5,2,2,2,0,85,85,115,100,115,130,0,15,20,0,125,95,105001,0,300101,"999999,756161",,13,0,"7,8,9,18","2,16;5,8",0,"1;4,13,16,18","2;6,19",3;10,,10,0,2016-05-20 00:00:00,"1,3",2,0,"10:10,45:200;10:20,45:600;10:30,45:1200","30,71",nation_German,10303
