obtain_id,description,detail
0,     -暂时无法获取//c请期待后续活动,0
1,     -可通过常规制造获取,0
2,     -可通过重型制造获取,0
3,     -可在通常战役中救援获得,1
4,     -可在通常战役Boss关卡中救援获得,0
5,     -可通过本月签到奖励获得,0
6,     -可随主线剧情进度获得,0
7,     -可通过成就奖励获得,0
8,     -可通过【普通1-6】【紧急1-4】中,0
9,       BOSS战S胜或战役S评价获得,0
10,     -可通过【普通2-6】【紧急2-4】中,0
11,       BOSS战S胜或战役S评价获得,0
12,     -可通过【普通3-6】【紧急3-4】中,0
13,       BOSS战S胜或战役S评价获得,0
14,     -可通过【普通4-6】【紧急4-4】中,0
15,       BOSS战S胜或战役S评价获得,0
16,     -可通过【普通5-6】【紧急5-4】中,0
17,       BOSS战S胜或战役S评价获得,0
18,     -可通过【普通6-6】【紧急6-4】中,0
19,       BOSS战S胜或战役S评价获得,0
20,     -可通过【普通7-6】【紧急7-4】中,0
21,       BOSS战胜利或战役S评价获得,0
22,     -可通过【普通8-6】【紧急8-4】中,0
23,       BOSS战胜利或战役S评价获得,0
24,     -限时战役【深层映射】中救援获得,0
25,     -限时战役【深层映射】通关奖励,0
26,     -限时战役【深层映射】中打开物资箱获得,0
27,     -可通过【普通9-6】【紧急9-4】中,0
28,       BOSS战胜利或战役S评价获得,0
29,     -可通过【普通10-6】【紧急10-4】中,0
30,       BOSS战胜利或战役S评价获得,0
31,     -可通过【普通11-6】【紧急11-4】中,0
32,       BOSS战胜利或战役S评价获得,0
33,     -可通过【普通12-6】【紧急12-4】中,0
34,       BOSS战胜利或战役S评价获得,0
35,     -可通过心智升级获取,0
36,     -可通过【普通13-6】【紧急13-4】中,0
37,       BOSS战胜利或战役S评价获得,0
38,     -可通过装备重型制造获取,0
101,     -常驻活动【失温症】中救援获得,0
102,     -常驻活动【魔方行动】中救援获得,0
103,     -限时战役【失温症】中救援获得,0
104,     -限时战役【失温症】通关奖励,0
105,     -常驻活动【深层映射】中救援获得,0
106,     -常驻活动【深层映射】通关奖励,0
107,     -常驻活动【深层映射】中打开物资箱获得,0
201,     -限时战役【魔方行动】中救援获得,0
202,     -限时战役【魔方行动】通关奖励,0
203,     -限时活动【塌缩点】中救援获得,0
204,     -限时活动【塌缩点】通关奖励,0
205,     -限时活动【塌缩点】中打开物资箱获得,0
206,     -限时活动【荣耀日】2-3通关获得,0
207,     -作战纲领【暗影密令】奖励,0
208,     -成就奖励,0
209,     -限时活动【粽日大作战】兑换,0
210,     -作战纲领【猩红魔女】奖励,0
211,     -限时活动【有序紊流】中救援获得,0
212,     -限时活动【有序紊流】通关奖励,0
213,     -限时活动【有序紊流】中打开物资箱获得,0
214,     -作战纲领【中秋岗哨】奖励,0
215,     -限时活动【异构体】中救援获得,0
216,     -限时活动【异构体】通关奖励,0
217,     -限时活动【异构体】中打开物资箱获得,0
218,     -限时活动【Hit-Hop】奖励,0
219,     -作战纲领【蜜蜂与四叶草】奖励,0
220,     -限时活动【瓦尔哈拉】1-1通关奖励,0
221,     -限时活动【瓦尔哈拉】1-8通关奖励,0
222,     -限时活动【瓦尔哈拉】中救援获得,0
223,     -限时活动【瓦尔哈拉】商店兑换,0
224,     -限时活动【裂变链接】中救援获得,0
225,     -限时活动【裂变链接】通关奖励,0
226,     -限时活动【裂变链接】中打开物资箱获得,0
227,     -密钥活动【粉调岁歌】奖励,0
228,     -限时活动【偏振光】中救援获得,0
229,     -限时活动【偏振光】通关奖励,0
230,     -限时活动【偏振光】中打开物资箱获得,0
231,     -限时活动【神枪少女】通关奖励,0
232,     -限时活动【神枪少女】中救援获得,0
233,     -限时活动【神枪少女】商店兑换,0
234,     -限时活动【双联乱数】中救援获得,0
235,     -限时活动【双联乱数】通关奖励,0
236,     -限时活动【双联乱数】中打开物资箱获得,0
237,     -限时活动【暗金潮】商店兑换,0
238,     -限时活动【暗金潮】通关奖励,0
239,     -限时活动【镜像论】中救援获得,0
240,     -限时活动【镜像论】通关奖励,0
241,     -限时活动【镜像论】中打开物资箱获得,0
242,     -限时活动【小邪神前线】通关奖励,0
243,     -限时活动【小邪神前线】中救援获得,0
244,     -限时活动【小邪神前线】商店兑换,0
245,     -限时活动【熵减焓增】中救援获得,0
246,     -限时活动【熵减焓增】通关奖励,0
247,     -限时活动【熵减焓增】中打开物资箱获得,0
248,     -限时活动【静风点】中救援获得,0
249,     -限时活动【静风点】通关奖励,0
250,     -限时活动【静风点】中打开物资箱获得,0
301,     -作战纲领【金色月夕】奖励,0
302,     -中秋节签到奖励,0
303,     -限时战役【猎兔行动】通关奖励,0
304,     -限时战役【猎兔行动】中救援获得,0
305,     -限时战役【猎兔行动】中打开魔素概率获得,0
306,     -限时商城兑换,0
307,     -限时战役【独法师】中救援获得,0
308,     -限时战役【独法师】第四关过关奖励,0
309,     -限时战役【独法师】第六关过关奖励,0
310,     -密钥活动【阵前考核】奖励,0
311,     -【未知】,0
312,     -作战纲领【狂热夏夜】奖励,0
313,     -密钥活动【街垒涂鸦】奖励,0
314,     -限时战役【独法师】通关奖励,0
315,     -限时战役【荣耀日】通关奖励,0
316,     -限时战役【瓦尔哈拉】通关奖励,0
317,     -限时战役【猎兔行动】商店兑换,0
318,     -限时战役【独法师】商店兑换,0
319,     -限时战役【荣耀日】商店兑换,0
403,     -常驻活动【塌缩点】中救援获得,0
411,     -常驻活动【有序紊流】中救援获得,0
415,     -常驻活动【异构体】中救援获得,0
424,     -常驻活动【裂变链接】中救援获得,0
502,     -常驻活动【有序紊流】中限时积分模式奖励,0
503,     -常驻活动【异构体】中限时积分模式奖励,0
504,     -常驻活动【裂变链接】中限时积分模式奖励,0
505,     -常驻活动【偏振光】中限时积分模式奖励,0
506,     -限时活动【双联乱数】积分模式奖励,0
507,     -限时活动【镜像论】积分模式奖励,0
508,     -限时活动【熵减焓增】积分模式奖励,0
509,     -大型战役关卡奖励,0
510,     -商城礼包,0
511,     -常驻活动【深层映射】中限时积分模式奖励,0
512,     -常驻活动【塌缩点】中限时积分模式奖励,0
513,     -限时活动【静风点】积分模式奖励,0
1701,     -2017年1月签到奖励,0
1702,     -2017年2月签到奖励,0
1703,     -2017年3月签到奖励,0
1704,     -2017年4月签到奖励,0
1705,     -2017年5月签到奖励,0
1706,     -2017年6月签到奖励,0
1707,     -2017年7月签到奖励,0
1708,     -2017年8月签到奖励,0
1709,     -2017年9月签到奖励,0
1710,     -2017年10月签到奖励,0
1711,     -2017年11月签到奖励,0
1712,     -2017年12月签到奖励,0
1801,     -2018年1月签到奖励,0
1802,     -2018年2月签到奖励,0
1803,     -2018年3月签到奖励,0
