id,tag,tag_type,description
101,前排,1,该人形生存能力较强，编成时适合放置在队伍前排。
102,后排,1,该人形生存能力较弱，编成时适合放置在队伍后排。
103,强力输出,1,该人形输出较高，在战斗中能够造成大量伤害。
104,王牌肉盾,1,该人形生存能力较强，在战斗中能够吸收成吨伤害。
105,优秀辅助,1,该人形可以有效提升队友的生存/输出能力。
106,护甲穿透,1,该人形可以通过携带穿甲装备有效针对装甲类型的敌方单位。
107,夜间作战,1,该人形可以装备夜视仪提高夜战中的命中。
108,高回避,1,该人形回避数值优秀，可以有效躲避敌方单位的攻击。
109,高护甲,1,该人形护甲数值优秀，可以有效抵御敌方单位的非穿甲类伤害。
110,高伤害,1,该人形伤害数值优秀，可以对敌方单位造成可观的单发伤害。
111,高射速,1,该人形射速数值优秀，可以快速对敌方单位造成多次伤害。
112,高生命,1,该人形生命数值优秀，可以承受更多的伤害。
113,高暴击率,1,该人形暴击率数值优秀，有更高概率对敌方单位造成暴击伤害。
114,强力光环,1,该人形的影响格效果出色，可以为队友提供更多的支持。
115,高移速,1,该人形在战斗中移动速度较快，易于躲避带有预警的敌方技能。
116,低移速,1,该人形在战斗中移动速度较慢，难以躲避带有预警的敌方技能。
117,瞬时爆发,1,开启技能后可以在短时间内对敌方单位会产生大量伤害。
118,持续输出,1,开启技能后可以在较长时间内提供可观输出。
119,单体重伤,1,普攻或技能会对单体敌方单位造成大量伤害。
120,多体杀伤,1,普攻或技能会对多个敌方单位造成有效伤害。
121,范围伤害,1,普攻或技能会一定范围内的所有编制敌方单位造成伤害。
122,免疫伤害,1,该人形的技能会使自身短时间内免疫伤害。
123,眩晕,1,该人形的技能可以对敌方单位造成眩晕。
124,贯通,1,该人形的技能可以对一条直线的敌方单位造成伤害。
125,击退,1,普攻或技能可以击退敌方单位。
126,后排杀伤,1,普攻或技能可以优先攻击距离最远的敌方后排单位。
127,提升伤害,1,该人形可以提升我方伤害。
128,提升回避,1,该人形可以提升我方回避。
129,提升命中,1,该人形可以提升我方命中。
130,提升射速,1,该人形可以提升我方射速。
131,提升暴率,1,该人形可以提升我方暴击率。
132,弱化伤害,1,该人形可以弱化敌方伤害。
133,弱化回避,1,该人形可以弱化敌方回避。
134,弱化命中,1,该人形可以弱化敌方命中。
135,弱化射速,1,该人形可以弱化敌方射速。
136,夜战技能,1,该人形拥有强力的夜战技能，可以在夜战中发挥更强的作战能力。
137,伤害加深,1,该人形的技能可以使敌方单位短时间内所受伤害提升。
138,专属装备,1,该人形拥有强力的专属装备，可以极大提升作战能力。
