id,type,arg,code,item_name,introduction,rank,sort,initial_num,daily_limit,upper_limit,consume_type,item_access,detail_introduction
1,1,1,IOP_Contract,人形制造契约,委托IOP制造人形的订单。万幸，我们的老朋友一直是我们坚实的后援。,1,2,,,0,0,"1,4,5,3",可在工厂-人形制造中委托IOP进行人形制造。
2,1,2,EQUIP_Contract,装备制造契约,委托16Lab制造装备的订单。打折的代价就是随机。,1,3,,,0,0,"1,4,5,3",可在工厂-装备制造中委托16lab进行装备制造。
3,1,3,Quick_Develop,快速制造契约,为制造订单附上加急的需求。加急有风险，货已售出，非质量问题概不退换。,1,4,,,0,0,"1,4,5,3",可在工厂中立即完成人形或装备的制造。
4,1,4,Quick_Reinforce,快速修复契约,为修复附上加急的需求。她迫不及待地想和你一起重回前线了。,1,5,,,0,0,"1,4,5,3",可立即完成受损单位的修复。
5,1,5,Daily_Pause,每日暂停许可,每日暂停许可,1,0,,,0,0,,
6,1,6,Auto_Battle,自动战斗许可,自动战斗许可,1,0,,,0,0,,
7,1,7,Ring,誓约之证,与心意相通的战术少女缔结誓约的证明。是时候让你们的关系升华一下了！,1,1,,,0,0,1,可与好感度达到上限的人形缔结誓约，提高好感度上限。
8,1,8,Quick_Training,快速训练契约,虽然人类的学习需要时间，但在金钱的堆砌下，战术单位可以不需要。,1,6,,,0,0,"1,3",可在研发-技能训练中立即完成单位的技能训练。
9,1,9,Capsule,增幅胶囊,有多种果味可选的强化胶囊，据说最近为了配合某些人形增加了酒味的版本。,1,7,,,0,0,"25,6",可在工厂-人形强化中提高人形未达上限的四项属性各一点，溢出部分会少量并依次分配到其它属性。
10,2,1,Core,替代核心,驱动傀儡的模块。“经原主人的许可才能卸下，进而演化成机器人之间的压迫。”,1,8,,,0,0,"7,5,6,3",可在工厂-编制扩大中替代相同人形进行编制扩大。
11,1,1,cost_raffle_ticket,密码卡,活动抽取数字,1,0,,,0,0,,
12,1,1,Integral_ticket,积分,活动选择数字,1,0,,,0,0,,
13,1,1,Rename_card,改名卡,申请更改指挥官名字的登记卡，“一个让大家（包括您自己）重新看待您的机会。”,1,-39,,,0,0,2,
14,1,1,primary_data_unit,原始数据样本,粗略的数据样本，质量参差不齐。“这次会是相同的结果吗？也许只是临时缺少一些灵感。”,1,19,,,0,0,"8,5",可在情报中心进行情报解析，获取重装部队中枢数据或芯片。
15,1,1,advanced_data_unit,纯净数据样本,仔细筛选过的样本，分析出有价值的数据的可能性高一些。只是一些。“至少这一份看起来更清澈。”,1,20,,,0,0,"8,5",可在情报中心进行情报解析，相比原始数据更容易获取重装部队中枢数据和高星级芯片。
16,1,1,Quick_Analysis,快速解析契约,不逼数据分析师一把，你永远不知道给自己打工的人能有多优秀。“出于对方的爱好，这份契约需要您额外支付一张真实猫咪的照片。”,1,21,,,0,0,"1,5,2",可立即完成情报中心正在进行的情报解析。
17,1,1,Data_Patch,数据补丁,能够晋升重装部队的数据补丁，其中有一部分是拆解满级的重装部队后获得。“‘三人行必有我师焉’，所以……‘再见了，老师’。”,1,22,,,0,0,"9,10",可用于满星满级重装部队的迭代强化。
31,2,2,Train_Coin1,初级训练资料,为人形们编写的初级技能训练指南，有进步就好！“好耶！虽然没做什么，但我真是辛苦了！”,1,9,,,9999,0,12,可在研发-技能训练中为格里芬单位提供技能初级训练。
32,2,3,Train_Coin2,中级训练资料,为人形们编写的中级技能训练指南，不必求甚解。“变强就有命吃更多的冰淇淋，没有更多的钱去吃就是另一个问题了……”,1,10,,,9999,0,12,可在研发-技能训练中为格里芬单位提供技能中级训练。
33,2,4,Train_Coin3,高级训练资料,为人形们编写的高级技能训练指南，十分精深。“扫地僧是什么，为什么我要做扫地僧？”人形问。,1,11,,,9999,0,12,可在研发-技能训练中为格里芬单位提供技能高级训练。
41,1,10,Furniture_Coin,采购币,白色发亮的特殊货币，在这个时代很少见。“这些神秘硬币曾被怀疑是为设计师人形们提供灵感动力的电池。”,1,12,,,300000,0,"1,4,5,2",可在宿舍中进行家具和人形装扮的采购。
42,1,11,Exchange_Coin,兑换券,订购商品赠送的无门槛代金券。买得越多送的越多，IOP不愧业界良心企业。,1,13,,,0,0,11,可在宿舍-采购-限时兑换中兑换当期限时采购的家具和人形装扮，限时采购结束后一比一会转化为采购币。
43,1,12,Skin_Exchange,黑卡,曾经精英才能申请的高端卡片，你也拥有了。,1,14,,,0,0,11,可在宿舍-采购-黑卡兑换中兑换人形装扮。
44,1,13,Voucher,校准点券,装备校准需要使用的代币，看起来并不值钱。据说存在的意义只是防止强迫症重复调试。,1,15,,,0,0,"13,5",可在研发中用于装备或妖精校准。
45,1,1,Memory_pieces,记忆碎片,人形心智梳理时产生的数据，经过筛选可用于升级人形的心智空间。“你们说要让我自由，但我只想要冰淇淋。”,1,18,,,9999,0,"14,15",可在研发-心智升级中用于人形心智升级。
46,1,1,sp_battle_report,特种作战报告书,重装部队的特殊作战报告，类似的报告书正在不断增加。“希望大家从中发掘真正的宝藏，要知道失败的经验总大于成功。”,1,23,,,0,0,"24,16,6",可在格纳库中用于重装部队的经验训练。
47,1,1,TheaterMaterial,战区素材,,1,0,,,0,0,,
48,1,1,Train_Coin_box,三项训练资料,,1,0,,,0,0,,
49,1,1,TheaterMaterial,正式服钻石,111,1,0,,,0,0,,
