id,motions,code,fit_gun,skin,mail_offset_x,mail_offset_y,mail_scale,skinType,skinLogo,fit_sangvis,is_show
1,"1000,1001
,1002
,1003
,1004
,1005
,1006
,1007
,1008
,1009
,1010
,1011
,1012
,1013
,1014
,1015
,1016
,1017
,1018
,1019
,1020
,1021
,1022
,1023
,1024
,1025
,1026
,1027
,1028
,1029
,1030
,1031
,1032
,1033
,1034
,1035
,1036
,1037
,1038
,1039
,1040
,1041
,1042
,1043
,1044
,1045
,1046
,1047
,1048
,1049
,1050
,1051
,1052
,1053
,1054
,1055
,1056
,1057
,1058
,1059
,1060
,1061
,1062
,1063
,1064
,1065
,1066
,1067
,1068
,1069
,1070
,1071
,1072
,1073
,1074
,1075
,1076
,1077
,1078
,1079
,1080
,1081
,1082,1083",NPC_Kalina,-1,0,,,,1,1,0,1
2,"120201,120202,120203,120204,120205,120206,120207,120211,120212,120213,120214,120215,120216,120217,120218,120219,120220,120221,120222,120223",G36C_1202,104,1202,,,,1,1,0,1
3,"60401,60402,60403,60404,60405,60406,60407,60408,60409,60410,60417,60418,60419,60420,60421,60422,60423,60424,60425,60426,60427",MLEMK1_604,50,604,,,,1,1,0,1
4,"140101,140102,140103,140104,140105,140106,140107,140108,140109,140115,140116,140117,140118,140119,140120,140121,140122,140123,140124",Welrod_1401,114,1401,,,,1,1,0,1
5,"40501,40502,40503,40504,40505,40506,40507,40508,40509,40510,40517,40518,40519,40520,40521,40522,40523,40524,40525,40526,40527",95type_405,129,405,,,,1,1,0,1
6,"150101,150102,150103,150104,150105,150106,150107,150108,150109,150110,150111,150112,150113,150114,150115,150116,150117,150118",M1928A1_1501,16,1501,,,,1,1,0,1
7,"31001,31002,31003,31004,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020",KP31_310,115,310,,,,1,1,0,1
8,"160101,160102,160103,160104,160105,160106,160107,160108,160109,160110,160111,160112,160113,160114,160115,160116,160117,160118,160119,160120",RFB_1601,172,1601,,,,1,1,0,1
9,"80501,80502,80503,80504,80505,80506,80507,80508,80509,80510,80511,80512,80513,80514,80515,80516,80517,80518,80519",HK416_805,65,805,,,,1,1,0,1
10,"180101,180103,180105,180106,180107,180108,180109,180111,180112,180113,180114,180115,180116,180117,180118,180119,180120,180121",DSR50_1801,179,1801,,,,1,1,0,1
11,"180901,180902,180903,180904,180905,180906,180907,180908,180909,180910,180911,180912,180913,180914,180915,180916,180917,180918,180919,180920,180921,180922,180923",88type_1809,95,1809,,,,1,1,0,1
13,"190101,190102,190103,190104,190105,190106,190107,190108,190109,190110,190111,190112,190113,190114,190115,190116,190117,190118",Vector_1901,20,1901,,,,1,1,0,1
14,"210101,210102,210103,210104,210105,210106,210107,210108,210109,210110,210111,210112,210113,210114,210115,210116,210117,210118,210119,210120,210121",DSR50_2101,179,2101,,,,1,1,0,1
15,"210201,210202,210203,210204,210205,210206,210207,210208,210209,210210,210211,210212,210213,210214,210215,210216,210217,210218,210219,210220,210221",Grizzly_2102,96,2102,,,,1,1,0,1
16,"230101,230102,230103,230104,230105,230106,230107,230108,230109,230110,230111,230112,230113,230114,230115,230116,230117,230118,230119,230120",NTW20_2301,53,2301,,,,1,1,0,1
17,"240101,240102,240103,240104,240105,240106,240107,240108,240109,240110,240111,240112,240113,240114,240115,240116,240117,240118,240119,240120",G41_2401,62,2401,,,,1,1,0,1
18,"110301,110302,110303,110304,110305,110306,110307,110308,110309,110310,110311,110312,110313,110314,110315,110316,110317,110318",KP31_1103,115,1103,,,,1,1,0,1
19,"601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619",WA2000_6,48,6,,,,1,1,0,1
20,"260101,260102,260103,260104,260105,260106,260107,260108,260109,260110,260111,260112,260113,260114,260115,260116,260117,260118,260119,260120",SAT8_2601,188,2601,,,,1,1,0,1
21,306,cg6,0,0,,,,1,1,0,1
22,"290101,290102,290103,290104,290105,290106,290107,290108,290109,290110,290111,290112,290113,290114,290115,290116,290117,290118,290119,290120",Type64-AR_2901,243,2901,,,,1,1,0,1
23,"280101,280102,280103,280104,280105,280106,280107,280108,280109,280110,280111,280112,280113,280114,280115,280116,280117,280118,280119,280120,280121,280122,280123,280124,280125,280126,280127",Px4Storm_2801,233,2801,,,,1,1,0,1
24,"220301,220302,220303,220304,220305,220306,220307,220308,220309,220310,220311,220312,220313,220314,220315,220316,220317,220318,220319,220320",FN57_2203,142,2203,,,,1,1,0,1
25,"300101,300102,300103,300104,300105,300106,300107,300108,300109,300110,300111,300112,300113,300114,300115,300116,300117,300118,300119,300120",OTs14_3001,119,3001,"-65,-80","-200,-50","60,50",1,1,0,1
26,"310101,310102,310103,310104,310105,310106,310107,310108,310109,310110,310111,310112,310113,310114,310115,310116,310117,310118,310119,310120,310121",KP31_3101,115,3101,,,,1,1,0,1
27,"330101,330102,330103,330104,330105,330106,330107,330108,330109,330110,330111,330112,330113,330114,330115,330116,330117,330118,330119,330120",K2_3301,194,3301,,,,1,1,0,1
28,"330201,330202,330203,330204,330205,330206,330207,330208,330209,330210,330211,330212",AK12_3302,206,3302,,,,2,2,0,1
29,"330301,330302,330303,330304,330305,330306,330307,330308,330309,330310,330311,330312",AN94_3303,205,3303,,,,2,2,0,1
30,"340401,340402,340403,340404,340405,340406,340407,340408,340409,340410,340411,340412",UMP9_3404,101,3404,,,,2,2,0,1
31,"340301,340302,340303,340304,340305,340306,340307,340308,340309,340310,340311,340312",UMP45_3403,103,3403,,,,2,2,0,1
32,"340101,340102,340103,340104,340105,340106,340107,340108,340109,340110,340111,340112,340113,340114,340115,340116,340117,340118,340119,340120",HK416_3401,65,3401,,,,1,1,0,1
33,"340301,340302,340303,340304,340305,340306,340307,340308,340309,340310,340311,340312",UMP45Mod_3403,20103,3403,,,,2,2,0,1
34,"220201,220202,220203,220204,220205,220206,220207,220208,220209,220210,220211,220212",Carcano1938_2202,198,2202,,,,2,2,0,1
35,"220101,220102,220103,220104,220105,220106,220107,220108,220109,220110,220111,220112",Carcano1891_2201,197,2201,,,,2,2,0,1
36,"240301,240302,240303,240304,240305,240306,240307,240308,240309,240310,240311,240312",AA12_2403,163,2403,,,,2,2,0,1
37,"240701,240702,240703,240704,240705,240706,240707,240708,240709,240710,240711,240712",G36_2407,64,2407,,,,2,2,0,1
38,"240701,240702,240703,240704,240705,240706,240707,240708,240709,240710,240711,240712",G36Mod_2407,20064,2407,,,,2,2,0,1
39,"350201,350202,350203,350204,350205,350206,350207,350208,350209,350210,350211,350212",Lewis_3502,253,3502,,,,2,2,0,1
40,"350301,350302,350303,350304,350305,350306,350307,350308,350309,350310,350311,350312",CBJMS_3503,213,3503,,,,2,2,0,1
41,"350401,350402,350403,350404,350405,350406,350407,350408,350409,350410,350411,350412",Type88_3504,238,3504,,,,2,2,0,1
42,"350101,350102,350103,350104,350105,350106,350107,350108,350109,350110,350111,350112,350113,350114,350115,350116,350117,350118,350119,350120",R93_3501,266,3501,,,,1,1,0,1
43,"180901,180902,180903,180904,180905,180906,180907,180908,180909,180910,180911,180912,180913,180914,180915,180916,180917,180918,180919,180920,180921,180922,180923",88typeMod_1809,20095,1809,,,,1,1,0,1
44,"340401,340402,340403,340404,340405,340406,340407,340408,340409,340410,340411,340412",UMP9Mod_3404,20101,3404,,,,2,2,0,1
45,"340101,340102,340103,340104,340105,340106,340107,340108,340109,340110,340111,340112,340113,340114,340115,340116,340117,340118,340119,340120",HK416Mod_3401,20065,3401,,,,1,1,0,1
46,"80501,80502,80503,80504,80505,80506,80507,80508,80509,80510,80511,80512,80513,80514,80515,80516,80517,80518,80519",HK416Mod_805,20065,805,,,,1,1,0,1
47,"120101,120102,120103,120104,120105,120106,120107,120108,120109,120110,120111,120112",PKP_1201,173,1201,,,,2,2,0,1
48,"120301,120302,120303,120304,120305,120306,120307,120308,120309,120310,120311,120312,120313,120314",OTs14_1203,119,1203,,,,2,2,0,1
49,"360101,360102,360103,360104,360105,360106,360107,360108,360109,360110,360111,360112",ADS_3601,214,3601,,,,2,2,0,1
50,"360201,360202,360203,360204,360205,360206,360207,360208,360209,360210,360211,360212",SAT8_3602,188,3602,,,,2,2,0,1
51,"230201,230202,230203,230204,230205,230206,230207,230208,230209,230210,230211,230212",Contender_2302,183,2302,,,,2,2,0,1
52,"230301,230302,230303,230304,230305,230306,230307,230308,230309,230310,230311,230312",M950A_2303,97,2303,,,,2,2,0,1
53,307,cg_2019summer,0,0,,,,1,1,0,1
54,"370301,370302,370303,370304,370305,370306,370307,370308,370309,370310,370311,370312",97type_3703,130,3703,,,,2,2,0,1
55,"370401,370402,370403,370404,370405,370406,370407,370408,370409,370410,370411,370412",SR3MP_3704,135,3704,,,,2,2,0,1
56,"370101,370102,370103,370104,370105,370106,370107,370108,370109,370110,370111,370112,370113,370114,370115,370116,370117,370118,370119,370120",PA15_3701,260,3701,"-75,-71","-234,-163","95,95",1,1,0,1
57,"370201,370202,370203,370204,370205,370206,370207,370208,370209,370210,370211,370212,370213,370214",95type_3702,129,3702,,,,2,2,0,1
58,"501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519",M1903_5,36,5,,,,1,2,0,1
59,"140201,140202,140203,140204,140205,140206,140207,140208,140209,140210,140211,140212,140213,140214",79type_1402,127,1402,,,,2,2,0,1
60,"260201,260202,260203,260204,260205,260206,260207,260208,260209,260210,260211,260212,260215,260216",TAC50_2602,222,2602,,,,2,2,0,1
61,"260301,260302,260303,260304,260305,260306,260307,260308,260309,260310,260311,260312,260315,260316",MDR_2603,215,2603,,,,2,2,0,1
62,"380101,380102,380103,380104,380105,380106,380107,380108,380109,380110,380111,380112,380113,380114,380115,380116,380117,380118,380119,380120,380121",QBU88_3801,261,3801,,,,1,1,0,1
63,"380201,380202,380203,380204,380205,380206,380207,380208,380209,380210,380211,380212,380213,380214,380215,380216,380217,380218,380219,380220,380221",G36C_3802,104,3802,,,,1,1,0,1
64,"150501,150502,150503,150504,150505,150506,150507,150508,150509,150510,150511,150512",AEK999_1505,149,1505,,,,2,2,0,1
65,"390201,390202,390203,390204,390205,390206,390207,390208,390209,390210,390211,390212",P22_3902,242,3902,,,,2,2,0,1
66,"390101,390102,390103,390104,390105,390106,390107,390108,390109,390110,390111,390112,390113,390114,390115,390116,390117,390118,390119,390120",Saiga12_3901,160,3901,,,,1,1,0,1
67,"230101,230102,230103,230104,230105,230106,230107,230108,230109,230110,230111,230112,230113,230114,230115,230116,230117,230118,230119,230120",NTW20Mod_2301,20053,2301,,,,1,1,0,1
68,"30601,30602,30603,30604,30605,30606,30607,30608,30609,30610,30611,30612,30613,30614,30615,30616,30617,30618,30619,30620,30621",WA2000_306,48,306,,,,1,2,0,1
69,"160201,160202,160203,160204,160205,160206,160207,160208,160209,160210,160211,160212,160213,160214",G11_1602,122,1602,,,,2,2,0,1
70,"280201,280202,280203,280204,280205,280206,280207,280208,280209,280210,280211,280212,280213,280214",P90_2802,245,2802,,,,2,2,0,1
71,"400101,400102,400103,400104,400105,400106,400107,400108,400109,400110,400111,400112,400113,400114,400115,400116,400117,400118,400119,400120,400121",Lewis_4001,253,4001,,,,1,1,0,1
72,"
400301,400302,400303,400304,400305,400306,400307,400308,400309,400310,400311,400312,400313,400314",HKCAWS_4003,281,4003,,,,2,2,0,1
73,"410101,410102,410103,410104,410105,410106,410107,410108,410109,410110,410111,410112,410113,410114,410115,410116,410117,410118,410119,410120,410121",SR3MP_4101,135,4101,,,,1,1,0,1
74,"40601,40602,40603,40604,40605,40606,40607,40608,40609,40610,40611,40612,40613,40614",97type_406,130,406,,,,2,2,0,1
75,"55001,55002,55003,55004,55005,55006,55007,55008,55009,55010,55011,55012,55013,55014,55015,55016,55017,55018,55019,55020",M4A1Mod,20055,0,,,,1,1,0,1
76,"57001,57002,57003,57004,57005,57006,57007,57008,57009,57010,57011,57012,57013,57014,57015,57016,57017,57018,57019,57020",AR15Mod,20057,0,,,,1,1,0,1
77,"56001,56002,56003,56004,56005,56006,56007,56008,56009,56010,56011,56012,56013,56014,56015,56016,56017,56018,56019,56020",M4 SOPMOD IIMod,20056,0,,,,1,1,0,1
78,"103001,103002,103003,103004,103005,103006,103007,103008,103009,103010,103011,103012,103013,103014,103015,103016,103017,103018,103019,103020",UMP45Mod,20103,0,,,,1,1,0,1
79,"180601,180602,180603,180604,180605,180606,180607,180608,180609,180610,180611,180612,180613,180614",M590_1806,155,1806,,,,2,2,0,1
80,"420101,420102,420103,420104,420105,420106,420107,420108,420109,420110,420111,420112,420113,420114,420115,420116,420117,420118,420119,420120,420121",DP12_4201,282,4201,,,,1,1,0,1
81,"420201,420202,420203,420204,420205,420206,420207,420208,420209,420210,420211,420212,420213,420214,420215,420216,420217,420218,420219,420220,420221",PA15_4202,260,4202,,,,1,1,0,1
82,"290401,290402,290403,290404,290405,290406,290407,290408,290409,290410,290411,290412,290413,290414",Carcano1938_2904,198,2904,,,,2,2,0,1
83,"290501,290502,290503,290504,290505,290506,290507,290508,290509,290510,290511,290512,290513,290514",Carcano1891_2905,197,2905,,,,2,2,0,1
84,"410201,410202,410203,410204,410205,410206,410207,410208,410209,410210,410211,410212,410213,410214",G11_4102,122,4102,,,,2,2,0,1
85,"190401,190402,190403,190404,190405,190406,190407,190408,190409,190410,190411,190412,190413,190414",G36_1904,64,1904,,,,2,2,0,1
86,"190401,190402,190403,190404,190405,190406,190407,190408,190409,190410,190411,190412,190413,190414",G36Mod_1904,20064,1904,,,,2,2,0,1
87,"310501,310502,310503,310504,310505,310506,310507,310508,310509,310510,310511,310512,310513,310514",Mk23_3105,99,3105,,,,2,2,0,1
88,"430401,430402,430403,430404,430405,430406,430407,430408,430409,430410,430411,430412,430413",ZastavaM21_4304,196,4304,,,,1,2,0,1
89,"430201,430202,430203,430204,430205,430206,430207,430208,430209,430210,430211,430212,430213,430214,430215,430216,430217,430218,430219,430220,430221",M950A_4302,97,4302,,,,1,1,0,1
90,"310301,310302,310303,310304,310305,310306,310307,310308,310309,310310,310311,310312,310313,310314",G36C_3103,104,3103,,,,2,2,0,1
91,"430101,430102,430103,430104,430105,430106,430107,430108,430109,430110,430111,430112,430113,430114,430115,430116,430117,430118,430119,430120,430121,430122,430123",98K_4301,46,4301,,,,1,1,0,1
92,"430201,430202,430203,430204,430205,430206,430207,430208,430209,430210,430211,430212,430213,430214,430215,430216,430217,430218,430219,430220,430221",M950AMod_4302,20097,4302,,,,1,1,0,1
93,"80301,80302,80303,80304,80305,80306,80307,80308,80309,80310,80311,80312",M1891_803,39,803,,,,2,2,0,1
94,"80301,80302,80303,80304,80305,80306,80307,80308,80309,80310,80311,80312",M1891Mod_803,20039,803,,,,2,2,0,1
95,"210401,210402,210403,210404,210405,210406,210407,210408,210409,210410,210411,210412,210413",ZastavaM21_2104,196,2104,,,,2,2,0,1
96,"210701,210702,210703,210704,210705,210706,210707,210708,210709,210710,210711,210712",UMP45_2107,103,2107,,,,2,2,0,1
97,"210701,210702,210703,210704,210705,210706,210707,210708,210709,210710,210711,210712",UMP45Mod_2107,20103,2107,,,,2,2,0,1
98,"210601,210602,210603,210604,210605,210606,210607,210608,210609,210610,210611,210612",UMP9_2106,101,2106,,,,2,2,0,1
99,"210601,210602,210603,210604,210605,210606,210607,210608,210609,210610,210611,210612",UMP9Mod_2106,20101,2106,,,,2,2,0,1
100,"210301,210302,210303,210304,210305,210306,210307,210308,210309,210310,210311,210312",Welrod_2103,114,2103,,,,2,2,0,1
