type,count,identity,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,title,content,equip_ids,prize_id
medal1-0-1-1,1,1,10,30,30,30,10,0,0,29,,完成行动：普通1-1,首次通过普通1-1，获得该关卡铜星勋章。,,0
medal1-0-1-2,1,2,30,30,30,30,10,0,0,0,,完成行动：普通1-2,首次通过普通1-2，获得该关卡铜星勋章。,,0
medal1-0-1-3,1,3,30,30,30,30,10,0,0,0,,完成行动：普通1-3,首次通过普通1-3，获得该关卡铜星勋章。,,0
medal1-0-1-4,1,4,30,30,30,30,10,0,0,0,,完成行动：普通1-4,首次通过普通1-4，获得该关卡铜星勋章。,,0
medal1-0-1-5,1,5,30,30,30,30,10,0,0,27,,完成行动：普通1-5,首次通过普通1-5，获得该关卡铜星勋章。,,0
medal1-0-1-6,1,6,30,30,30,30,10,0,0,0,,完成行动：普通1-6,首次通过普通1-6，获得该关卡铜星勋章。,,0
medal1-0-2-1,1,7,60,60,60,60,20,0,0,0,,完成行动：普通2-1,首次通过普通2-1，获得该关卡铜星勋章。,,0
medal1-0-2-2,1,8,60,60,60,60,20,0,0,0,,完成行动：普通2-2,首次通过普通2-2，获得该关卡铜星勋章。,,0
medal1-0-2-3,1,9,60,60,60,60,20,0,0,0,,完成行动：普通2-3,首次通过普通2-3，获得该关卡铜星勋章。,,0
medal1-0-2-4,1,10,60,60,60,60,20,0,0,0,,完成行动：普通2-4,首次通过普通2-4，获得该关卡铜星勋章。,,0
medal1-0-2-5,1,11,60,60,60,60,20,0,0,0,,完成行动：普通2-5,首次通过普通2-5，获得该关卡铜星勋章。,,0
medal1-0-2-6,1,12,60,60,60,60,20,0,0,55-20-2-1-1,"2-5,3-5",完成行动：普通2-6,首次通过普通2-6，获得该关卡铜星勋章。,,0
medal1-0-3-1,1,13,90,90,90,90,30,0,0,0,,完成行动：普通3-1,首次通过普通3-1，获得该关卡铜星勋章。,,0
medal1-0-3-2,1,14,90,90,90,90,30,0,0,0,,完成行动：普通3-2,首次通过普通3-2，获得该关卡铜星勋章。,,0
medal1-0-3-3,1,15,90,90,90,90,30,0,0,56-30-3-1-1,,完成行动：普通3-3,首次通过普通3-3，获得该关卡铜星勋章。,,0
medal1-0-3-4,1,16,90,90,90,90,30,0,0,0,,完成行动：普通3-4,首次通过普通3-4，获得该关卡铜星勋章。,,0
medal1-0-3-5,1,17,90,90,90,90,30,0,0,0,,完成行动：普通3-5,首次通过普通3-5，获得该关卡铜星勋章。,,0
medal1-0-3-6,1,18,90,90,90,90,30,0,0,57-40-3-1-1,,完成行动：普通3-6,首次通过普通3-6，获得该关卡铜星勋章。,,0
medal1-0-4-1,1,19,120,120,120,120,40,0,0,0,,完成行动：普通4-1,首次通过普通4-1，获得该关卡铜星勋章。,,0
medal1-0-4-2,1,20,120,120,120,120,40,0,0,0,,完成行动：普通4-2,首次通过普通4-2，获得该关卡铜星勋章。,,0
medal1-0-4-3,1,21,120,120,120,120,40,0,0,0,,完成行动：普通4-3,首次通过普通4-3，获得该关卡铜星勋章。,,0
medal1-0-4-4,1,22,120,120,120,120,40,0,0,0,,完成行动：普通4-4,首次通过普通4-4，获得该关卡铜星勋章。,,0
medal1-0-4-5,1,23,120,120,120,120,40,0,0,0,,完成行动：普通4-5,首次通过普通4-5，获得该关卡铜星勋章。,,0
medal1-0-4-6,1,24,120,120,120,120,40,0,0,54-55-3-1-1,,完成行动：普通4-6,首次通过普通4-6，获得该关卡铜星勋章。,,0
medal1-1-1-1,1,25,60,60,60,60,20,0,0,0,,完成行动：紧急1-1,首次通过紧急1-1，获得该关卡铜星勋章。,,0
medal1-1-1-2,1,26,60,60,60,60,20,0,0,0,,完成行动：紧急1-2,首次通过紧急1-2，获得该关卡铜星勋章。,,0
