id,type,sort,item_ids,gem,mp,ammo,mre,part,bp_pay,skin,gift,gemprice,original_price,pointprice,if_cheap,quota,giftbag_name,event_code,icon,daily_quota,tips,discount,sale_starttime,sale_endtime,label,prize_id,pay_type,itemprice,on_sale_days,price_up,classification_id,description,special_daily_quota
1,2,0,0,0,1500,0,0,0,0,0,,180,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
2,2,1,0,0,4500,0,0,0,0,0,,480,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
3,2,2,0,0,0,0,1500,0,0,0,,180,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
4,2,3,0,0,0,0,4500,0,0,0,,480,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
5,2,4,0,0,0,1500,0,0,0,0,,180,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
6,2,5,0,0,0,4500,0,0,0,0,,480,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
7,2,6,0,0,0,0,0,500,0,0,,180,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
8,2,7,0,0,0,0,0,1500,0,0,,480,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5001,,0
9,1,1,1-1,0,0,0,0,0,0,0,,30,0,0,0,1,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
10,1,3,1-1,0,0,0,0,0,0,0,,48,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,30
12,1,5,3-1,0,0,0,0,0,0,0,,50,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
13,1,6,3-10,0,0,0,0,0,0,0,,380,0,0,1,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
14,1,7,4-1,0,0,0,0,0,0,0,,50,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
15,1,8,4-10,0,0,0,0,0,0,0,,380,0,0,1,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
16,1,9,8-1,0,0,0,0,0,0,0,,250,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
17,1,10,8-5,0,0,0,0,0,0,0,,980,0,0,1,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
18,1,2,2-1,0,0,0,0,0,0,0,,15,0,0,0,1,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,0
19,1,11,2-1,0,0,0,0,0,0,0,,24,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,30
22,1,0,7-1,0,0,0,0,0,0,0,,580,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5004,,0
23,1,0,,0,0,0,0,0,3,0,,20,0,0,0,2001,,dailyGiftbag,,10,,1.00,0,0,1,0,0,0,0,10000,5004,,0
24,1,1,41-10,0,0,0,0,0,0,0,,80,0,0,0,0,,0,,0,,1.00,0,0,1,0,0,0,0,0,5004,,0
25,1,1,41-100,0,0,0,0,0,0,0,,600,0,0,0,0,,0,,0,,1.00,0,0,1,0,0,0,0,0,5004,,0
26,1,13,16-1,0,0,0,0,0,0,0,,38,0,0,0,0,,0,,0,,1.00,0,0,0,0,0,0,0,0,5002,,30
