id,name,order,evo_step,appearance_id,item_id,medal_obtain,medal_color,is_date,decorate_code
1,精英狮鹫作战勋章,6,1,1,100,授予在大型限时活动中完成所有战斗挑战的指挥官。//n,#009bff,0,
2,战斗排行勋章,7,"1,50,150,250,350,900","2,3,4,5,6,6",101,授予在战区等大型战斗活动中获得非凡成绩的指挥官。//n,#ff9200,0,
3,收集排行勋章,8,"1,30,90,150,210,540","7,8,9,10,11,11",102,授予在人形收集及家具收集排行榜中获得非凡成绩的指挥官。//n,#009bff,0,
4,挑战者勋章,9,"1,6,18,30,50,120","12,13,14,15,16,16",103,授予在嘉年华等活动中收获非凡成绩的指挥官。//n,#12ff00,2,
5,精英奇妙冒险勋章,10,1,17,104,授予在联动限时活动中完成所有战斗挑战的指挥官。//n,#ffd800,0,
6,铁鹫同归作战勋章,11,"1,5,30,90,150","18,19,20,21,22",105,授予在大型限时活动中，指挥融合势力作战时达成特殊战绩的指挥官。//n,#ff9200,2,
7,拉弗伯雷勋章,12,"1,50,150,300,600,1000","23,24,25,26,27,28",106,授予在拉弗伯雷兵棋竞赛当中脱颖而出的指挥官。//n,#ff0000,2,
8,止风者勋章,4,1,29,107,授予在大型限时活动静风点中完成所有战役挑战的指挥官。//n,#ff0000,2,Logo_Events
9,地狱行者勋章,5,"1,2,3,4,5,6,7,8,9,10,11,12","30,31,32,33,34,35,36,37,38,39,40,41",108,授予在大型限时活动静风点的积分模式取得卓越成绩的指挥官。//n,#ff0000,2,Logo_Events
10,第八战区开拓者勋章,2,1,42,109,授予第八期战区活动中获得耀眼积分成绩的指挥官。//n,#ff0000,2,Logo_Events
11,第八战区征服者勋章,3,"1,2,3,4,5,6,7,8,9,10,11,12","43,44,45,46,47,48,49,50,51,52,53,54",110,授予第八期战区活动最终关卡中获得非凡成绩的指挥官。//n,#ff0000,2,Logo_Events
12,混沌撕裂者勋章,1,"1,2,3,4,5,6,7,8,9,10,11,12","55,56,57,58,59,60,61,62,63,64,65,66",111,授予在积分模式“混沌落幕+”取得卓越战绩的指挥官。//n,#ff0000,2,Logo_Events
