id,pic_code,effect_code,background_code
1,Icon_Medal_QuarterEvent,,Bg_IllustratedBook_MedalDetail_NEW
2,Icon_Medal_Battle_01,,Bg_IllustratedBook_MedalDetail_NEW
3,Icon_Medal_Battle_02,,Bg_IllustratedBook_MedalDetail_NEW
4,Icon_Medal_Battle_03,,Bg_IllustratedBook_MedalDetail_NEW
5,Icon_Medal_Battle_04,,Bg_IllustratedBook_MedalDetail_NEW
6,Icon_Medal_Battle_05,,Bg_IllustratedBook_MedalDetail_NEW
7,Icon_Medal_Collection_01,,Bg_IllustratedBook_MedalDetail_NEW
8,Icon_Medal_Collection_02,,Bg_IllustratedBook_MedalDetail_NEW
9,Icon_Medal_Collection_03,,Bg_IllustratedBook_MedalDetail_NEW
10,Icon_Medal_Collection_04,,Bg_IllustratedBook_MedalDetail_NEW
11,Icon_Medal_Collection_05,,Bg_IllustratedBook_MedalDetail_NEW
12,Icon_Medal_Challenger_01,,Bg_IllustratedBook_MedalDetail_NEW
13,Icon_Medal_Challenger_02,,Bg_IllustratedBook_MedalDetail_NEW
14,Icon_Medal_Challenger_03,,Bg_IllustratedBook_MedalDetail_NEW
15,Icon_Medal_Challenger_04,,Bg_IllustratedBook_MedalDetail_NEW
16,Icon_Medal_Challenger_05,,Bg_IllustratedBook_MedalDetail_NEW
17,Icon_Medal_Collaboration,,Bg_IllustratedBook_MedalDetail_NEW
18,Icon_Medal_SangvisBattle_01,,Bg_IllustratedBook_MedalDetail_NEW
19,Icon_Medal_SangvisBattle_02,,Bg_IllustratedBook_MedalDetail_NEW
20,Icon_Medal_SangvisBattle_03,,Bg_IllustratedBook_MedalDetail_NEW
21,Icon_Medal_SangvisBattle_04,,Bg_IllustratedBook_MedalDetail_NEW
22,Icon_Medal_SangvisBattle_05,,Bg_IllustratedBook_MedalDetail_NEW
23,Icon_Medal_Chess_01,,Bg_IllustratedBook_MedalDetail_NEW
24,Icon_Medal_Chess_02,,Bg_IllustratedBook_MedalDetail_NEW
25,Icon_Medal_Chess_03,,Bg_IllustratedBook_MedalDetail_NEW
26,Icon_Medal_Chess_04,,Bg_IllustratedBook_MedalDetail_NEW
27,Icon_Medal_Chess_05,,Bg_IllustratedBook_MedalDetail_NEW
28,Icon_Medal_Chess_06,,Bg_IllustratedBook_MedalDetail_NEW
29,Icon_Medal_2022winter,,Bg_IllustratedBook_MedalDetail_NEW
30,Icon_Medal_2022winter_rank_0,,Bg_IllustratedBook_MedalDetail_NEW
31,Icon_Medal_2022winter_rank_11,,Bg_IllustratedBook_MedalDetail_NEW
32,Icon_Medal_2022winter_rank_10,,Bg_IllustratedBook_MedalDetail_NEW
33,Icon_Medal_2022winter_rank_9,,Bg_IllustratedBook_MedalDetail_NEW
34,Icon_Medal_2022winter_rank_8,,Bg_IllustratedBook_MedalDetail_NEW
35,Icon_Medal_2022winter_rank_7,,Bg_IllustratedBook_MedalDetail_NEW
36,Icon_Medal_2022winter_rank_6,,Bg_IllustratedBook_MedalDetail_NEW
37,Icon_Medal_2022winter_rank_5,,Bg_IllustratedBook_MedalDetail_NEW
38,Icon_Medal_2022winter_rank_4,,Bg_IllustratedBook_MedalDetail_NEW
39,Icon_Medal_2022winter_rank_3,,Bg_IllustratedBook_MedalDetail_NEW
40,Icon_Medal_2022winter_rank_2,,Bg_IllustratedBook_MedalDetail_NEW
41,Icon_Medal_2022winter_rank_1,,Bg_IllustratedBook_MedalDetail_NEW
42,Icon_Medal_Theater8th,,Bg_IllustratedBook_MedalDetail_NEW
43,Icon_Medal_Theater8th_rank_0,,Bg_IllustratedBook_MedalDetail_NEW
44,Icon_Medal_Theater8th_rank_11,,Bg_IllustratedBook_MedalDetail_NEW
45,Icon_Medal_Theater8th_rank_10,,Bg_IllustratedBook_MedalDetail_NEW
46,Icon_Medal_Theater8th_rank_9,,Bg_IllustratedBook_MedalDetail_NEW
47,Icon_Medal_Theater8th_rank_8,,Bg_IllustratedBook_MedalDetail_NEW
48,Icon_Medal_Theater8th_rank_7,,Bg_IllustratedBook_MedalDetail_NEW
49,Icon_Medal_Theater8th_rank_6,,Bg_IllustratedBook_MedalDetail_NEW
50,Icon_Medal_Theater8th_rank_5,,Bg_IllustratedBook_MedalDetail_NEW
51,Icon_Medal_Theater8th_rank_4,,Bg_IllustratedBook_MedalDetail_NEW
52,Icon_Medal_Theater8th_rank_3,,Bg_IllustratedBook_MedalDetail_NEW
53,Icon_Medal_Theater8th_rank_2,,Bg_IllustratedBook_MedalDetail_NEW
54,Icon_Medal_Theater8th_rank_1,,Bg_IllustratedBook_MedalDetail_NEW
55,Icon_Medal_2019winter_re_rank_0,,Bg_IllustratedBook_MedalDetail_NEW
56,Icon_Medal_2019winter_re_rank_11,,Bg_IllustratedBook_MedalDetail_NEW
57,Icon_Medal_2019winter_re_rank_10,,Bg_IllustratedBook_MedalDetail_NEW
58,Icon_Medal_2019winter_re_rank_9,,Bg_IllustratedBook_MedalDetail_NEW
59,Icon_Medal_2019winter_re_rank_8,,Bg_IllustratedBook_MedalDetail_NEW
60,Icon_Medal_2019winter_re_rank_7,,Bg_IllustratedBook_MedalDetail_NEW
61,Icon_Medal_2019winter_re_rank_6,,Bg_IllustratedBook_MedalDetail_NEW
62,Icon_Medal_2019winter_re_rank_5,,Bg_IllustratedBook_MedalDetail_NEW
63,Icon_Medal_2019winter_re_rank_4,,Bg_IllustratedBook_MedalDetail_NEW
64,Icon_Medal_2019winter_re_rank_3,,Bg_IllustratedBook_MedalDetail_NEW
65,Icon_Medal_2019winter_re_rank_2,,Bg_IllustratedBook_MedalDetail_NEW
66,Icon_Medal_2019winter_re_rank_1,,Bg_IllustratedBook_MedalDetail_NEW
