id,gun_id,stage_id,description,scripts,title,prize_id
1,2,1,,2_1,,4001
2,20002,2,,2_2,,4002
3,20002,3,,2_3,,4003
4,20002,4,,2_4,,4004
5,51,1,,51_1,,4001
6,20051,2,,51_2,,4002
7,20051,3,,51_3,,4003
8,20051,4,,51_4,,4004
9,94,1,,94_1,,4001
10,20094,2,,94_2,,4002
11,20094,3,,94_3,,4003
12,20094,4,,94_4,,4004
13,57,1,,57_1,,4001
14,20057,2,,57_2,,4002
15,20057,3,,57_3,,4003
16,20057,4,,57_4,,4004
17,93,1,,93_1,,4001
18,20093,2,,93_2,,4002
19,20093,3,,93_3,,4003
20,20093,4,,93_4,,4004
21,55,1,,55_1,,4001
22,20055,2,,55_2,,4002
23,20055,3,,55_3,,4003
24,20055,4,,55_4,,4004
25,5,1,,5_1,,4001
26,20005,2,,5_2,,4002
27,20005,3,,5_3,,4003
28,20005,4,,5_4,,4004
29,39,1,,39_1,,4001
30,20039,2,,39_2,,4002
31,20039,3,,39_3,,4003
32,20039,4,,39_4,,4004
33,75,1,,75_1,,4001
34,20075,2,,75_2,,4002
35,20075,3,,75_3,,4003
36,20075,4,,75_4,,4004
37,91,1,,91_1,,4001
38,20091,2,,91_2,,4002
39,20091,3,,91_3,,4003
40,20091,4,,91_4,,4004
41,1,1,,1_1,,4001
42,20001,2,,1_2,,4002
43,20001,3,,1_3,,4003
44,20001,4,,1_4,,4004
45,44,1,,44_1,,4001
46,20044,2,,44_2,,4002
47,20044,3,,44_3,,4003
48,20044,4,,44_4,,4004
49,63,1,,63_1,,4001
50,20063,2,,63_2,,4002
51,20063,3,,63_3,,4003
52,20063,4,,63_4,,4004
53,89,1,,89_1,,4001
54,20089,2,,89_2,,4002
55,20089,3,,89_3,,4003
56,20089,4,,89_4,,4004
57,56,1,,56_1,,4001
58,20056,2,,56_2,,4002
59,20056,3,,56_3,,4003
60,20056,4,,56_4,,4004
61,103,1,,103_1,,4001
62,20103,2,,103_2,,4002
63,20103,3,,103_3,,4003
64,20103,4,,103_4,,4004
65,29,1,,29_1,,4001
66,20029,2,,29_2,,4002
67,20029,3,,29_3,,4003
68,20029,4,,29_4,,4004
69,37,1,,37_1,,4001
70,20037,2,,37_2,,4002
71,20037,3,,37_3,,4003
72,20037,4,,37_4,,4004
73,64,1,,64_1,,4001
74,20064,2,,64_2,,4002
75,20064,3,,64_3,,4003
76,20064,4,,64_4,,4004
77,81,1,,81_1,,4001
78,20081,2,,81_2,,4002
79,20081,3,,81_3,,4003
