id,name,description,code,type,duration_type,duration_time,limit_buff,exp_buff,is_resource_buff,vision_buff,cannot_move,battle_skill_config_id,property_type,property_data_pool,special_spot_config_id,conditions_type,conditions_time,birth_effect,effect_process_star,effect_process_end,effect_process_duration,manual_ui_code,ammo_mre_reduce,free_ap_move,extra_ammo_mre,conflict_type,priority,carry_mission_skill,sangvis_chip_id
1,减耗BUFF,一定回合数消耗为零,buff,1,1,3,0,1,3,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1,0,,
2,战斗buff,增加攻击攻速,buff,1,1,3,0,1,0,0,,100502,0,0,0,0,0,0,0,0,0,,,0,,2,0,,
3,暴击buff,增加暴击爆伤,buff,1,1,3,0,1,0,0,,100502,0,0,0,0,0,0,0,0,0,,,0,,3,0,,
5,防御buff,减少梯队收到伤害,buff,1,1,1,0,1,0,0,,900106,0,0,0,0,0,0,0,0,0,,,0,,5,0,,
6,堡垒buff,增加梯队属性,buff,1,1,1,0,1,0,0,,900113,0,0,0,0,0,0,0,0,0,,,0,,6,0,,
8,增援buff,增援后增加一场战斗提升回避,buff,1,1,1,0,1,0,0,,900116,0,0,0,0,0,0,0,0,0,,,0,,8,0,,
13,经验buff,增加经验获得,buff,1,2,1,0,*0,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,13,0,,
14,掉落buff,增加掉落概率,buff,1,2,1,*0,1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,14,0,,
15,夜战buff,增加视野,buff,1,1,2,0,1,0,*0,,900114,0,0,0,0,0,0,0,0,0,,,0,,15,0,,
1004,花瓣buff,增加梯队属性,buff,1,4,1,0,1,0,0,,900154,0,0,0,0,0,0,0,0,0,,,0,,1004,0,,
1301,经验buff,等级1,buff,1,2,1,0,1.05,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1301,0,,
1302,经验buff,等级2,buff,1,2,1,0,1.08,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1302,0,,
1303,经验buff,等级3,buff,1,2,1,0,1.1,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1303,0,,
1304,经验buff,等级4,buff,1,2,1,0,1.12,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1304,0,,
1305,经验buff,等级5,buff,1,2,1,0,1.14,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1305,0,,
1306,经验buff,等级6,buff,1,2,1,0,1.16,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1306,0,,
1307,经验buff,等级7,buff,1,2,1,0,1.18,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1307,0,,
1308,经验buff,等级8,buff,1,2,1,0,1.2,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1308,0,,
1309,经验buff,等级9,buff,1,2,1,0,1.22,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1309,0,,
1310,经验buff,等级10,buff,1,2,1,0,1.25,0,0,,0,0,0,0,0,0,0,0,0,0,,,0,,1310,0,,
1501,视野buff,等级1,buff,1,1,2,0,1,0,0,,900114,0,0,0,0,0,0,0,0,0,,,0,,1501,0,,
1502,视野buff,等级2,buff,1,1,2,0,1,0,0,,900114,0,0,0,0,0,0,0,0,0,,,0,,1502,0,,
