id,turn_code,turn_color,spot_color,team_code,team_color,team_ai_color,blood_color
1,GKLOGO,#76980047,#96C8FAFF,Friend,#96C8FA96,#96C8FAFF,#6FDDCBFF
2,SFLOGO,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
3,ArmyLOGO,#CBD70047,#FFC33EFF,Army,#FFC33EFF,#FFC33EFF,#FFC33EFF
4,WhatLOGO,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
5,ArmyLogoEnemy,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
6,WhatLogoEnemy,#CBD70047,#FFC33EFF,Army,#FFC33EFF,#FFC33EFF,#FFC33EFF
7,WhatLOGO,#CBD70047,#FFC33EFF,Army,#FFC33EFF,#FFC33EFF,#FFC33EFF
8,SFLOGO,#CBD70047,#FFC33EFF,Enemy,#FFC33EFF,#FFC33EFF,#FFC33EFF
9,cleaners512,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
10,cleaners704,#CBD70047,#FFC33EFF,Enemy,#FFC33EFF,#FFC33EFF,#FFC33EFF
11,lmb512,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
12,lmb704,#CBD70047,#FFC33EFF,Enemy,#FFC33EFF,#FFC33EFF,#FFC33EFF
13,rikers512,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
14,rikers704,#CBD70047,#FFC33EFF,Enemy,#FFC33EFF,#FFC33EFF,#FFC33EFF
15,ArmyGKLOGO,#CBD70047,#FFC33EFF,Army,#FFC33EFF,#FFC33EFF,#FFC33EFF
16,Yurine,#76980047,#96C8FAFF,Friend,#96C8FA96,#96C8FAFF,#6FDDCBFF
17,Makai,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
18,Security_Agency816,#76980047,#96C8FAFF,Friend,#96C8FA96,#96C8FAFF,#6FDDCBFF
19,Security_Agency1031,#BC005547,#FF0000FF,Enemy,#8B12398B,#FF0000FF,#FF0000FF
