id,type,mission_campaign,draw_event_id,start_time,end_time,init_mission_id,function_control_id,open_mission,open_time,mission_event_opentime_white_list
1,2,"-2,-3,-4",,,,10005,,,,
2,2,"-6,-7",,,,10018,,,,
3,2,"-10,-11,-12",,,,10030,,,,
4,2,"-16,-17,-18",,,,10092,,,,
5,2,"-24,-25,-26,-28",,,,10156,,,,
6,2,-31,,,,10194,,,,
7,2,-33,,,,10294,,,,
8,2,-36,,,,10426,,,,
12,2,-10000,,,,10934,,,,
13,2,-10001,,,,10913,,,,
14,2,-10002,,,,10925,,,,
15,2,-10003,,,,10928,,,,
16,2,-10004,,,,11001,,,,
17,2,-10005,,,,10915,,,,
18,1,-37,"400,401,402,403,404",2022-02-22 10:00:00,2022-03-10 10:00:00,10481,,,,
19,1,-51,"400,401,402,403,404",2021-12-16 10:00:00,2022-02-24 10:00:00,11011,,,,
20,1,-50,"400,401,402,403,404",2022-03-07 10:00:00,2022-03-31 10:00:00,11083,,,,
21,2,-41,,,,10528,,,,
22,1,-53,"400,401,402,403,404",2022-06-02 10:00:00,2022-06-23 10:00:00,11116,,,,
23,1,-40,"400,401,402,403,404",2022-06-20 10:00:00,2022-07-07 10:00:00,10504,,,,
