id,reset_missions,reset_draw_events,reset_mission_keys,campaign,difficulty
1,"10051,10052,10053,10054,10055,10056,10057,10058,10059,10060,10061,10062,10063,10064",1,1,-16,0
2,"10065,10066,10067,10068,10069,10070,10071,10072,10073,10074,10075,10076,10077,10078,10079,10080,10081",1,1,-17,0
3,"10082,10083,10084,10085,10086,10087",1,1,-18,0
4,"10106,10107,10108,10109,10110,10111,10112,10113,10114,10115,10116,10117,10118,10145;0",1,1,-24,0
5,"10120,10121,10122,10123,10124,10125,10126,10127,10128,10129,10130,10146,10147,10148,10149,10150;0",1,1,-25,0
6,"10131,10132,10133,10134,10135,10136,10137,10138,10139,10140,10141,10142,10143,10144,10151,10154;0",1,1,-26,0
7,"10194,10195,10196,10197,10198,10199,10200,10201,10202,10203,10204,10205,10206,10207,10208,10209,10210,10211,10212,10213,10214,10215,10216,10217,10218,10219,10220,10221,10222,10223,10224,10225,10226,10227,10228,10229,10230,10231,10232,10233,10234,10235,10236,10237,10238,10239,10240,10241,10242,10243,10244,10245,10246,10247,10248,10249,10250,10251,10252,10253,10254,10255,10256,10257,10258,10259,10260,10261,10262,10263,10264,10265,10266,10267,10268,10269,10270,10271,10272,10273,10274,10275,10276;0",1,1,-31,0
8,"10277,10278,10279,10280,10281,10282,10283,10284,10285,10286,10287,10288,10289,10290,10291,10292,10293,10980,10981,10982,10983,10984,10985,10986,10987",1,1,-32,0
9,"10294,10295,10296,10297,10298,10299,10300,10301,10302,10303,10304,10305,10306,10307,10308,10309,10310,10311,10312,10313,10314,10315,10316,10317,10318,10319,10320,10321,10322,10323,10324,10325,10326,10327,10328,10329,10330,10331,10332,10333,10334,10335,10336,10337,10338,10339,10340,10341,10342,10343,10344,10345,10346,10347,10348,10349,10350,10351,10352,10353,10354,10355,10356,10357,10358,10359,10360,10361,10362,10363,10364,10365,10366,10367,10368,10369,10370,10371,10372,10373,10374,10375,10376,10377,10378,10379,10380",1,1,-33,0
10,"10389,10390,10391,10392,10393,10394,10395,10396,10397,10398,10399,10400,10401,10402,10403,10404,10405,10406,10407,10408,10409,10410,10411,10412,10413,10414,10415,10416,10417,10418,10419,10420,10421,10422,10423,10424,10425,10426,10427,10428,10429,10430,10431,10432,10433,10434,10435,10436,10437,10438,10439,10440,10441,10442,10443,10444,10445,10446,10447,10448,10449,10450,10451,10452,10453,10454,10455,10456,10457,10458,10459,10460,10461,10462,10463,10464,10465,10466,10467,10468,10469,10470,10471,10472,10473,10474",1,1,-36,0
11,"10475,10476,10477,10478,10479,10480,10481,10482,10483",1,1,-37,0
12,"10484,10485,10486,10487,10488,10489,10490,10491,10492,10493,10494,10495,10496,10497,10498,10499,10500,10501,10502,10503,10509",1,1,-38,0
13,"10504,10505,10506,10507",1,1,-40,0
15,10632,,,0,0
