id,name,target_type,type,is_number,life_type,value,hostage_value,is_armor,effect_birth,effect_process_star,effect_process_end,effect_process_duration,defender_value
1,【标记】地雷爆炸伤害,2,1,0,1,*0,1,0,3,0,0,0,0
2,【标记】空骑妖精伤害,2,1,0,1,*0,0,0,3,0,0,4,0
8,【标记】增援妖精负数伤害,1,2,1,2,-100,0,0,0,0,0,0,0
21,【标记】陷阱妖精伤害,2,2,0,1,*0,0,0,0,0,0,0,0
22,【标记】修理妖精负数伤害,2,2,0,2,*0,0,0,0,0,0,0,0
1002,【标记】棱镜妖精伤害,2,1,0,1,*0,0,0,1003,0,0,0,0
482401,【标记】通用伤害(对敌人),2,2,1,2,*0,0,0,1000083,0,0,0,0
483901,【标记】炸弹引爆,2,2,0,1,100,0,0,0,0,0,0,0
483902,【标记】炸弹引爆,0,1,0,2,0,0,0,0,0,0,0,99599
900003,【标记】污染源伤害,2,2,0,2,34,1,0,0,0,0,0,0
900007,【标记】支援小队专用伤害,2,2,0,2,100,0,0,0,0,0,0,0
1000004,【标记】通用伤害(对敌人),2,2,0,1,*0,0,0,0,0,0,0,0
1000005,【标记】通用关门伤害(对我方/人质),2,2,0,1,30,1,0,0,0,0,0,0
1000006,【标记】通用爆破伤害(对我方/人质),2,2,0,1,99,3,0,0,0,0,0,0
1000010,【标记】通用爆破伤害(对设施),0,1,0,2,0,0,0,0,0,0,0,99999
1000028,【标记】污染源伤害(对我方/人质)(秃洞版-回合),2,2,0,1,34,1,0,0,0,0,0,0
1000048,【标记】污染源伤害(对我方/人质)(秃洞版-移动),2,2,0,1,1,0,0,0,0,0,0,0
1000049,【标记】大楼倒塌伤害(对大楼),0,1,0,2,0,0,0,0,0,0,0,99599
1000050,【标记】大楼倒塌伤害(对单位),2,2,0,1,50,1,0,0,0,0,0,0
1000051,【标记】大楼倒塌伤害(对友方),2,2,0,1,90,1,0,0,0,0,0,0
1000052,【标记】大楼倒塌伤害(对敌方),2,2,0,1,100,0,0,0,0,0,0,0
1000055,【标记】【对设施】爆破伤害_半伤,0,1,0,2,0,0,0,0,0,0,0,5000
1000064,【标记】通用爆破伤害(对设施),0,1,0,2,0,0,0,0,0,0,0,99999
6430001,【标记】全境手雷爆炸伤害,2,2,1,1,20,0,0,0,0,0,0,0
6430002,【标记】全境手雷破片伤害,2,1,1,2,3,0,0,0,0,0,0,0
6430003,【标记】全境机枪塔扫射伤害,2,2,1,1,10,0,0,1000030,0,0,0,0
6430004,【标记】全境机枪塔爆炸伤害,2,2,1,1,50,0,0,0,0,0,0,0
6430005,【标记】全境手雷爆炸伤害(困难）,2,2,1,1,8,0,0,0,0,0,0,0
6430006,【标记】全境手雷破片伤害(困难）,2,1,1,2,2,0,0,0,0,0,0,0
6430007,【标记】全境机枪塔扫射伤害(困难）,2,2,1,1,5,0,0,1000030,0,0,0,0
6430008,【标记】全境机枪塔爆炸伤害(困难）,2,2,1,1,30,0,0,0,0,0,0,0
6430009,【标记】一键暴走,2,2,1,2,500,0,0,0,0,0,0,0
6430010,【标记】全境机枪塔爆炸伤害2(困难）,2,2,1,2,5,0,0,0,0,0,0,0
6440001,【标记】炮击伤害,2,2,1,2,51,0,0,0,0,0,0,0
6440002,【标记】孙红雷爆炸伤害,2,2,1,2,101,0,0,0,0,1000052,1000053,0
6440003,【标记】丹德莱被炸死,2,2,1,2,101,0,0,0,0,0,0,0
6440004,【标记】秃洞设施算分,2,2,1,2,0,0,0,0,0,0,0,99999
6480001,【标记】塑胶炸弹爆炸伤害,2,2,1,1,35,0,0,0,0,0,0,99999
6480002,【标记】塑胶炸弹爆炸伤害,2,2,1,1,35,0,0,0,0,0,0,0
6510001,【标记】大炮30%当前伤害,2,2,1,1,30,0,0,0,0,0,0,
6510002,【标记】大炮80%当前伤害,2,2,1,1,80,0,0,0,0,0,0,
6510003,【标记】大炮100%当前伤害,2,2,1,1,100,0,0,0,0,0,0,
6510004,【标记】敌方炮击,2,2,1,1,10,0,0,0,0,0,0,
6510005,【标记】塑胶炸弹爆炸伤害,2,2,1,2,30,0,0,0,0,0,0,99999
8120701,【标记】大楼倒塌伤害(对大楼),0,1,0,2,0,0,0,0,0,0,0,8599
9130610,【标记】ally秒杀,2,1,0,2,999999,1,0,0,0,0,0,0
9334951,【标记】即死伤害(对我方),2,1,1,1,99999,5,0,0,0,0,0,0
9337202,【标记】【对重装】毒圈伤害_半伤,0,1,0,2,50,0,0,0,0,0,0,0
9362003,【标记】剧情歌利亚15%固定伤害,2,2,0,1,30,0,0,0,0,0,0,0
9362015,【标记】剧情BGM20%固定伤害,2,2,0,1,50,0,0,0,0,0,0,0
9362024,【标记】剧情冲水25%固定伤害,2,2,0,1,60,0,0,0,0,0,0,0
