id,name,code,description,lvup_description,skill_group_id,level,train_coin_type,train_coin_number,skill_up_time,spot_type,spot_belong,spot_echelon,cd_time,cd_time_type,consumption,start_range,is_night,data_pool,is_airborne,airborne_mission_buff_config_id,effect_cast,effect_self,effect_target,trigger_id,target_id,special_spot_add,special_spot_minus,mission_buff_add,mission_buff_minus,subsidiary_mission_skill,is_manual,allyteam_summoner,ap_cost,consumption_item,drop_item,fun_game_type,fun_game_name,fun_game_result_sub
101,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,1,0,0,0,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
102,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,2,1,200,7200,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
103,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,3,1,400,21600,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
104,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,4,1,600,36000,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
105,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,5,2,240,50400,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
106,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,6,2,400,72000,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
107,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,7,2,600,93600,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
108,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,8,2,800,115200,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
109,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,9,3,400,144000,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
110,surprise_mother_fuck,No_consumption,surprise_mother_fuck,surprise_mother_fuck,1,10,3,600,172800,-1,-1,-1,1,0,20,0,0,1,0,0,0,0,0,,,1:1,,,,,0,,0,,,0,,
