id,target_type,name,target_des,code,rank,rank_type,rank_inorder,hit_rank,hit_rank_type,hit_rank_inorder,difficult_level_limit,difficult_level,recommend_level,target_id,battle_timelimit,hp_is_re,is_time_limit,start_time,end_time,cost_type,cost_item,mp,ammo,mre,part,is_reward,prize_reward
170101,1,定制标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_01,0,0,0,0,0,0,5,1,20,101,300,1,0,,,0,,0,0,0,0,0,
170102,1,定制标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_01,0,0,0,0,0,0,5,2,40,102,300,1,0,,,0,,0,0,0,0,0,
170103,1,定制标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_01,0,0,0,0,0,0,5,3,60,103,300,1,0,,,0,,0,0,0,0,0,
170104,1,定制标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_01,0,0,0,0,0,0,5,4,80,104,300,1,0,,,0,,0,0,0,0,0,
170105,1,定制标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_01,0,0,0,0,0,0,5,5,100,105,300,1,0,,,0,,0,0,0,0,0,
170201,2,演习标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_02,0,0,0,0,0,0,5,1,20,"20101,20102,20103,20104,20105,20106,20107,20108,20109",300,0,0,,,0,,0,0,0,0,0,
170202,2,演习标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_02,0,0,0,0,0,0,5,2,40,"20201,20202,20203,20204,20205,20206,20207,20208,20209",300,0,0,,,0,,0,0,0,0,0,
170203,2,演习标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_02,0,0,0,0,0,0,5,3,60,"20301,20302,20303,20304,20305,20306,20307,20308,20309",300,0,0,,,0,,0,0,0,0,0,
170204,2,演习标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_02,0,0,0,0,0,0,5,4,80,"20401,20402,20403,20404,20405,20406,20407,20408,20409",300,0,0,,,0,,0,0,0,0,0,
170205,2,演习标靶,【为了让各位指挥官对战斗有更深刻的理解，格里芬研发了模拟标靶系统。\n 您可以在系统中配置有针对性的假想敌，并配置自己的梯队参与模拟作 战。】,mission_targettrain_02,0,0,0,0,0,0,5,5,100,"20501,20502,20503,20504,20505,20506,20507,20508,20509",300,0,0,,,0,,0,0,0,0,0,
