id,name,des,power,recommend_power,enemy_team_id,log_fitter_id,log_fitter_name,code,fight_type,type_coef,fight_environment_group
101,定制标靶,定制标靶,3000,3000,950046,0,定制标靶,Targettrain_SingleTarget,0,,
102,定制标靶,定制标靶,3000,3000,950047,0,定制标靶,Targettrain_SingleTarget,0,,
103,定制标靶,定制标靶,3000,3000,950048,0,定制标靶,Targettrain_SingleTarget,0,,
104,定制标靶,定制标靶,3000,3000,950049,0,定制标靶,Targettrain_SingleTarget,0,,
105,定制标靶,定制标靶,3000,3000,950050,0,定制标靶,Targettrain_SingleTarget,0,,
301,末日魔犬,特殊标靶-末日魔犬，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,126250,126250,2371,0,末日魔犬,Targettrain_SingleTarget,0,,
401,叶戈尔,特殊标靶-叶戈尔，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,143733,143733,9130301,0,叶戈尔,Targettrain_SingleTarget,0,,
501,失格异构体,特殊标靶-失格异构体，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,154709,154709,337257,0,失格异构体,Targettrain_SingleTarget,0,,
601,M16A1!,特殊标靶-M16A1！，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,169976,169976,317907,0,M16A1!,Targettrain_SingleTarget,0,,
701,断后中队,特殊标靶-断后中队，标靶开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,175920,175920,1770,0,断后中队,Targettrain_SingleTarget,0,,
801,01：乱数雷霆,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,73800,73800,9411205,0,01：乱数雷霆,Targettrain_SingleTarget,0,,
901,02：乱数蝎甲,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,91475,91475,9410318,0,02：乱数蝎甲,Targettrain_SingleTarget,0,,
1001,03：乱数毁灭,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,100248,100248,9411206,0,03：乱数毁灭,Targettrain_SingleTarget,0,,
1101,04：乱数切割,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,80829,80829,9411407,0,04：乱数切割,Targettrain_SingleTarget,0,,
1201,05：乱数磐钢,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,248736,248736,9411408,0,05：乱数磐钢,Targettrain_SingleTarget,0,,
1301,06：乱数吞噬,【靶机专训】通过【双联乱数】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,407438,407438,9411422,0,06：乱数吞噬,Targettrain_SingleTarget,0,,
1501,卡尔卡诺,【靶机专训】通过【梦间剧】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,407438,407438,381901,0,卡尔卡诺,Targettrain_SingleTarget,0,,
1601,01：燃烧狂兽,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,40866,40866,336405,0,01：燃烧狂兽,Targettrain_SingleTarget,0,,
1701,02：不倒铁律,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,70480,70480,390149,0,02：不倒铁律,Targettrain_SingleTarget,0,,
1801,03：蜂鸟旋涡,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,88645,88645,9411418,0,03：蜂鸟旋涡,Targettrain_SingleTarget,0,,
1901,04：庞然战车,【靶机专训】通过【战区】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,55346,55346,9130113,0,04：庞然战车,Targettrain_SingleTarget,0,,
2001,01：歧路信标,【靶机专训】通过【异构体】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,169976,169976,317907,0,01：歧路信标,Targettrain_SingleTarget,0,,
2101,02：暴雨歌者,【靶机专训】通过【异构体】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,172301,172301,317993,0,02：暴雨歌者,Targettrain_SingleTarget,0,,
2201,03：异构枪弹,【靶机专训】通过【异构体】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,244970,244970,317994,0,03：异构枪弹,Targettrain_SingleTarget,0,,
2301,异构体,强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,409215,409215,337399,0,异构体,Targettrain_SingleTarget,0,,
2401,01：悖论·乱涌,【靶机专训】通过【镜像论】中获得的讯息，模拟了其中较为强大单位，便于指挥官们做好完全的准备。开放期间会记录大家的挑战时间和对应的挑战数据，便于指挥官互相学习。,124783,124783,6441807,0,01：悖论·乱涌,Targettrain_SingleTarget,0,,
