id,win_step,lose_step,next_id,lock_id,related_missionkey
419919,3,,win0,,
419920,419920,,419921|419922,419919,
419921,419921,,win0,,
419922,1,,win1,,
490401,490401,,490402,490401,
490402,490402,,win0,,
490403,490403,,win0,,
490404,490404,,win0,,
1051290,1051290,,1051291,1051290,
1051291,1051291,,win0,,
1051430,1051430,,1051431,1051430,
1051431,1051431,,win0,,
1058101,420201,,1058102,1058101,
1058102,1,,win0,,
1058401,420501,,1058402,1058401,
1058402,1,,win0,,
1060801,1060800,,1060803|1060805,1060801,
1060802,1060810,,win0,,
1060803,"1060801,1060804",,1060804,"1060803,1060805",
1060804,"1060802,1060805",,win0,1060805,
1060805,1060803,,win0,,
1060901,1060900,,1060902,1060901,
1060902,"1060901,1060902",,1060903,1060902,
1060903,"1060904,1060905,1060903",,win0,,
1060904,"1060906,1060910",,win0,,
1060905,1060908,,1060906,1060905,
1060906,"1060901,1060909",,1060907,1060906,
1060907,"1060905,1060903",,win0,,
1060908,1060907,,win0,,
1061001,1061000,,1061002,1061001,
1061002,"1061001,1061002",,win0,,
1061101,1061100,,1061102|1061103,1061101,
1061102,"1061101,1061102",,win0,,
1061103,"1061104,1061103",,win0,,
1061201,"1061200,1061201,1061202",,win0,,
1063401,1063401,,1063402,1063401,
1063402,1063402,,win0,,
1063701,1063701,,1063704,"1063701,1063702",
1063702,1063702,,1063705,"1063701,1063702",
1063703,1063703,,win0,,
1063704,1063702,,1063703,"1063704,1063706",
1063705,1063701,,1063703,"1063705,1063706",
1063706,1063704,,win0,,
1064401,1064401,,1064402,1064401,
1064402,"1064402,1064403",,win0,,
1064501,1064501,,1064502,1064501,
1064502,1064502,,win0,,
1064601,1064601,,1064602,1064601,
1064602,1064602,,win0,,
1064801,1064801,,1064802,1064801,
1064802,"1064802,1064803",,win0,,
1065701,"1065701,449999",,1065702,1065701,
1065702,"1065702,449999",,win0,,
1065703,"1065703,449999",,win1,,
1066001,"1066001,449999",,1066002,1066001,
1066002,"1066002,1066003,449999",,win0,,
1066101,"1066101,449999",,1066102,1066101,
1066102,"1066102,449999",,win0,,
1066201,1066201,,1066202,1066201,
1066202,1066202,,win0,,
1066401,1066401,,1066402,1066401,
1066402,"1066402,1066403,1066404",,win0,,
1067001,1067000,,1067002,1067001,
1067002,1067001,,win0,,
1067101,1067100,,1067102|1067103,1067101,
1067102,1067101,,win0,,
1067103,1067102,,win0,,
1076901,1076901,,1076902,1076901,
1076902,1076902,,win0,,
1077201,1077201,,1077202,1077201,
1077202,1077202,,win0,,
1077401,1077401,,1077402,1077401,
1077402,1077402,,win0,,
1077701,1077201,,1077702,1077701,
1077702,1077702,,win0,,
1080601,1080601,,1080602,1080601,
1080602,1080602,1080691,win0,,
1081901,1081901,1081905,1081902,1081901,
1081902,"1081902,1081903,1081904",,win0,,
1082101,"1082101,1082102",,1082102,1082101,
1082102,1082103,,win0,,
1082401,1082401,1082404,1082402,1082401,
1082402,1082402,,1082403,1082402,
1082403,1082403,,win0,,
1082801,1082801,,1082802,1082801,
1082802,1082802,1082891,win0,,
1083801,1081901,1081905,1083802,1083801,
1083802,"1081902,1081906,1083803,1083804,1083807",,win0,,
1084001,"1084001,1082102",,1082102,1084001,
1098701,1098701,,1098702,1098701,
1098702,1098702,,win0,,
1102301,1102301,,1102302,1102301,
1102302,"1102302,1102303",1102391,win0,,
1102401,1102401,1102491,1102402,1102401,
1102402,"1102402,1102403",1102491,win0,,
1102501,1102501,1102591,1102502,1102501,
1102502,1102502,1102591,win0,,
1102601,1102601,1102691,1102602,1102601,
1102602,1102602,1102691,win0,,
1103401,1103401,,1103402,1103401,
1103402,"1103402,1103403",1103491,win0,,
1103501,1103501,1103591,1103502,1103501,
1103502,"1103502,1103503",1103591,win0,,
1103601,1103601,1103691,1103602,1103601,
1103602,1103602,1103691,win0,,
1104401,1104401,,1104402,1104401,
1104402,"1104402,1104403",1104491,win0,,
1104501,1104501,1104591,1104502,1104501,
1104502,"1104502,1104503",1104591,win0,,
1104601,1104601,1104691,1104602,1104601,
1104602,1104602,1104691,win0,,
1108401,1108401,,1108402,1108401,
1108402,1108402,,1108403,1108402,
1108403,1108403,,1108404,1108403,
1108404,1108404,,1108405,1108404,
1108405,1108405,,1108406,1108405,
1108406,1108406,,1108407,1108406,
1108407,1108407,,win0,,
1108501,"1108501,1108502,1108503,1108504",1108302,1108502,1108501,
1108502,3,1108302,win0,,
6000003,6000003,,6000004,6000003,
6000004,6000004,,win0,,
6430101,6430101,,6430102,6430101,
6430102,6430102,,win0,,
