id,type,arguments,extra_language,is_hidden,is_show_count
1,1102,1,,0,1
2,1106,9999,,0,1
3,1305,0,,0,1
4,1102,3,,0,1
5,1310,0,,0,1
6,1404,1,,0,1
7,2302,0,不发生战斗,0,1
8,2403,0,不撤退梯队,0,1
9,1405,1,,0,1
1030,1303,7:1,,0,1
1040,1101,111,,0,1
1060,1303,27:1,,0,1
1110,1303,30:1,,0,1
1140,1303,49:1,,0,1
2010,1101,"204,347",,0,1
2030,1106,10,,0,1
2040,1303,71:1,,0,1
2060,1303,82:1,,0,1
2110,1404,2,,0,1
2120,1404,2,,0,1
2140,1404,3,,0,1
2141,1303,115:1,,0,1
3030,1303,124:1,,0,1
3040,1402,4,,0,1
3050,1101,"406,413",,0,1
3060,1303,139:1,,0,1
3061,1303,144:1,,0,1
3120,1405,2,,0,1
3130,1405,2,,0,1
3131,1303,154:1,,0,1
4010,1309,"9040101,505",引导友方梯队移动至指定机场（回合结束时结算）,0,1
4040,1303,175:1,,0,1
4060,1303,192:1,,0,1
4110,1303,194:3,,0,1
4120,1309,"9040801,639",引导M4A1移动至敌方指挥部（回合结束时结算）,0,1
4140,1303,218:1,,0,1
5010,1103,3:4,,0,1
5020,1402,4,,0,1
5021,1103,3:3,,0,1
5030,1103,3:3,,0,1
5040,1404,3,,0,1
5060,1303,377:1,,0,1
5110,1404,2,,0,1
5111,1401,6,,0,1
6020,1309,"9060201,1537",引导AR小队移动至敌方指挥部（回合结束时结算）,0,1
6060,1303,641:1,,0,1
6061,1303,640:2,,0,1
6120,1309,"9060801,1682",引导MODSOPII移动至指定机场（回合结束时结算）,0,1
6140,1101,1739,,0,1
6141,1303,664:5,,0,1
7010,1303,754:1,,0,1
7030,1303,765:1,,0,1
7040,1401,2,,0,1
7050,1401,4,,0,1
7051,1303,777:1,,0,1
7060,1303,784:1,,0,1
7061,1301,6,,0,1
7062,1402,7,,0,1
7110,1309,"9070701,2153",引导M16A1移动至敌方指挥部（回合结束时结算）,0,1
7120,1309,"9070801,1996",引导M16A1移动至敌方指挥部（回合结束时结算）,0,1
7140,1309,"9071001,2016",引导调色板小队移动至我方指挥部,0,1
10220,1101,80546,,0,1
10221,1301,3,,0,1
10230,1101,80575,,0,1
10240,1303,2863:1,,0,1
10241,1301,12,,0,1
260900,1404,2,,0,1
260901,1405,1,,0,1
330800,1303,330804:3,,0,1
331000,1101,"80053,80054,80058,80059",,0,1
331010,1401,4,,0,1
331200,2302,2,,0,1
331210,1303,"331201:1,331202:1",,0,1
331400,1106,6,,0,1
331401,1207,"331402:2,331403:2",,0,1
331410,1402,5,,0,1
331411,1303,331401:1|331402:1,,0,1
331600,1404,1,,0,1
331601,1401,4,,0,1
331900,1301,5,,0,1
331901,1207,"331905:2,331906:2",,0,1
332100,1209,1:1:14,,0,1
332101,1101,80144,,0,1
332400,1303,332401:1,与M4A1接触（特殊战斗），在不击杀M4A1的情况下帮助她恢复心智,0,1
332410,1404,1,,0,1
332800,1303,332805:5,,0,1
333200,1404,1,,0,1
333210,1303,333201:4,,0,1
333211,1208,"333203:2,333204:2,333205:2",开启所有防御门,0,1
333400,1303,333401:1,,0,1
333600,2302,0,不发生战斗,0,1
333800,1404,1,,0,1
334100,1405,3,,0,1
334600,1306,"334601:1,334602:1,334603:1",,0,1
334700,1309,"334710,80455",协助M4A1移动至我方指挥部（回合结束时结算）,0,1
334701,1404,2,,0,1
335000,1101,13107,,0,1
335010,1303,"335003:1,335004:1",,0,1
335100,1101,13117,,0,1
335110,1305,999,,0,1
335200,1301,5,,0,1
335210,1101,13144,,0,1
