id,name,code,title,ai,is_adjutant,unlock_text,mission_id,item_id,skin_code,voice_code
-12,玛荷洛,NPC_Maid,玛荷洛,9999,1,通关紧急11-4解锁,114,0,,
-11,K,NPC_Jason,K,9999,1,通关紧急11-4解锁,114,0,,
-10,安洁,NPC_Ange,安洁,9999,1,通关普通10-1解锁,95,0,,
-9,哈维尔,NPC_Havel,哈维尔,9999,1,通关普通9-2解锁,86,0,,
-8,希尔,NPC_Seele,希尔,9999,1,通关 深层映射-认知迷云I 解锁,10030,0,,
-7,德尔,NPC_Deele,德尔,9999,1,通关 深层映射-认知迷云I 解锁,10030,0,,
-6,克鲁格,NPC_Kryuger,克鲁格,9999,1,通关普通5-2解锁,46,0,,
-5,帕斯卡,NPC_Persica,帕斯卡,9999,1,通关普通2-4解锁,18,0,,
-4,赫利安,NPC_Helianthus,赫利安,9999,1,通关普通1-2解锁,6,0,,
-3,TGS,NPC_TGS0201,TGS,9999,0,,0,0,,
-2,T77,T77,T77,9999,0,,0,0,,T77
-1,格琳娜,NPC_Kalina,后勤官,9999,1,,0,0,,
