id,campaign,name,description,duration,mp,ammo,mre,part,item_pool,team_leader_min_level,gun_min,guntype1_min,guntype2_min,guntype3_min,guntype4_min,guntype5_min,guntype6_min,guntype7_min
1,0,应援训练,"战斗梯队正在休整,支援梯队将负责维持该地区秩序。",3000,0,145,145,0,"3,4,0",40,4,0,0,1,0,0,0,0
2,0,梯队集训,区域遭遇攻击！支援梯队需要辅助战斗梯队快速反应。,10800,550,0,0,350,"1,0",45,5,0,3,0,0,0,0,0
3,0,特种支援,"由于该区域无法从后方获得补给,支援梯队需要在当地搜寻补给。",43200,900,900,900,250,"2,4",45,5,2,0,2,0,0,0,0
4,0,联合演习,"战斗梯队无法抵御大量敌人,支援梯队不得不将补给留给战斗梯队后迅速撤离。",86400,0,1200,800,750,41,50,5,0,0,0,1,1,0,0
5,1,热身运动,"战术少女已登入部队,在参加战斗之前她们需要接受完善的训练。",900,10,30,15,0,0,1,2,1,0,0,0,0,0,0
6,1,巡逻戒严,"战术少女开始最基础的战术训练,这将有助于增加她们在战场中的存活率。",1800,0,40,60,0,0,3,2,1,1,0,0,0,0,0
7,1,伤员搬运,"战术少女开始进行射击和搏击训练,在完成以上训练后她们可以进入实战了。",3600,30,0,30,10,"4,0",5,3,0,2,0,0,0,0,0
8,1,全境搜查,"指挥部会对战术少女进行能力考核评估,并对表现优异者给予奖励。",7200,160,160,0,0,"1,0",6,5,1,0,0,1,0,0,0
9,2,前线侦查,战术少女组成的支援梯队将进行第一次简单但必要的后勤任务。,2400,100,0,0,30,0,5,3,2,0,0,0,0,0,0
10,2,后方运输,"支援梯队具备了应对复杂情况的能力,她们可以独立执行任务了。",5400,60,200,80,0,"4,0",8,4,2,1,0,0,0,0,0
11,2,工厂快递,"IOP公司愿意提供额外补给,支援梯队将负责运送和保护补给品安全到达指挥部。",14400,10,10,10,230,"3,4",10,5,0,2,0,1,0,0,0
12,2,采集数据,支援梯队遭遇了伏击！她们需要击退小股入侵者以完成运送任务。,21600,0,250,600,60,"1,0",15,5,2,0,0,1,0,0,0
13,3,强化工事,描述13,1200,50,0,75,0,0,12,4,3,0,0,0,0,0,0
14,3,截获密报,描述14,2700,0,120,70,30,0,20,5,0,1,0,1,0,0,0
15,3,交通管制,描述15,5400,0,300,0,0,"3,4,0",15,4,0,0,1,1,0,0,0
16,3,封锁密道,描述16,18000,0,0,300,300,"1,2,0",25,5,0,0,0,3,0,0,0
17,4,视野支援,描述17,3600,0,185,185,0,"2,0",30,4,0,2,0,0,0,0,0
18,4,切断补给,描述18,7200,0,0,0,210,"3,0",35,5,4,0,0,0,0,0,0
19,4,窃取地图,描述19,21600,800,550,0,0,"1,4",40,5,1,0,0,3,0,0,0
20,4,坐标定位,描述20,28800,400,400,400,150,3,40,5,0,1,2,0,0,0,0
21,5,例行检阅,描述21,1800,0,0,100,45,0,30,4,0,0,0,0,0,0,0
22,5,现场救援,描述22,9000,0,600,300,0,"4,0",35,5,0,0,0,0,0,0,0
23,5,路线追踪,描述23,14400,800,400,400,0,"2,0",40,5,0,0,0,0,0,0,0
24,5,维稳工作,描述24,25200,100,0,0,700,"1,0",40,5,0,0,0,0,0,0,0
25,6,协助救援,描述25,7200,300,300,0,100,0,35,5,0,0,0,0,0,0,0
26,6,远程侦查,描述26,10800,0,200,550,100,"3,4",40,5,0,0,0,0,0,0,0
27,6,提取科技,描述27,18000,0,0,200,500,"2,0",45,5,0,0,0,0,0,0,0
28,6,战场搜索,描述28,43200,800,800,800,0,"41,0",45,5,0,0,0,0,0,0,0
29,7,监视据点,描述29,9000,650,0,650,0,0,40,5,0,0,0,0,0,0,0
30,7,接应队友,描述30,14400,0,650,0,300,"1,4",45,5,0,0,0,0,0,0,0
31,7,清理道路,描述31,19800,900,600,600,0,"2,0",50,5,0,0,0,0,0,0,0
32,7,追踪傀儡,描述32,28800,250,250,250,600,"3,0",50,5,0,0,0,0,0,0,0
33,8,筹集资料,描述33,3600,150,150,150,0,"2,0",45,5,0,0,0,0,0,0,0
34,8,解析碎片,描述34,10800,0,0,0,450,"4,0",50,5,0,0,0,0,0,0,0
35,8,勘探现场,描述35,21600,400,800,800,0,"3,4",55,5,0,0,0,0,0,0,0
36,8,修订路线,描述36,32400,1500,400,400,100,"1,0",60,5,0,0,0,0,0,0,0
37,9,清理哨站,描述37,1800,0,0,100,50,0,55,5,0,0,0,0,0,0,0
38,9,探测信号,描述38,5400,180,0,180,100,"3,0",60,5,0,0,0,0,0,0,0
39,9,快速营救,描述39,16200,750,750,0,0,"1,0",65,5,0,0,0,0,0,0,0
40,9,紧急压制,描述40,25200,500,900,900,0,2,70,5,0,0,0,0,0,0,0
41,10,协助验证,描述37,2400,140,200,0,0,0,65,5,0,0,0,0,0,0,0
42,10,前线支援,描述38,6000,0,240,180,0,"1,3",70,5,0,0,0,0,0,0,0
43,10,腹地侦察,描述39,19200,0,480,480,300,"3,4",75,5,0,0,0,0,0,0,0
44,10,夺取通讯,描述40,36000,660,660,660,330,"2,0",75,5,0,0,0,0,0,0,0
45,11,人员输送,描述37,14400,350,1050,0,0,"1,2",70,5,0,0,0,0,0,0,0
46,11,破解监视,描述38,14400,360,540,540,0,1,75,5,0,0,0,0,0,0,0
47,11,外观伪装,描述39,28800,0,750,1500,250,"4,0",80,5,0,0,0,0,0,0,0
48,11,突击支援,描述40,36000,0,1650,0,900,3,80,5,0,0,0,0,0,0,0
49,12,维护装备,描述37,3600,0,220,220,0,"2,0",80,5,0,0,0,0,0,0,0
50,12,传输谍报,描述38,5400,360,0,0,120,0,80,5,0,0,0,0,0,0,0
51,12,干预敌兵,描述39,32400,800,1200,1200,0,3,85,5,0,0,0,0,0,0,0
52,12,建立基站,描述40,43200,1800,0,1800,0,1,90,5,0,0,0,0,0,0,0
53,13,紧急救护,描述37,10800,0,0,1200,0,3,85,5,0,0,0,0,0,0,0
54,13,破袭交通,描述38,21600,800,800,800,300,0,85,5,0,0,0,0,0,0,0
55,13,回收军备,描述39,86400,0,4000,0,1200,2,90,5,0,0,0,0,0,0,0
56,13,解构残骸,描述40,21600,0,0,0,1000,1,95,5,0,0,0,0,0,0,0
