id,name,user_exp,mp,ammo,mre,part,core,gem,gem_pay,gun_id,sangvis,item_ids,furniture,gift,equip_ids,coins,skin,content,send_limit,icon,bp_pay,fairy_ids,chip,commander_uniform
1,采购币*10,0,0,0,0,0,0,0,0,0,,41-10,,,,"1-100,2-3,3-50",0,,0,,0,,,
2,采购币*20,0,0,0,0,0,0,0,0,0,,41-20,,,,,0,,0,,0,,,
3,采购币*30,0,0,0,0,0,0,0,0,0,,41-30,,,,,0,,0,,0,,,
4,采购币*40,0,0,0,0,0,0,0,0,0,,41-40,,,,,0,,0,,0,,,
5,采购币*50,0,0,0,0,0,0,0,0,0,,41-50,,,,,0,,0,,0,,,
6,采购币*60,0,0,0,0,0,0,0,0,0,,41-60,,,,,0,,0,,0,,,
7,采购币*70,0,0,0,0,0,0,0,0,0,,41-70,,,,,0,,0,,0,,,
8,采购币*80,0,0,0,0,0,0,0,0,0,,41-80,,,,,0,,0,,0,,,
9,采购币*90,0,0,0,0,0,0,0,0,0,,41-90,,,,,0,,0,,0,,,
10,采购币*100,0,0,0,0,0,0,0,0,0,,41-100,,,,,0,,0,,0,,,
11,人形制造契约,0,0,0,0,0,0,0,0,0,,1-2,,,,,0,,0,,0,,,
12,快速训练契约,0,0,0,0,0,0,0,0,0,,8-2,,,,,0,,0,,0,,,
13,4项资源500,0,500,500,500,500,0,0,0,0,,,,,,,0,,0,,0,,,
14,红包掉落,0,0,0,0,0,0,0,0,0,,100001-1,,,,,0,,0,,0,,,
15,采购币*5,0,0,0,0,0,0,0,0,0,,41-5,,,,,0,,0,,0,,,
16,采购币*8,0,0,0,0,0,0,0,0,0,,41-8,,,,,0,,0,,0,,,
17,人力*100,0,100,0,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形行动投入的能源,0,,0,,,
18,人力*200,0,200,0,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形行动投入的能源,0,,0,,,
19,人力*300,0,300,0,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形行动投入的能源,0,,0,,,
20,弹药*100,0,0,100,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形作战提供的弹药。,0,,0,,,
21,弹药*200,0,0,200,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形作战提供的弹药。,0,,0,,,
22,弹药*300,0,0,300,0,0,0,0,0,0,,,,,,,0,基础资源之一//c为人形作战提供的弹药。,0,,0,,,
23,口粮*100,0,0,0,100,0,0,0,0,0,,,,,,,0,基础资源之一//c维持人形生存的补给。,0,,0,,,
24,口粮*200,0,0,0,200,0,0,0,0,0,,,,,,,0,基础资源之一//c维持人形生存的补给。,0,,0,,,
25,口粮*300,0,0,0,300,0,0,0,0,0,,,,,,,0,基础资源之一//c维持人形生存的补给。,0,,0,,,
26,零件*100,0,0,0,0,100,0,0,0,0,,,,,,,0,基础资源之一//c组装人形所需的部件。,0,,0,,,
27,零件*200,0,0,0,0,200,0,0,0,0,,,,,,,0,基础资源之一//c组装人形所需的部件。,0,,0,,,
28,零件*300,0,0,0,0,300,0,0,0,0,,,,,,,0,基础资源之一//c组装人形所需的部件。,0,,0,,,
29,钻石*10,0,0,0,0,0,0,10,0,0,,,,,,,0,混乱时代新确立的一般等价物，“在很多情况下，它比钱更有用。”,0,,0,,,
30,钻石*15,0,0,0,0,0,0,15,0,0,,,,,,,0,混乱时代新确立的一般等价物，“在很多情况下，它比钱更有用。”,0,,0,,,
31,钻石*20,0,0,0,0,0,0,20,0,0,,,,,,,0,混乱时代新确立的一般等价物，“在很多情况下，它比钱更有用。”,0,,0,,,
32,增幅胶囊*2,0,0,0,0,0,0,0,0,0,,9-2,,,,,0,,0,,0,,,
33,增幅胶囊*3,0,0,0,0,0,0,0,0,0,,9-3,,,,,0,,0,,0,,,
34,增幅胶囊*5,0,0,0,0,0,0,0,0,0,,9-5,,,,,0,,0,,0,,,
35,替代核心*1,0,0,0,0,0,1,0,0,0,,,,,,,0,可作用于自律傀儡的驱动模块，经原主人的许可才能卸下。,0,,0,,,
36,替代核心*2,0,0,0,0,0,2,0,0,0,,,,,,,0,可作用于自律傀儡的驱动模块，经原主人的许可才能卸下。,0,,0,,,
37,替代核心*3,0,0,0,0,0,3,0,0,0,,,,,,,0,可作用于自律傀儡的驱动模块，经原主人的许可才能卸下。,0,,0,,,
38,人形制造契约*1,0,0,0,0,0,0,0,0,0,,1-1,,,,,0,,0,,0,,,
39,装备制造契约*1,0,0,0,0,0,0,0,0,0,,2-1,,,,,0,,0,,0,,,
40,快速制造契约*1,0,0,0,0,0,0,0,0,0,,3-1,,,,,0,,0,,0,,,
41,快速修复契约*1,0,0,0,0,0,0,0,0,0,,4-1,,,,,0,,0,,0,,,
42,快速训练契约*1,0,0,0,0,0,0,0,0,0,,8-1,,,,,0,,0,,0,,,
43,初级训练资料*25,0,0,0,0,0,0,0,0,0,,,,,,1-25,0,,0,,0,,,
44,初级训练资料*30,0,0,0,0,0,0,0,0,0,,,,,,1-30,0,,0,,0,,,
45,初级训练资料*35,0,0,0,0,0,0,0,0,0,,,,,,1-35,0,,0,,0,,,
46,中级训练资料*25,0,0,0,0,0,0,0,0,0,,,,,,2-25,0,,0,,0,,,
47,中级训练资料*30,0,0,0,0,0,0,0,0,0,,,,,,2-30,0,,0,,0,,,
48,中级训练资料*35,0,0,0,0,0,0,0,0,0,,,,,,2-35,0,,0,,0,,,
49,高级训练资料*25,0,0,0,0,0,0,0,0,0,,,,,,3-25,0,,0,,0,,,
50,高级训练资料*30,0,0,0,0,0,0,0,0,0,,,,,,3-30,0,,0,,0,,,
51,高级训练资料*35,0,0,0,0,0,0,0,0,0,,,,,,3-35,0,,0,,0,,,
52,M4A1,0,0,0,0,0,0,0,0,0,,,1901,,,,0,只要我们能在一起，一起胜利，或者一起倒下……对我而言，那一定是最好的结局。,0,,0,,,
53,HK416,0,0,0,0,0,0,0,0,0,,,1905,,,,0,那就跪下来道歉吧……这一刻我等太久了。,0,,0,,,
54,M16A1,0,0,0,0,0,0,0,0,0,,,1902,,,,0,感情本身就是缺陷……别指望他们会同情我们，尤其是现在。,0,,0,,,
55,UMP9,0,0,0,0,0,0,0,0,0,,,1906,,,,0,哈哈，有什么区别嘛，我们现在的日子不也挺好的？,0,,0,,,
