id,name,type,sub_type,refresh,title,top_rewards,percentage_rewards,out_rewards,visable_rank,visable_count,score_rewards,ranking_onlist_number,every_table_num,rank_list_num,begin_refresh_time,end_refresh_time,begin_show_time,end_show_time,mission_rank_type,sub_mission_group,event_rank_id,prize_preview
1,狩猎排行,1,0,month:1:0,每日4点刷新,,,,100,100,,20000,20000,0,,,,,0,,0,
2,资料采样低级排行,2,1,week:7:0,每日4点刷新,,,,100,100,,20000,20000,0,,,,,0,,0,
3,资料采样中级排行,2,2,week:7:0,每日4点刷新,,,,100,100,,20000,20000,0,,,,,0,,0,
4,资料采样高级排行,2,3,week:7:0,每日4点刷新,,,,100,100,,20000,20000,0,,,,,0,,0,
5,防御演习排行,3,0,week:7:0,每日4点刷新,,,,100,100,,20000,20000,0,,,,,0,,0,
6,人型收集排行,4,0,month:1:0,每日4点刷新,,,,100,100,,20000,20000,0,,,,,0,,0,
7,家具收集排行,5,0,month:1:0,每日4点刷新,,,,100,100,,20000,20000,0,,,,,0,,0,
8,活动积分排行,6,11116,end:2022-07-06 23:59:59,<混沌落寞+>积分榜（6月30日发放奖励）,"1:40458,2:40459,3:40460,4:40461,5:40462,6:40463,7:40464,8:40465,9:40466,10:40467,100:40468",,,100,100,"350000:40469,600000:40470,800000:40471,900000:40472,1100000:40473",80000,30000,1,2022-06-04,2022-07-07,2022-06-04 00:00:00,2022-07-07 10:00:00,0,,6,http://gfcn-transit.gw.sunborngame.com/listAward.html
101,战区活动积分每日,101,0,test,test,"1:84101,2:84102,3:84103,4:84104,5:84105,6:84106,7:84107,8:84108,9:84109,10:84110,100:84111","5:84112,10:84113,15:84114,20:84115,30:84116,40:84117,50:84118,100:84119",,100,300,,160000,40000,0,,,,,0,,0,
102,要塞每日,102,0,test,test,,,,100,300,,120,120,0,,,,,0,,0,
112,指定要塞积分,112,0,test,test,"1:84201,2:84202,3:84203,4:84204,5:84205,6:84206,7:84207,8:84208,9:84209,10:84210,100:84211","5:84212,10:84213,15:84214,20:84215,30:84216,40:84217,50:84218,100:84219",,100,300,,160000,40000,0,,,,,0,,0,
122,末日魔犬,113,1703,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
123,叶戈尔,113,1704,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
124,失格异构体,113,1705,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
125,M16A1!,113,1706,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
126,断后中队,113,1707,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
127,末日魔犬,114,1703,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
128,叶戈尔,114,1704,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
129,失格异构体,114,1705,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
130,M16A1!,114,1706,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
131,断后中队,114,1707,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
132,模拟:双联乱数01,113,1708,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
133,模拟:双联乱数02,113,1709,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
134,模拟:双联乱数03,113,1710,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
135,模拟:双联乱数01,114,1708,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
136,模拟:双联乱数02,114,1709,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
137,模拟:双联乱数03,114,1710,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
138,模拟:双联乱数04,113,1711,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
139,模拟:双联乱数05,113,1712,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
140,模拟:双联乱数06,113,1713,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
141,模拟:双联乱数04,114,1711,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
142,模拟:双联乱数05,114,1712,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
143,模拟:双联乱数06,114,1713,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
144,必中谎言,113,1715,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
145,必中谎言,114,1715,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
146,01：燃烧狂兽,113,1716,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
147,02：不倒铁律,113,1717,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
148,03：蜂鸟旋涡,113,1718,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
149,01：燃烧狂兽,114,1716,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
150,02：不倒铁律,114,1717,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
151,03：蜂鸟旋涡,114,1718,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
152,04：奎乌,113,1719,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
153,04：奎乌,114,1719,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
154,异构体01,113,1720,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
155,异构体02,113,1721,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
156,异构体03,113,1722,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
157,异构体01,114,1720,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
158,异构体02,114,1721,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
159,异构体03,114,1722,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
160,黑白涅托,113,1723,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
161,黑白涅托,114,1723,test,承伤排行,,,,100,100,,160000,40000,0,,,,,0,,0,
162,顶级棋士,8,0,test,顶级棋士排行,,,,100,100,,20000,20000,0,,,,,0,,0,
163,01：格雷夫人,113,1724,test,挑战时长,,,,100,100,,160000,40000,0,,,,,0,,0,
